store_name,city,latitude,longitude,review_count,price_level,primary_category,target_rating,target_is_successful,median_income,pop_density_sqkm,pct_age_20_39
Burger Heaven,New Westminster,49.20138,-122.91604,185,2,Burgers,3.6,0,44017.39,13388.14,40.6
Happy Lamb Hot Pot,Coquitlam,49.28083,-122.79272,47,3,Hot Pot,3.3,0,36905.88,5750.39,28.53
Elisa,Vancouver,49.27597599917006,-123.12142339325408,291,4,Steakhouses,4.3,1,51384.91,21057.57,48.02
Bbong,Coquitlam,49.243302112406,-122.891211349691,54,2,Korean,3.6,0,37828.57,4496.36,36.55
Pho Chan,New Westminster,49.2228583293267,-122.914227216925,62,2,Vietnamese,3.8,0,43610.53,4251.95,25.1
Rodney's Oyster House,Vancouver,49.274326,-123.123131,909,2,Seafood,4.0,1,51653.06,20256.81,46.24
Kam Tou Seafood Restaurant,Richmond,49.185102,-123.129532,31,3,Seafood,4.0,1,31942.86,4077.83,44.86
The Keg Steakhouse + Bar,Coquitlam,49.27798957201443,-122.79372942511934,125,3,Steakhouses,3.8,0,36357.14,6786.72,29.28
Showshaa - The Modern Taproom,Surrey,49.05722,-122.80085,69,2,Tapas Bars,4.1,1,48311.11,3240.38,21.34
Catfe,Vancouver,49.28029,-123.10675,119,2,Cafes,3.5,0,42812.5,12649.65,47.28
Earls Kitchen + Bar,Surrey,49.186991576535846,-122.8006520421916,112,2,Canadian (New),3.1,0,36095.65,6804.97,28.82
Don Chepe's Restaurant,Coquitlam,49.2365844,-122.8530121,30,2,Salvadoran,3.3,0,41955.56,3320.68,27.13
The Old Spaghetti Factory,New Westminster,49.201925687134,-122.91260507829,174,2,Italian,3.5,0,45381.82,12053.81,40.88
Agora Cafe,Vancouver,49.28573972263773,-123.12224768834332,6,1,Cafes,4.2,1,45842.11,18080.44,49.22
Pho Tau Bay,Surrey,49.19805,-122.81226,67,1,Vietnamese,4.2,1,35141.18,5250.95,29.44
Dragon's Chop Suey House,Surrey,49.15719,-122.77781,44,2,Chinese,3.5,0,38037.5,5570.19,24.93
Sura Korean BBQ,Richmond,49.183364007189134,-123.13371992699436,265,2,Korean,3.7,0,30700.0,3407.08,48.72
Pizzeria Ludica,New Westminster,49.2040696455815,-122.909304314068,49,2,Pizza,3.5,0,45424.0,10681.43,40.37
West Village Cafe,Surrey,49.1047524116854,-122.799629199329,45,2,Sandwiches,3.6,0,46866.67,2709.17,28.18
Ikoi Sushi,New Westminster,49.23018,-122.89239,75,2,Japanese,4.4,1,47485.71,2842.66,32.88
Green Bean Café,Richmond,49.1947594,-123.1762466,32,2,Coffee & Tea,1.6,0,48000.0,45.6,23.81
Taqueria Playa Tropical,New Westminster,49.2097840906051,-122.91639733055,432,2,Mexican,3.7,0,43569.23,8675.43,36.77
The Story Cafe,Richmond,49.19359319408656,-123.1279178,259,2,Pizza,4.1,1,32350.0,3079.27,44.64
The Patty Shop,Vancouver,49.250721434013,-123.167994263811,124,1,Caribbean,4.4,1,40913.04,3642.45,24.07
Woking Dragon,Coquitlam,49.2838747027523,-122.810149566042,74,2,Chinese,3.5,0,40077.78,4908.32,27.2
Matchstick Coffee,Vancouver,49.257302653286,-123.090361582581,224,1,Cafes,3.9,0,46328.57,9001.95,42.61
Me-n-Ed's Pizza Parlors,Coquitlam,49.24927,-122.86047,59,2,Pizza,4.2,1,39811.76,3574.64,27.37
McDonald's,Richmond,49.161632939461,-123.13589096593,47,1,Fast Food,2.6,0,31935.29,10234.43,26.95
Hi Five,Burnaby,49.23062773,-122.9063846,30,2,Fast Food,3.4,0,45244.44,3714.17,26.28
Bubble World,New Westminster,49.2048187,-122.9100876,65,1,Bubble Tea,3.3,0,45157.14,10938.65,40.22
Mr. Black Restaurant,Richmond,49.18408,-123.13404,24,2,Japanese,3.5,0,30866.67,2403.59,49.47
Happy Noodle House,Vancouver,49.27664,-123.12578,237,2,Dim Sum,4.6,1,49743.33,22818.21,47.47
Lee Garden Seafood Restaurant,Burnaby,49.2199018142223,-122.970365929831,93,2,Dim Sum,3.4,0,36936.36,5314.99,33.49
The Paper Crane,Vancouver,49.2626112,-123.0922038,26,1,Cafes,4.0,1,46592.11,7801.87,46.88
Nuba in Gastown,Vancouver,49.2827625062516,-123.109646101134,839,3,Mediterranean,4.0,1,45337.93,11833.53,50.91
Italian Tomato Restaurant,Richmond,49.19188,-123.1303,224,2,Italian,3.4,0,31666.67,3529.54,47.86
Hello Kitty Cafe,Vancouver,49.28660343734038,-123.1281965598464,45,2,Themed Cafes,3.8,0,45256.34,21628.92,46.99
Steveston Cafe & Hotel,Richmond,49.125397,-123.186121,22,2,Cafes,3.5,0,44840.0,3696.93,16.66
Hello Nori ,Vancouver,49.28559747478766,-123.1261163,328,2,Japanese,4.5,1,45140.85,22129.21,48.26
Cardero's Restaurant & Marine Pub,Vancouver,49.2914561357511,-123.127575841549,777,3,Seafood,3.9,0,44679.07,22035.63,43.23
Enjoy Cafe 1 Plus1,Richmond,49.1708290571772,-123.13414408185102,67,2,Cafes,3.1,0,30044.44,9612.83,36.71
Yoko Sushi & Noodle House,Surrey,49.15737,-122.77828,28,1,Japanese,3.9,0,38037.5,5570.19,24.93
Victoria Sushi,New Westminster,49.213378,-122.89888,161,2,Japanese,4.0,1,49080.0,5420.69,33.61
Rocanini Coffee Roasters,Vancouver,49.27719779103568,-123.11522535767266,83,2,Coffee Roasteries,4.2,1,51655.56,20846.63,50.26
Railtown Cafe,Vancouver,49.2850022,-123.0955516,98,2,Cafes,4.1,1,34113.04,7189.79,35.21
The Chopped Leaf,New Westminster,49.2122867,-122.9190461,22,2,Salad,3.5,0,43211.76,6869.19,29.51
Cafe Algarve,Vancouver,49.2597049,-123.0700568,4,1,Portuguese,3.8,0,44087.18,6894.88,39.0
Dosanko,Vancouver,49.28278,-123.09194,114,2,Japanese,4.0,1,33908.33,6667.59,34.63
Ramen DANBO - Kitsilano,Vancouver,49.26828,-123.146431,562,2,Ramen,4.3,1,54858.33,9727.12,41.0
TAKO,Vancouver,49.278816,-123.1078822,235,1,Korean,4.0,1,45854.05,14772.88,47.73
Hansel Deli,Surrey,49.10792,-122.73477,16,1,Delis,4.4,1,41750.0,2164.4,28.58
The Viet Noodle Guy,Burnaby,49.26721987665755,-123.00572763320037,216,2,Vietnamese,4.1,1,42440.0,6719.06,47.4
YUAN’S HOT POT,Richmond,49.1831220296222,-123.133927292474,53,3,Hot Pot,4.2,1,30700.0,3407.08,48.72
Ukrainian Village,Vancouver,49.2914123,-123.1358196,186,2,Ukrainian,4.1,1,45414.81,26785.84,43.37
Green & Oak Malaysian Restaurant,Burnaby,49.28081,-123.02185,139,2,Malaysian,3.9,0,41555.56,4704.76,27.91
Nando's Peri-Peri,Richmond,49.17855951502775,-123.1217548,50,2,Portuguese,3.6,0,31500.0,5052.04,37.47
BIN 4 Burger Lounge,Burnaby,49.2641572,-123.022698,69,2,Burgers,4.0,1,35620.0,4635.55,40.89
Sprouts,Vancouver,49.267585874444904,-123.25039128042668,12,1,Vegetarian,4.4,1,30371.43,2411.22,43.21
Diamond Buffet,Surrey,49.11172,-122.72963,15,1,Buffets,2.4,0,41320.0,2513.71,27.28
Sushi Bar Kilala,Burnaby,49.2811517065771,-122.995635763696,85,2,Sushi Bars,4.3,1,39286.96,4257.38,27.79
Yuan's Garden Restaurant 隨園,Richmond,49.178968,-123.134826,170,2,Chinese,3.9,0,30520.0,5215.61,41.9
Kyabia Japanese Restaurant,Richmond,49.18769,-123.13128,73,2,Japanese,3.7,0,31150.0,2553.51,46.28
Ding Hao Noodle House,Coquitlam,49.278788895755625,-122.8070915324994,45,1,Taiwanese,3.9,0,37800.0,4998.69,28.89
New Sun Restaurant,Vancouver,49.2592643,-123.1152101,28,1,Chinese,3.5,0,55087.18,7800.14,39.17
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,49.2787525,-123.1138689,979,3,Seafood,4.4,1,49876.74,17564.06,49.46
Sawasdee Thai Restaurant,Vancouver,49.24703,-123.1008,378,2,Thai,4.0,1,48990.62,6065.56,31.94
Mui Garden Restaurant,Richmond,49.17097613037639,-123.13941066161335,115,2,Malaysian,3.6,0,29462.5,7985.53,38.17
Waves Coffee House,Vancouver,49.263615784527,-123.128756644037,32,1,Coffee & Tea,3.3,0,54489.74,10911.86,40.42
Royal Oak,Surrey,49.16437,-122.79765,58,2,Pizza,3.4,0,35611.11,4049.31,29.04
Lazzez's Grill Indian Cuisine,Coquitlam,49.27743,-122.80492,189,2,Indian,4.3,1,38216.67,4481.77,29.77
Angus T,Vancouver,49.2762326068102,-123.119233623147,125,2,Cafes,4.3,1,51669.39,21134.36,48.2
Juillet Cafe,Burnaby,49.2448537809919,-122.89281354352,45,1,Cafes,3.9,0,37828.57,4496.36,36.55
The Mackenzie Room,Vancouver,49.2832349,-123.0948578,220,4,Canadian (New),4.5,1,35130.77,7868.87,35.62
OZ Korean Cuisine,Coquitlam,49.282471094178,-122.793583392269,116,2,Korean,4.0,1,36487.5,6181.9,28.59
Chop Steakhouse & Bar,Richmond,49.1890367,-123.1120171,33,3,Steakhouses,4.0,1,33883.33,3639.26,29.45
Taste of Zen,Richmond,49.13293,-123.12171,13,2,Vegetarian,4.1,1,34100.0,3622.41,22.62
Kimbap Cheonguk,Coquitlam,49.2446982,-122.8918313,144,1,Sushi Bars,4.4,1,37828.57,4496.36,36.55
Bluefin Sushi,New Westminster,49.22665044765496,-122.89299105765632,28,1,Sushi Bars,3.6,0,47507.69,2863.2,33.38
Royal Crown Pizza,New Westminster,49.2084010373217,-122.920245955181,31,1,Pizza,3.9,0,43156.76,9824.57,36.31
Kokoro Tokyo Mazesoba,Coquitlam,49.2508308,-122.8926851,80,2,Ramen,4.1,1,37112.5,6723.17,38.98
Six Acres,Vancouver,49.283363150344336,-123.1044223000027,324,2,Pubs,3.9,0,39384.62,10523.52,45.32
Ramen DANBO - Robson,Vancouver,49.2874959131639,-123.128934167326,764,2,Ramen,4.4,1,45588.41,21925.39,46.3
Provisions Kitsilano,Vancouver,49.268062,-123.157371,15,2,Cafes,4.0,1,53936.96,10192.59,41.99
The Greek By Anatoli,Vancouver,49.276285,-123.1197178,298,2,Greek,3.8,0,51415.69,21244.29,48.11
Little Minh's,Burnaby,49.1990675,-122.9799962,149,2,Vietnamese,4.3,1,42400.0,151.96,24.57
Lu Charcoal Grill,Richmond,49.1800883459181,-123.135372530006,21,1,Chinese,3.2,0,29750.0,4620.35,43.33
Kokoro Tokyo Mazesoba,Burnaby,49.228287011321385,-123.00315331667662,68,2,Ramen,4.0,1,33705.26,10982.18,39.28
Cora,Coquitlam,49.274923,-122.791039,160,2,Breakfast & Brunch,3.7,0,37600.0,5967.87,32.31
Green Leaf Cafe,Burnaby,49.2533051,-122.8982928,256,2,Sushi Bars,4.1,1,39388.89,5947.49,36.07
New Town Bakery & Restaurant,Vancouver,49.280153,-123.101201,483,1,Bakeries,3.8,0,38873.33,12027.22,42.26
John B Neighbourhood Pub,Coquitlam,49.24869,-122.86724,108,2,Pubs,3.6,0,39266.67,3143.01,27.04
Bubble World,Coquitlam,49.2790792849535,-122.794279898607,59,2,Taiwanese,2.7,0,36528.57,6861.28,29.3
Medina Cafe,Vancouver,49.2804429972571,-123.117036269849,2791,2,Breakfast & Brunch,4.2,1,48950.98,18255.76,50.62
Soup Plus,Coquitlam,49.24868,-122.86186,64,1,Soup,3.8,0,39025.0,4196.53,28.2
Happy Tree House BBQ,Richmond,49.1789476669097,-123.13367071167,95,2,Barbeque,3.2,0,30400.0,5367.22,41.04
Cioffi's Meat Market & Deli,Burnaby,49.280911944717026,-123.012598,92,2,Delis,3.7,0,40444.44,5389.34,27.92
Daddy's Grill,Richmond,49.1842679432228,-123.091404421526,168,2,Halal,4.4,1,35107.69,3147.72,26.24
Takenaka,Vancouver,49.2783093,-123.0755801,115,2,Japanese,4.3,1,44495.65,4715.68,37.01
Pho Newton,Surrey,49.1392040260342,-122.843214712932,29,2,Vietnamese,3.6,0,34428.57,3821.42,30.89
Tendon Kohaku,Burnaby,49.2278910406839,-123.00348046083376,49,2,Japanese,3.7,0,33621.62,11244.19,39.71
Grandt Kitchen,Surrey,49.189707024899,-122.846393287182,70,1,Filipino,3.9,0,35926.32,7277.06,45.56
PappaRoti,Coquitlam,49.2840263,-122.793144,49,2,Juice Bars & Smoothies,4.1,1,37155.56,5992.23,29.3
Daan Korean Cuisine,Richmond,49.1553651,-123.124776,83,2,Korean,4.0,1,32618.18,7584.14,25.74
Mongo Bongo,New Westminster,49.2135179,-122.9193884,88,2,Mongolian,3.9,0,42781.25,6773.7,28.82
Pho & Japolo,Burnaby,49.253645,-122.892575,35,2,Vietnamese,3.7,0,38136.84,7484.91,40.21
Papa Johns Pizza,New Westminster,49.21329659729184,-122.91968736842948,23,2,Pizza,3.1,0,42805.71,6858.32,28.93
Navraj Sweets & Restaurant,Surrey,49.1501801430419,-122.866437749758,24,2,Indian,4.4,1,30000.0,1695.75,34.56
Nobi Nobi,Richmond,49.133102,-123.098042,65,2,Japanese,4.5,1,37828.57,4089.25,25.57
Chili House Restaurant,Surrey,49.1144981,-122.6806335,91,2,Asian Fusion,4.3,1,46033.33,2661.51,31.9
Mega Sushi,Coquitlam,49.24858070525632,-122.81784885439474,87,2,Sushi Bars,3.9,0,47250.0,2559.59,20.91
Guu with Garlic,Vancouver,49.290249,-123.1338142,1115,2,Japanese,4.3,1,45147.54,24598.78,44.21
Joy's Taiwanese Kitchen,Richmond,49.1819171,-123.1363782,23,1,Taiwanese,3.9,0,29900.0,3402.03,46.29
The Canadian Brewhouse & Grill,Richmond,49.17762,-123.12371,171,2,Sports Bars,3.4,0,31280.0,5408.67,38.55
Gyu-Kaku Japanese BBQ,Vancouver,49.28031,-123.12467,425,2,Japanese,4.0,1,48620.78,23281.34,47.96
Sushi Modo,Burnaby,49.225836,-122.937422,121,2,Sushi Bars,4.3,1,37336.36,5264.4,29.36
Kozak Ukranian Eatery,New Westminster,49.2114757572234,-122.918422905028,153,1,Bakeries,4.4,1,43474.29,7168.23,30.17
Dominion Bar + Kitchen,Surrey,49.19024372736193,-122.848227414672,57,3,Canadian (New),3.7,0,35770.0,7038.85,45.23
Waves Coffee House,Coquitlam,49.2784614,-122.7985418,6,2,Coffee & Tea,3.0,0,36292.31,6123.08,30.58
Cactus Club Cafe,Vancouver,49.288953168131265,-123.1170999,1072,2,Canadian (New),4.2,1,45507.69,11268.16,46.63
Japadog,Richmond,49.17513197931976,-123.13605273665104,28,1,Hot Dogs,4.0,1,29133.33,6247.96,39.29
Re-Up BBQ,New Westminster,49.2000834965815,-122.911374465514,187,2,Barbeque,3.8,0,45623.53,13453.29,41.23
Urban Gate,Coquitlam,49.28222,-122.7962049,122,2,Persian/Iranian,3.1,0,35887.5,6061.08,28.36
JJ Bean Coffee Roasters,Vancouver,49.287471,-123.116865,39,1,Cafes,3.8,0,46193.1,12201.88,48.28
Fatburger,Coquitlam,49.23409,-122.86301,50,2,Burgers,3.4,0,42466.67,3017.17,28.21
Saigon Ivy,New Westminster,49.21207002304541,-122.91928025557236,48,2,Vietnamese,3.4,0,43522.22,6931.93,29.86
Sushi Bar Shu,Vancouver,49.2123904,-123.14068048650988,78,4,Sushi Bars,4.4,1,36321.43,5387.12,30.27
Aaron's Restaurant,Surrey,49.1062,-122.73329,27,3,Italian,3.2,0,41100.0,2812.39,28.68
Kirin Restaurant,New Westminster,49.1867640831858,-122.955329577009,153,2,Seafood,3.5,0,40666.67,2762.85,30.75
Desi Turka Indian Cuisine,Burnaby,49.220269,-122.929508,78,2,Indian,3.9,0,39200.0,5620.64,25.92
New Lakeview Seafood & Wunton,Burnaby,49.2204185639885,-122.930049553083,71,2,Seafood,3.3,0,39200.0,5620.64,25.92
Yin Ji Chang Fen,Richmond,49.17786599999999,-123.1294224,136,2,Cantonese,4.3,1,30600.0,5724.97,41.37
Chao Shou Wang,Burnaby,49.2290734,-123.0048795,44,1,Chinese,4.1,1,34248.65,8985.11,39.16
The Apron,Richmond,49.19085129402266,-123.13391892507546,48,3,Breakfast & Brunch,4.0,1,31500.0,3413.66,51.86
John 3:16 Malaysian Delights,Vancouver,49.26371,-123.12812,85,2,Malaysian,4.2,1,55361.54,10785.21,39.89
Marugame Udon,Vancouver,49.2801931,-123.11028743227573,102,2,Japanese,4.0,1,48120.0,13733.22,48.82
Just Waffles,Vancouver,49.28128196346295,-123.02744138985872,148,2,Breakfast & Brunch,4.5,1,40990.48,3543.92,28.77
Charisma Cafe & Dessert House,Vancouver,49.27998259460614,-123.1087145,59,1,Desserts,3.9,0,45367.57,13394.77,47.65
Motonobu Udon,Vancouver,49.2813968,-123.0280718,137,2,Japanese,4.2,1,41263.16,3530.19,29.17
Afghan Turkish Cuisine,Burnaby,49.2807738,-123.0028986,62,1,Afghan,4.0,1,38016.67,4816.52,27.28
Lee Gar Nei,Surrey,49.1856150038833,-122.799098426308,27,2,Korean,4.0,1,36390.48,5772.43,27.58
Balkan House,Burnaby,49.22219,-122.94393,71,2,Modern European,3.4,0,35641.38,6502.64,32.3
Caffe Mira,Vancouver,49.2568399,-123.10088,46,1,Cafes,4.2,1,50754.55,8463.47,42.64
Chili Pepper House,Vancouver,49.236254639793266,-123.04171146419895,174,2,Hakka,3.8,0,34656.41,8290.75,33.96
Pho Capital,Richmond,49.17432292272627,-123.1480213,127,1,Vietnamese,4.0,1,30666.67,5741.67,39.87
49th Parallel Coffee,Vancouver,49.2591330651218,-123.10088478104,534,1,Cafes,4.1,1,51388.1,8164.82,45.11
Round Table Pizza,Richmond,49.15436908349,-123.157198331033,26,2,Pizza,3.2,0,29666.67,4076.61,24.29
Pink Peppercorn Seafood House,Vancouver,49.2493583,-123.0739159,165,3,Seafood,4.4,1,39221.05,7081.01,33.79
Greens & Beans Deli,New Westminster,49.2229306,-122.8931559,46,1,Delis,4.3,1,47709.09,4128.88,32.82
GoGo Chicken & BBQ,Coquitlam,49.282972,-122.796674,20,2,Korean,4.4,1,35922.22,6054.92,28.07
Artigiano,Richmond,49.197903,-123.140842,16,1,Cafes,2.9,0,39333.33,6740.26,33.64
Sun Century Cafe,Richmond,49.18621,-123.13344,13,1,Chinese,3.9,0,30866.67,2403.59,49.47
Tommies Jerk,Surrey,49.10037,-122.72386,10,1,Caribbean,4.7,1,42000.0,777.25,24.13
Planet India,Surrey,49.13379,-122.83907,66,2,Indian,3.8,0,34612.5,4943.86,29.89
Wicked Cafe,Vancouver,49.26544874408263,-123.135842,137,2,Cafes,3.8,0,54719.51,10589.63,40.54
The One Restaurant,Burnaby,49.2211721,-122.9774371,266,2,Taiwanese,3.4,0,36294.74,5076.48,33.98
Kamini's Corner Cafe,New Westminster,49.21256260644152,-122.9363049723874,7,1,Cafes,4.4,1,39977.78,6816.18,28.79
Hokkaido Ramen Santouka,Vancouver,49.290236,-123.133811,1012,2,Ramen,4.2,1,45147.54,24598.78,44.21
Diamond Sweets Restaurant,Surrey,49.1585503,-122.7814484,35,1,Indian,3.4,0,37611.11,5424.27,25.28
Taste of Splendour,Burnaby,49.25518,-123.0087,9,1,Caterers,4.1,1,39800.0,1593.43,25.72
The Hide Out Cafe,New Westminster,49.2029257,-122.9108691,85,1,Coffee & Tea,4.2,1,45478.26,11258.13,40.57
Brewster's Sports Pub & Liquor store,Surrey,49.13690145,-122.84518586,41,2,Burgers,2.3,0,34885.71,3533.86,27.68
Belle's Cafe,Surrey,49.06049887855645,-122.83416005374684,11,1,Cafes,4.3,1,46933.33,960.58,16.65
Pho Tau Bay,Surrey,49.135731,-122.844616,67,1,Vietnamese,3.5,0,35366.67,3495.03,28.17
Peaked Pies,Burnaby,49.28077,-123.01351,53,2,Australian,4.1,1,41089.66,5204.71,27.68
Vegan Supply Surrey,Surrey,49.059709,-122.833843,6,2,Health Markets,4.3,1,46933.33,960.58,16.65
JOY Cafe,Vancouver,49.2098293,-123.1182943,53,2,Cafes,3.5,0,35190.48,4255.0,38.44
Chad Thai,Burnaby,49.2809351,-123.0160318,231,2,Thai,4.1,1,41379.31,5298.89,27.68
Ginger Indian Cuisine,Richmond,49.15413956143999,-123.1245297116645,74,2,Indian,3.7,0,32304.35,6825.57,24.71
La Grotta Del Formaggio,Vancouver,49.2688848,-123.0697849,230,1,Delis,4.3,1,44605.0,7141.66,37.33
Kanpeki Teppanyaki & Seafood Bar,Richmond,49.1787958,-123.1314609,14,3,Japanese,3.4,0,30875.0,5461.97,41.56
Honeybrew,Vancouver,49.27770339765184,-123.1269430835161,43,2,Bistros,4.1,1,49326.47,24027.21,47.8
Big Way Hot Pot,New Westminster,49.20104990676527,-122.91260437496535,16,2,Chinese,4.6,1,45340.0,12487.04,40.7
Anton's Pasta Bar,Burnaby,49.28072,-123.00984,557,2,Italian,3.5,0,39917.24,5180.7,26.93
Matoi Sushi,Coquitlam,49.274538,-122.791584,89,2,Japanese,3.5,0,37022.22,5757.08,32.58
Ash Street Bistro,Vancouver,49.233925,-123.118871,13,2,Bistros,4.2,1,36837.5,3449.61,32.65
L'Abattoir,Vancouver,49.2831869855333,-123.104450140894,621,3,French,4.2,1,39384.62,10523.52,45.32
Gateway Pizza & Curry,Surrey,49.1699399,-122.8125,46,2,Indian,3.4,0,35000.0,3405.57,30.51
The Morrissey Pub,Vancouver,49.2769058,-123.1268211,189,2,Pubs,3.7,0,49645.45,22946.89,47.37
Sura Korean Cuisine,Vancouver,49.2888601838143,-123.131742169312,482,2,Korean,4.1,1,45513.04,22528.33,44.49
Takara Sushi,Burnaby,49.2545851,-123.0220016,108,2,Sushi Bars,4.5,1,38320.0,2574.45,28.44
Browns Socialhouse QE Theatre,Vancouver,49.279919,-123.112788,85,2,Burgers,4.3,1,48625.64,14659.56,49.27
Sushi California,Coquitlam,49.2493323318395,-122.892389360117,351,2,Sushi Bars,3.4,0,37725.0,6448.87,38.82
The Spud Shack Fry,New Westminster,49.20095020309591,-122.91302027887068,213,2,Belgian,4.0,1,44968.42,13227.66,41.0
Agra Tandoori Restaurant,Burnaby,49.25443,-123.02066,205,2,Indian,3.9,0,38320.0,2574.45,28.44
Yianni's Greek Taverna,New Westminster,49.2124240808659,-122.919168452339,91,2,Greek,3.7,0,43211.76,6869.19,29.51
Thierry,Vancouver,49.2848818,-123.1228949,1042,2,Patisserie/Cake Shop,4.0,1,45468.75,19171.58,49.57
Zakkushi on Denman,Vancouver,49.291208,-123.136248,285,3,Japanese,4.2,1,45414.81,26785.84,43.37
Nana's Green Tea,Vancouver,49.267587,-123.1086543,214,2,Desserts,4.2,1,54575.0,10968.48,46.58
Breakfast Table,Vancouver,49.25855,-123.13856,295,2,Breakfast & Brunch,4.3,1,53861.11,8128.57,43.33
The Red Accordion,Vancouver,49.29025,-123.131768,148,2,Cocktail Bars,4.6,1,45387.1,22644.64,43.75
