store_name,city,zip_code,latitude,longitude,review_count,price_level,primary_category,target_rating,target_is_successful
Happy Lamb Hot Pot,Burnaby,V5H 4W2,49.2280567,-122.9973696,173,2,Hot Pot,3.4,0
Pho Holiday,Coquitlam,V3K 3P3,49.24880778894382,-122.8631980544926,53,1,Vietnamese,4.1,1
Chongqing,Burnaby,V5H 2E5,49.22671131459038,-122.99363543518693,106,2,Chinese,3.4,0
Mean Poutine,Vancouver,V6Z 1A8,49.2794438014385,-123.123368918896,309,1,Hot Dogs,3.9,0
The Keg Steakhouse + Bar,Surrey,V3W 3N2,49.14734458968876,-122.88976,56,3,Steakhouses,3.8,0
Tom Sushi,Vancouver,V6E 1N2,49.2815608,-123.1327476,392,2,Sushi Bars,4.7,1
Katsu San,Richmond,V7C 1T4,49.169982779066,-123.181773349643,180,2,Japanese,4.5,1
Waves Coffee House,New Westminster,V3M 1B2,49.2021378,-122.9101707,45,1,Coffee & Tea,3.1,0
YL's Curry Bowl,Surrey,V3R 8X2,49.18444,-122.79879,33,1,Malaysian,4.0,1
Bodega On Main,Vancouver,V6A 2W1,49.27548853708847,-123.09968391901442,246,2,Spanish,3.8,0
Earls Kitchen + Bar,Vancouver,V6E 1B5,49.285968141691775,-123.12656576441812,246,2,Canadian (New),3.8,0
Burger Heaven,New Westminster,V3M 3X4,49.20138,-122.91604,185,2,Burgers,3.6,0
Happy Lamb Hot Pot,Coquitlam,V3B 8A9,49.28083,-122.79272,47,3,Hot Pot,3.3,0
Elisa,Vancouver,V6B 5P6,49.27597599917006,-123.12142339325409,291,4,Steakhouses,4.3,1
Bbong,Coquitlam,V3K,49.243302112406,-122.891211349691,54,2,Korean,3.6,0
Pho Chan,New Westminster,V3L 2B8,49.2228583293267,-122.914227216925,62,2,Vietnamese,3.8,0
Rodney's Oyster House,Vancouver,V6B 6L2,49.274326,-123.123131,909,2,Seafood,4.0,1
Kam Tou Seafood Restaurant,Richmond,V6X 3Z9,49.185102,-123.129532,31,3,Seafood,4.0,1
The Keg Steakhouse + Bar,Coquitlam,V3B 6J6,49.27798957201443,-122.79372942511934,125,3,Steakhouses,3.8,0
Showshaa - The Modern Taproom,Surrey,V4P 3N7,49.05722,-122.80085,69,2,Tapas Bars,4.1,1
Catfe,Vancouver,V6B 6N9,49.28029,-123.10675,119,2,Cafes,3.5,0
Earls Kitchen + Bar,Surrey,V3R 9W9,49.186991576535846,-122.80065204219159,112,2,Canadian (New),3.1,0
Don Chepe's Restaurant,Coquitlam,V3K 6V7,49.2365844,-122.8530121,30,2,Salvadoran,3.3,0
The Old Spaghetti Factory,New Westminster,V3M 3N8,49.201925687134,-122.91260507829,174,2,Italian,3.5,0
Agora Cafe,Vancouver,V6T 1Z4,49.28573972263773,-123.12224768834332,6,1,Cafes,4.2,1
Pho Tau Bay,Surrey,V3R 3X6,49.19805,-122.81226,67,1,Vietnamese,4.2,1
Dragon's Chop Suey House,Surrey,V4N 0G2,49.15719,-122.77781,44,2,Chinese,3.5,0
Sura Korean BBQ,Richmond,V6X 4J7,49.183364007189134,-123.13371992699435,265,2,Korean,3.7,0
Pizzeria Ludica,New Westminster,V3M 1E3,49.2040696455815,-122.909304314068,49,2,Pizza,3.5,0
West Village Cafe,Surrey,V3S 3K2,49.1047524116854,-122.799629199329,45,2,Sandwiches,3.6,0
Ikoi Sushi,New Westminster,V3L 3X5,49.23018,-122.89239,75,2,Japanese,4.4,1
Green Bean Café,Richmond,V7B 0A4,49.1947594,-123.1762466,32,2,Coffee & Tea,1.6,0
Taqueria Playa Tropical,New Westminster,V3L 3B1,49.2097840906051,-122.91639733055,432,2,Mexican,3.7,0
The Story Cafe,Richmond,V6X 1V5,49.19359319408656,-123.1279178,259,2,Pizza,4.1,1
The Patty Shop,Vancouver,V6L 2N8,49.250721434013,-123.167994263811,124,1,Caribbean,4.4,1
Woking Dragon,Coquitlam,V3E 1J7,49.2838747027523,-122.810149566042,74,2,Chinese,3.5,0
Matchstick Coffee,Vancouver,V5T 2R6,49.257302653286,-123.090361582581,224,1,Cafes,3.9,0
Me-n-Ed's Pizza Parlors,Coquitlam,V3K 3P4,49.24927,-122.86047,59,2,Pizza,4.2,1
McDonald's,Richmond,V6Y 2C6,49.161632939461,-123.13589096593,47,1,Fast Food,2.6,0
Hi Five,Burnaby,V3N 2S9,49.23062773,-122.9063846,30,2,Fast Food,3.4,0
Bubble World,New Westminster,V3M 1G9,49.2048187,-122.9100876,65,1,Bubble Tea,3.3,0
Mr. Black Restaurant,Richmond,V6X 0A4,49.18408,-123.13404,24,2,Japanese,3.5,0
Happy Noodle House,Vancouver,V6B 2G5,49.27664,-123.12578,237,2,Dim Sum,4.6,1
Lee Garden Seafood Restaurant,Burnaby,V5E 0A6,49.2199018142223,-122.970365929831,93,2,Dim Sum,3.4,0
The Paper Crane,Vancouver,V5T 1X4,49.2626112,-123.0922038,26,1,Cafes,4.0,1
Nuba in Gastown,Vancouver,V6B 1K6,49.2827625062516,-123.109646101134,839,3,Mediterranean,4.0,1
Italian Tomato Restaurant,Richmond,V6X 3C7,49.19188,-123.1303,224,2,Italian,3.4,0
Hello Kitty Cafe,Vancouver,V6E 3Z6,49.28660343734038,-123.12819655984639,45,2,Themed Cafes,3.8,0
Steveston Cafe & Hotel,Richmond,V7E 3K2,49.125397,-123.186121,22,2,Cafes,3.5,0
Hello Nori ,Vancouver,V6E 1B5,49.28559747478766,-123.1261163,328,2,Japanese,4.5,1
Cardero's Restaurant & Marine Pub,Vancouver,V6G 3E7,49.2914561357511,-123.127575841549,777,3,Seafood,3.9,0
Enjoy Cafe 1 Plus1,Richmond,V6X 1A7,49.1708290571772,-123.13414408185102,67,2,Cafes,3.1,0
Yoko Sushi & Noodle House,Surrey,V4N 0G2,49.15737,-122.77828,28,1,Japanese,3.9,0
Victoria Sushi,New Westminster,V3L 0A9,49.213378,-122.89888,161,2,Japanese,4.0,1
Rocanini Coffee Roasters,Vancouver,V6B 2M6,49.27719779103568,-123.11522535767266,83,2,Coffee Roasteries,4.2,1
Railtown Cafe,Vancouver,V6A 1A4,49.2850022,-123.0955516,98,2,Cafes,4.1,1
The Chopped Leaf,New Westminster,V3L 3B9,49.2122867,-122.9190461,22,2,Salad,3.5,0
Cafe Algarve,Vancouver,V5N 2A2,49.2597049,-123.0700568,4,1,Portuguese,3.8,0
Dosanko,Vancouver,V6A 1G9,49.28278,-123.09194,114,2,Japanese,4.0,1
Ramen DANBO - Kitsilano,Vancouver,V6J 1M4,49.26828,-123.146431,562,2,Ramen,4.3,1
TAKO,Vancouver,V6B 0J5,49.278816,-123.1078822,235,1,Korean,4.0,1
Hansel Deli,Surrey,V3S 4E2,49.10792,-122.73477,16,1,Delis,4.4,1
The Viet Noodle Guy,Burnaby,V5C 3Z2,49.26721987665755,-123.00572763320035,216,2,Vietnamese,4.1,1
YUAN’S HOT POT,Richmond,V6X 4J7,49.1831220296222,-123.133927292474,53,3,Hot Pot,4.2,1
Ukrainian Village,Vancouver,V6G 2L7,49.2914123,-123.1358196,186,2,Ukrainian,4.1,1
Green & Oak Malaysian Restaurant,Burnaby,V5C 2H5,49.28081,-123.02185,139,2,Malaysian,3.9,0
Nando's Peri-Peri,Richmond,V6X 0M5,49.17855951502775,-123.1217548,50,2,Portuguese,3.6,0
BIN 4 Burger Lounge,Burnaby,V5M 3Z3,49.2641572,-123.022698,69,2,Burgers,4.0,1
Sprouts,Vancouver,V6T 1Z1,49.267585874444904,-123.25039128042667,12,1,Vegetarian,4.4,1
Diamond Buffet,Surrey,V3S 1V3,49.11172,-122.72963,15,1,Buffets,2.4,0
Sushi Bar Kilala,Burnaby,V5C 2K8,49.2811517065771,-122.995635763696,85,2,Sushi Bars,4.3,1
Yuan's Garden Restaurant 隨園,Richmond,V6X 3A6,49.178968,-123.134826,170,2,Chinese,3.9,0
Kyabia Japanese Restaurant,Richmond,V6X 4B7,49.18769,-123.13128,73,2,Japanese,3.7,0
Ding Hao Noodle House,Coquitlam,V3B 1C2,49.278788895755625,-122.8070915324994,45,1,Taiwanese,3.9,0
New Sun Restaurant,Vancouver,V5Z 2V7,49.2592643,-123.1152101,28,1,Chinese,3.5,0
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,V6B 2P2,49.2787525,-123.1138689,979,3,Seafood,4.4,1
Sawasdee Thai Restaurant,Vancouver,V5V 3P9,49.24703,-123.1008,378,2,Thai,4.0,1
Mui Garden Restaurant,Richmond,V6X 4J4,49.17097613037639,-123.13941066161337,115,2,Malaysian,3.6,0
Waves Coffee House,Vancouver,V6H 1E2,49.263615784527,-123.128756644037,32,1,Coffee & Tea,3.3,0
Royal Oak,Surrey,V3R 3P5,49.16437,-122.79765,58,2,Pizza,3.4,0
Lazzez's Grill Indian Cuisine,Coquitlam,V3B 1B9,49.27743,-122.80492,189,2,Indian,4.3,1
Angus T,Vancouver,V6B 2T4,49.2762326068102,-123.119233623147,125,2,Cafes,4.3,1
Juillet Cafe,Burnaby,V3N 4N4,49.2448537809919,-122.89281354352,45,1,Cafes,3.9,0
The Mackenzie Room,Vancouver,V6A 1G7,49.2832349,-123.0948578,220,4,Canadian (New),4.5,1
OZ Korean Cuisine,Coquitlam,V3B 0J5,49.282471094178,-122.793583392269,116,2,Korean,4.0,1
Chop Steakhouse & Bar,Richmond,V6X 2M9,49.1890367,-123.1120171,33,3,Steakhouses,4.0,1
Taste of Zen,Richmond,V7A 1M5,49.13293,-123.12171,13,2,Vegetarian,4.1,1
Kimbap Cheonguk,Coquitlam,V3K 3V8,49.2446982,-122.8918313,144,1,Sushi Bars,4.4,1
Bluefin Sushi,New Westminster,V3L 3W8,49.22665044765496,-122.89299105765632,28,1,Sushi Bars,3.6,0
Royal Crown Pizza,New Westminster,V3M 3R5,49.2084010373217,-122.920245955181,31,1,Pizza,3.9,0
Kokoro Tokyo Mazesoba,Coquitlam,V3J 1N7,49.2508308,-122.8926851,80,2,Ramen,4.1,1
Six Acres,Vancouver,V6B 2J2,49.283363150344336,-123.1044223000027,324,2,Pubs,3.9,0
Ramen DANBO - Robson,Vancouver,V6E 2B1,49.2874959131639,-123.128934167326,764,2,Ramen,4.4,1
Provisions Kitsilano,Vancouver,V6K 1N8,49.268062,-123.157371,15,2,Cafes,4.0,1
The Greek By Anatoli,Vancouver,V6B,49.276285,-123.1197178,298,2,Greek,3.8,0
Little Minh's,Burnaby,V5J 0A3,49.1990675,-122.9799962,149,2,Vietnamese,4.3,1
Lu Charcoal Grill,Richmond,V6X 1E4,49.1800883459181,-123.135372530006,21,1,Chinese,3.2,0
Kokoro Tokyo Mazesoba,Burnaby,V5H 4L6,49.228287011321385,-123.00315331667662,68,2,Ramen,4.0,1
Cora,Coquitlam,V3B 6J6,49.274923,-122.791039,160,2,Breakfast & Brunch,3.7,0
Green Leaf Cafe,Burnaby,V3J 1M2,49.2533051,-122.8982928,256,2,Sushi Bars,4.1,1
New Town Bakery & Restaurant,Vancouver,V6A 1T3,49.280153,-123.101201,483,1,Bakeries,3.8,0
John B Neighbourhood Pub,Coquitlam,V3K 3P1,49.24869,-122.86724,108,2,Pubs,3.6,0
Bubble World,Coquitlam,V3B 6J6,49.2790792849535,-122.794279898607,59,2,Taiwanese,2.7,0
Medina Cafe,Vancouver,V6B 3A4,49.2804429972571,-123.117036269849,2791,2,Breakfast & Brunch,4.2,1
Soup Plus,Coquitlam,V3K 3P5,49.24868,-122.86186,64,1,Soup,3.8,0
Happy Tree House BBQ,Richmond,V6X 1C3,49.1789476669097,-123.13367071167,95,2,Barbeque,3.2,0
Cioffi's Meat Market & Deli,Burnaby,V5C 2J4,49.280911944717026,-123.012598,92,2,Delis,3.7,0
Daddy's Grill,Richmond,V6X 2V1,49.1842679432228,-123.091404421526,168,2,Halal,4.4,1
Takenaka,Vancouver,V5L 2A8,49.2783093,-123.0755801,115,2,Japanese,4.3,1
Pho Newton,Surrey,V3W 0H9,49.1392040260342,-122.843214712932,29,2,Vietnamese,3.6,0
Tendon Kohaku,Burnaby,V5H 4M8,49.2278910406839,-123.00348046083376,49,2,Japanese,3.7,0
Grandt Kitchen,Surrey,V3T 2W6,49.189707024899,-122.846393287182,70,1,Filipino,3.9,0
PappaRoti,Coquitlam,V3B 2P7,49.2840263,-122.793144,49,2,Juice Bars & Smoothies,4.1,1
Daan Korean Cuisine,Richmond,V6Y 1K3,49.1553651,-123.124776,83,2,Korean,4.0,1
Mongo Bongo,New Westminster,V3L 5H3,49.2135179,-122.9193884,88,2,Mongolian,3.9,0
Pho & Japolo,Burnaby,V3J 1P1,49.253645,-122.892575,35,2,Vietnamese,3.7,0
Papa Johns Pizza,New Westminster,V3L 1V3,49.21329659729184,-122.91968736842949,23,2,Pizza,3.1,0
Navraj Sweets & Restaurant,Surrey,V3W,49.1501801430419,-122.866437749758,24,2,Indian,4.4,1
Nobi Nobi,Richmond,V7A 5J5,49.133102,-123.098042,65,2,Japanese,4.5,1
Chili House Restaurant,Surrey,V3S 6K7,49.1144981,-122.6806335,91,2,Asian Fusion,4.3,1
Mega Sushi,Coquitlam,V3K 7B6,49.24858070525632,-122.81784885439474,87,2,Sushi Bars,3.9,0
Guu with Garlic,Vancouver,V6G 1C7,49.290249,-123.1338142,1115,2,Japanese,4.3,1
Joy's Taiwanese Kitchen,Richmond,V6X 2C3,49.1819171,-123.1363782,23,1,Taiwanese,3.9,0
The Canadian Brewhouse & Grill,Richmond,V6X 0M5,49.17762,-123.12371,171,2,Sports Bars,3.4,0
Gyu-Kaku Japanese BBQ,Vancouver,V6Z 2H1,49.28031,-123.12467,425,2,Japanese,4.0,1
Sushi Modo,Burnaby,V3N 1B8,49.225836,-122.937422,121,2,Sushi Bars,4.3,1
Kozak Ukranian Eatery,New Westminster,V3L 3B3,49.2114757572234,-122.918422905028,153,1,Bakeries,4.4,1
Dominion Bar + Kitchen,Surrey,V3T 1V8,49.19024372736193,-122.84822741467201,57,3,Canadian (New),3.7,0
Waves Coffee House,Coquitlam,V3B 5R5,49.2784614,-122.7985418,6,2,Coffee & Tea,3.0,0
Cactus Club Cafe,Vancouver,V6C 0C3,49.288953168131265,-123.1170999,1072,2,Canadian (New),4.2,1
Japadog,Richmond,V6X 2X9,49.17513197931976,-123.13605273665104,28,1,Hot Dogs,4.0,1
Re-Up BBQ,New Westminster,V3M 6B9,49.2000834965815,-122.911374465514,187,2,Barbeque,3.8,0
Urban Gate,Coquitlam,V3B 0C6,49.28222,-122.7962049,122,2,Persian/Iranian,3.1,0
JJ Bean Coffee Roasters,Vancouver,V6C 0B2,49.287471,-123.116865,39,1,Cafes,3.8,0
Fatburger,Coquitlam,V3K,49.23409,-122.86301,50,2,Burgers,3.4,0
Saigon Ivy,New Westminster,V3L 3B4,49.21207002304541,-122.91928025557237,48,2,Vietnamese,3.4,0
Sushi Bar Shu,Vancouver,V6P 4Z5,49.2123904,-123.14068048650988,78,4,Sushi Bars,4.4,1
Aaron's Restaurant,Surrey,V3S 1H1,49.1062,-122.73329,27,3,Italian,3.2,0
Kirin Restaurant,New Westminster,V3M 7A3,49.1867640831858,-122.955329577009,153,2,Seafood,3.5,0
Desi Turka Indian Cuisine,Burnaby,V3N 3N1,49.220269,-122.929508,78,2,Indian,3.9,0
New Lakeview Seafood & Wunton,Burnaby,V3N 3M9,49.2204185639885,-122.930049553083,71,2,Seafood,3.3,0
Yin Ji Chang Fen,Richmond,V6X 3L4,49.17786599999999,-123.1294224,136,2,Cantonese,4.3,1
Chao Shou Wang,Burnaby,V5H 2A9,49.2290734,-123.0048795,44,1,Chinese,4.1,1
The Apron,Richmond,V6X 4K3,49.19085129402266,-123.13391892507546,48,3,Breakfast & Brunch,4.0,1
John 3:16 Malaysian Delights,Vancouver,V6H 1E2,49.26371,-123.12812,85,2,Malaysian,4.2,1
Marugame Udon,Vancouver,V6B 6A3,49.2801931,-123.11028743227573,102,2,Japanese,4.0,1
Just Waffles,Vancouver,V5K 2A8,49.28128196346295,-123.02744138985871,148,2,Breakfast & Brunch,4.5,1
Charisma Cafe & Dessert House,Vancouver,V6B 6C1,49.27998259460614,-123.1087145,59,1,Desserts,3.9,0
Motonobu Udon,Vancouver,V5K 0E5,49.2813968,-123.0280718,137,2,Japanese,4.2,1
Afghan Turkish Cuisine,Burnaby,V5C 5G4,49.2807738,-123.0028986,62,1,Afghan,4.0,1
Lee Gar Nei,Surrey,V3R 8X7,49.1856150038833,-122.799098426308,27,2,Korean,4.0,1
Balkan House,Burnaby,V3N 1B4,49.22219,-122.94393,71,2,Modern European,3.4,0
Caffe Mira,Vancouver,V5T 3G7,49.2568399,-123.10088,46,1,Cafes,4.2,1
Chili Pepper House,Vancouver,V5R 5J6,49.236254639793266,-123.04171146419897,174,2,Hakka,3.8,0
Pho Capital,Richmond,V7C 0C7,49.174322922726276,-123.1480213,127,1,Vietnamese,4.0,1
49th Parallel Coffee,Vancouver,V5T 0C1,49.2591330651218,-123.10088478104,534,1,Cafes,4.1,1
Round Table Pizza,Richmond,V7C 1H5,49.15436908349,-123.157198331033,26,2,Pizza,3.2,0
Pink Peppercorn Seafood House,Vancouver,V5N 2R6,49.2493583,-123.0739159,165,3,Seafood,4.4,1
Greens & Beans Deli,New Westminster,V3L 3V9,49.2229306,-122.8931559,46,1,Delis,4.3,1
GoGo Chicken & BBQ,Coquitlam,V3B 2P7,49.282972,-122.796674,20,2,Korean,4.4,1
Artigiano,Richmond,V7B 0B7,49.197903,-123.140842,16,1,Cafes,2.9,0
Sun Century Cafe,Richmond,V6X 2C1,49.18621,-123.13344,13,1,Chinese,3.9,0
Tommies Jerk,Surrey,V3S 4K5,49.10037,-122.72386,10,1,Caribbean,4.7,1
Planet India,Surrey,V3W 9Z1,49.13379,-122.83907,66,2,Indian,3.8,0
Wicked Cafe,Vancouver,V6H 1B8,49.26544874408263,-123.135842,137,2,Cafes,3.8,0
The One Restaurant,Burnaby,V5J 1H2,49.2211721,-122.9774371,266,2,Taiwanese,3.4,0
Kamini's Corner Cafe,New Westminster,V3L 1N3,49.21256260644152,-122.93630497238739,7,1,Cafes,4.4,1
Hokkaido Ramen Santouka,Vancouver,V6G 1C7,49.290236,-123.133811,1012,2,Ramen,4.2,1
Diamond Sweets Restaurant,Surrey,V4N 0Y3,49.1585503,-122.7814484,35,1,Indian,3.4,0
Taste of Splendour,Burnaby,V5G 1H3,49.25518,-123.0087,9,1,Caterers,4.1,1
The Hide Out Cafe,New Westminster,V3M 6V4,49.2029257,-122.9108691,85,1,Coffee & Tea,4.2,1
Brewster's Sports Pub & Liquor store,Surrey,V3W 5A5,49.13690145,-122.84518586,41,2,Burgers,2.3,0
Belle's Cafe,Surrey,V4P 2A8,49.060498878556444,-122.83416005374684,11,1,Cafes,4.3,1
Pho Tau Bay,Surrey,V3W 5A5,49.135731,-122.844616,67,1,Vietnamese,3.5,0
Peaked Pies,Burnaby,V5C 2J7,49.28077,-123.01351,53,2,Australian,4.1,1
Vegan Supply Surrey,Surrey,V4P 2J2,49.059709,-122.833843,6,2,Health Markets,4.3,1
JOY Cafe,Vancouver,V6P 5X8,49.2098293,-123.1182943,53,2,Cafes,3.5,0
Chad Thai,Burnaby,V5C 2H9,49.2809351,-123.0160318,231,2,Thai,4.1,1
Ginger Indian Cuisine,Richmond,V6Y 3R9,49.15413956143999,-123.1245297116645,74,2,Indian,3.7,0
La Grotta Del Formaggio,Vancouver,V5N 4A4,49.2688848,-123.0697849,230,1,Delis,4.3,1
Kanpeki Teppanyaki & Seafood Bar,Richmond,V6X 1C3,49.1787958,-123.1314609,14,3,Japanese,3.4,0
Honeybrew,Vancouver,V6Z 2S7,49.27770339765184,-123.1269430835161,43,2,Bistros,4.1,1
Big Way Hot Pot,New Westminster,V3M 0G3,49.20104990676527,-122.91260437496537,16,2,Chinese,4.6,1
Anton's Pasta Bar,Burnaby,V5C 2J6,49.28072,-123.00984,557,2,Italian,3.5,0
Matoi Sushi,Coquitlam,V3B 6J6,49.274538,-122.791584,89,2,Japanese,3.5,0
Ash Street Bistro,Vancouver,V5Z,49.233925,-123.118871,13,2,Bistros,4.2,1
L'Abattoir,Vancouver,V6B 2J1,49.2831869855333,-123.104450140894,621,3,French,4.2,1
Gateway Pizza & Curry,Surrey,V3R 3W7,49.1699399,-122.8125,46,2,Indian,3.4,0
The Morrissey Pub,Vancouver,V6Z 1M5,49.2769058,-123.1268211,189,2,Pubs,3.7,0
Sura Korean Cuisine,Vancouver,V6G 1C3,49.2888601838143,-123.131742169312,482,2,Korean,4.1,1
Takara Sushi,Burnaby,V5G 1G4,49.2545851,-123.0220016,108,2,Sushi Bars,4.5,1
Browns Socialhouse QE Theatre,Vancouver,V6B 2P1,49.279919,-123.112788,85,2,Burgers,4.3,1
Sushi California,Coquitlam,V3J 1N7,49.2493323318395,-122.892389360117,351,2,Sushi Bars,3.4,0
The Spud Shack Fry,New Westminster,V3M 0G3,49.20095020309591,-122.91302027887068,213,2,Belgian,4.0,1
Agra Tandoori Restaurant,Burnaby,V5G 1G4,49.25443,-123.02066,205,2,Indian,3.9,0
Yianni's Greek Taverna,New Westminster,V3L 3B5,49.2124240808659,-122.919168452339,91,2,Greek,3.7,0
Thierry,Vancouver,V6E 1A1,49.2848818,-123.1228949,1042,2,Patisserie/Cake Shop,4.0,1
Zakkushi on Denman,Vancouver,V6G 2L7,49.291208,-123.136248,285,3,Japanese,4.2,1
Nana's Green Tea,Vancouver,V6M 1Z6,49.267587,-123.1086543,214,2,Desserts,4.2,1
Breakfast Table,Vancouver,V6H 1H6,49.25855,-123.13856,295,2,Breakfast & Brunch,4.3,1
The Red Accordion,Vancouver,V6G 1A6,49.29025,-123.131768,148,2,Cocktail Bars,4.6,1
Koto Izakaya,Richmond,V6X 1C3,49.1785,-123.13362,85,2,Japanese,3.0,0
Waffleland Cafe,Vancouver,V6B 1A5,49.2834917,-123.1050237,58,2,Waffles,4.1,1
Village Sushi Bar,Richmond,V7E 6S4,49.1186027526855,-123.158828735352,64,1,Sushi Bars,4.4,1
Empire Seafood Restaurant,Richmond,V6X 2E3,49.170860309787,-123.13706284400321,250,2,Seafood,3.3,0
Pearl Hot Pot,Burnaby,V5E 2W5,49.2188387,-122.964481,103,2,Hot Pot,3.3,0
Axum Restaurant,Vancouver,V6A 1S4,49.2814936637038,-123.07779582314,82,2,Ethiopian,4.4,1
IT Char Burger,New Westminster,V3L 2B8,49.222413,-122.9122126,81,1,Burgers,4.5,1
Waves Coffee House,Richmond,V7E 3M3,49.1241798712256,-123.182890052597,49,1,Coffee & Tea,3.0,0
Seasons In the Park,Vancouver,V5Y 2M5,49.2416705486198,-123.112535476685,599,3,Seafood,4.0,1
Main Choice Chinese Restaurant,Surrey,V3W 2N5,49.1338858,-122.8518572,66,2,Chinese,3.8,0
Kosoo,Vancouver,V6E 1B2,49.28494,-123.12592,176,2,Korean,4.3,1
Guildford Station Pub,Surrey,V3R 4J6,49.18759,-122.79506,115,2,Pubs,3.5,0
Han Lin Noodle House,New Westminster,V3L 3B2,49.210381277082135,-122.91715603819993,143,2,Chinese,3.5,0
Commercial Street Cafe,Vancouver,V5N 4E8,49.2526261,-123.0681265,75,2,Cafes,3.5,0
The Dolar Shop - Richmond,Richmond,V6X 2C7,49.1752620984987,-123.134143498425,253,3,Hot Pot,4.1,1
The Sandbar Seafood Restaurant,Vancouver,V6H 3R9,49.271502,-123.134151,845,3,Seafood,3.7,0
Hanaya Japanese Restaurant,Surrey,V4P 1G6,49.05326,-122.80091,73,2,Japanese,4.0,1
White Lotus Cafe,Burnaby,V5B 2Y1,49.2656111504516,-122.97883607144,98,2,Vietnamese,4.5,1
Excellent Ice,Surrey,V3S 5X7,49.1016051,-122.8070208,8,4,Skating Rinks,3.3,0
New Amsterdam Café,Vancouver,V6B 1H6,49.283004,-123.110008,79,1,Cafes,3.9,0
Abyssinia Ethiopian Restaurant,Burnaby,V3N 1B4,49.2224351,-122.9437792,35,2,Ethiopian,3.9,0
East Cafe,Vancouver,V5K 1Y8,49.2812767,-123.0563278,60,1,Coffee & Tea,4.3,1
Japanese Bistro Kamome,Vancouver,V5R 6C9,49.2371553,-123.0327306,51,2,Japanese,3.9,0
Mediterranean Donair House,New Westminster,V3L 3C6,49.215202,-122.9225917,18,1,Greek,3.8,0
Butchers Block BBQ,Burnaby,V5C 1R3,49.28129,-123.01453,143,2,Barbeque,3.8,0
CRAFT Beer Market False Creek,Vancouver,V5Y 0C4,49.2705604,-123.1063494,557,2,Beer Bar,3.4,0
