store_name,city,latitude,longitude,target_rating,target_is_successful,median_income,pop_density_sqkm,pct_age_20_39
Lupo,Vancouver,49.278222058049096,-123.11735347768747,4.3,1,50952.08,20315.08,50.46
The Red Accordion,Vancouver,49.29025,-123.131768,4.6,1,45387.1,22644.64,43.75
Botanist,Vancouver,49.2882901,-123.116555,4.3,1,46059.26,11616.93,47.74
Fat Mao Noodles,Vancouver,49.27982129999999,-123.1267997,4.4,1,48612.82,24414.96,48.47
JOEY Burrard,Vancouver,49.282606,-123.1231879,4.1,1,46740.28,20371.01,50.19
Nightingale,Vancouver,49.2874110331456,-123.117770967577,4.2,1,46325.0,12484.69,48.29
Riley's Vancouver,Vancouver,49.287641996861865,-123.1151089,4.3,1,45824.0,11637.95,48.28
The Fish Counter,Vancouver,49.250774041930285,-123.1012792,4.4,1,49648.72,6693.66,35.05
Kokoro Tokyo Mazesoba,Vancouver,49.2833927,-123.115078,4.1,1,48435.0,14327.25,51.32
Saku,Vancouver,49.2631006,-123.11667523250104,4.3,1,56410.0,8660.42,38.38
La Belle Patate,Vancouver,49.2820547306569,-123.133442922354,4.2,1,45473.08,24198.29,48.94
Fritz European Fry House,Vancouver,49.2772045,-123.1265253,4.2,1,49603.12,25751.01,47.79
Salmon n' Bannock,Vancouver,49.2631378,-123.1296705,4.5,1,54507.5,10940.23,40.47
Kishimoto Japanese Kitchen,Vancouver,49.2665099,-123.06935,4.4,1,43697.44,7228.75,37.78
Sura Korean Cuisine,Vancouver,49.2888601838143,-123.131742169312,4.1,1,45513.04,22528.33,44.49
Elisa,Vancouver,49.27597599917006,-123.12142339325408,4.3,1,51384.91,21057.57,48.02
Maruhachi Ra-men,Vancouver,49.2905691,-123.1333951,4.3,1,45147.54,23765.56,44.18
Tokyo In April,Vancouver,49.2806813,-123.1073936,4.4,1,43411.76,12415.09,47.61
Hokkaido Ramen Santouka,Vancouver,49.263127,-123.1168917,4.2,1,56410.0,8660.42,38.38
Shizen Ya,Vancouver,49.2808844,-123.1246278,4.3,1,48484.62,23522.86,48.41
Cactus Club Cafe,Vancouver,49.28554081466174,-123.11881637137162,4.1,1,47026.67,17704.84,50.58
Sawasdee Thai Restaurant,Vancouver,49.24703,-123.1008,4.0,1,48990.62,6065.56,31.94
Calabash Bistro,Vancouver,49.281004479966,-123.104228199529,4.0,1,40006.45,10966.19,44.37
Mazahr Lebanese Kitchen,Vancouver,49.2615511,-123.1383052,4.7,1,54488.1,8219.24,41.72
Happy Noodle House,Vancouver,49.27664,-123.12578,4.6,1,49743.33,22818.21,47.47
LOCAL Public Eatery Gastown,Vancouver,49.2836468,-123.1039495,4.3,1,39384.62,10523.52,45.32
Tap & Barrel - Convention Centre,Vancouver,49.289845529586,-123.116857235515,3.8,0,44895.24,12146.31,45.88
Social Corner- Coal Harbour,Vancouver,49.28789956950066,-123.11817217614248,4.5,1,46348.39,14620.07,48.49
Kozak Ukrainian Restaurant,Vancouver,49.28266968028282,-123.1045676752585,4.6,1,40528.57,11038.37,44.97
Encore Suite,Vancouver,49.2776420028873,-123.109174971689,4.3,1,49511.76,17934.25,49.78
Nook,Vancouver,49.2917554,-123.1352974,4.2,1,45631.37,26455.61,42.94
Alouette Bistro,Vancouver,49.2853,-123.11829,4.3,1,46841.86,17466.69,51.56
Alchemy Bar and Kitchen,Vancouver,49.27422,-123.124,4.3,1,51250.98,22315.78,45.61
Okeya Kyujiro,Vancouver,49.27581579131156,-123.1197521,4.8,1,52132.0,21480.58,47.98
Suyo Modern Peruvian,Vancouver,49.2540292,-123.1010659958052,4.5,1,50767.57,7972.15,38.8
Le Crocodile Restaurant,Vancouver,49.2825393,-123.1252052,4.3,1,47250.62,23195.66,49.65
Pink Peppercorn Seafood House,Vancouver,49.2493583,-123.0739159,4.4,1,39221.05,7081.01,33.79
Pourhouse Restaurant,Vancouver,49.2841134475502,-123.10842879595,4.0,1,43288.89,10466.33,49.76
Linh Cafe,Vancouver,49.2746716,-123.12989802,3.9,0,50539.29,21215.01,44.7
The Northern Cafe and Grill,Vancouver,49.208549754278906,-123.0724741261907,4.7,1,37778.95,5262.36,27.92
Hokkaido Ramen Santouka,Vancouver,49.290236,-123.133811,4.2,1,45147.54,24598.78,44.21
ARC Restaurant,Vancouver,49.28733537787621,-123.11385049155078,4.0,1,46400.0,11107.71,49.0
iDen & Quan Ju De Beijing Duck House,Vancouver,49.26021,-123.1148451,3.6,0,55070.27,8103.33,38.98
The Sandbar Seafood Restaurant,Vancouver,49.271502,-123.134151,3.7,0,53185.37,13765.48,41.32
Five Sails Restaurant,Vancouver,49.2880313351364,-123.113292160758,4.4,1,45684.21,9656.4,46.68
Dinesty Dumpling House,Vancouver,49.2908176,-123.1343912,3.9,0,45233.33,25063.69,44.1
St Lawrence Restaurant,Vancouver,49.2832584031253,-123.097993419888,4.4,1,37579.31,8625.43,38.62
Rodney's Oyster House,Vancouver,49.274326,-123.123131,4.0,1,51653.06,20256.81,46.24
Twisted Fork,Vancouver,49.283155,-123.104441,4.1,1,39384.62,10523.52,45.32
Dosanko,Vancouver,49.28278,-123.09194,4.0,1,33908.33,6667.59,34.63
España Restaurant,Vancouver,49.2880552,-123.1404114,4.2,1,45482.76,24653.96,43.57
Nero Waffles,Vancouver,49.27834403099929,-123.122044653573,4.4,1,49590.62,21693.12,48.95
Peaked Pies,Vancouver,49.2896489,-123.1384797,4.4,1,45532.2,25848.9,43.64
John 3:16 Malaysian Delights,Vancouver,49.26371,-123.12812,4.2,1,55361.54,10785.21,39.89
Cockney Kings Fish & Chips,Vancouver,49.272672,-123.148627,4.8,1,54948.48,8328.06,43.06
ONIGIRI YA,Vancouver,49.26339,-123.11652,4.6,1,56396.55,8360.95,38.1
Nuba in Gastown,Vancouver,49.2827625062516,-123.109646101134,4.0,1,45337.93,11833.53,50.91
The Magnet,Vancouver,49.28242131064444,-123.11118325952978,4.6,1,47712.5,12542.43,51.69
Sooda Korean BBQ,Vancouver,49.28256,-123.10628,4.6,1,41170.37,11010.59,46.96
Anh and Chi,Vancouver,49.2550314422938,-123.100882202153,4.0,1,51346.34,8329.22,40.74
Jeju,Vancouver,49.26228121460416,-123.0920469229725,4.5,1,46745.24,7971.15,46.91
Robba Da Matti,Vancouver,49.283146323514835,-123.10375675641404,4.6,1,38866.67,10472.78,44.73
The Mexican Antojitos Y Cantina,Vancouver,49.2787726,-123.1240268,4.3,1,48940.0,23795.76,48.41
Zarak By Afghan Kitchen,Vancouver,49.266224,-123.1006089,4.5,1,52485.71,8585.34,50.09
The Mackenzie Room,Vancouver,49.2832349,-123.0948578,4.5,1,35130.77,7868.87,35.62
Published on Main,Vancouver,49.25283186017385,-123.10116032897228,4.3,1,50371.43,7705.59,38.29
Marulilu Cafe,Vancouver,49.26338,-123.11415,4.0,1,56120.0,9816.14,42.82
Bodega On Main,Vancouver,49.27548853708847,-123.09968391901442,3.8,0,40803.57,12065.71,46.37
Burger Crush,Vancouver,49.27977707759172,-123.12350184856516,4.3,1,48797.18,23263.66,48.41
Maruhachi Ra-Men,Vancouver,49.27854065320407,-123.1157914,4.1,1,50206.12,18095.77,50.6
Dovetail,Vancouver,49.27599363324675,-123.120331,4.3,1,51988.24,21308.05,48.13
Takenaka,Vancouver,49.2783093,-123.0755801,4.3,1,44495.65,4715.68,37.01
Angus T,Vancouver,49.2762326068102,-123.119233623147,4.3,1,51669.39,21134.36,48.2
Minami,Vancouver,49.2752733,-123.1207029,4.1,1,51796.0,20869.79,47.75
Tap & Barrel - Bridges,Vancouver,49.2727468,-123.1359964,4.3,1,53721.43,13074.09,41.17
La Grotta Del Formaggio,Vancouver,49.2688848,-123.0697849,4.3,1,44605.0,7141.66,37.33
The Patty Shop,Vancouver,49.250721434013,-123.167994263811,4.4,1,40913.04,3642.45,24.07
Zab Zaab Thai Cuisine,Vancouver,49.27493,-123.12321,4.5,1,51157.69,20357.6,46.5
Fresh Donair,Vancouver,49.2792016361722,-123.12335201658,4.7,1,48877.14,23774.53,48.39
Homura Yakiniku,Vancouver,49.263136,-123.125637,4.4,1,54956.41,10854.24,38.4
Banana Leaf,Vancouver,49.28001,-123.13009,3.6,0,47289.74,25600.96,48.41
Seaport City Seafood Restaurant,Vancouver,49.263921119674905,-123.115152,4.2,1,55909.68,9895.18,42.86
Superbaba,Vancouver,49.2633297,-123.1012681,4.6,1,52568.75,10388.63,50.29
Earls Kitchen + Bar,Vancouver,49.281536,-123.12368,3.7,0,47422.37,23280.93,48.55
Oku Izakaya Bar,Vancouver,49.283441,-123.1044594,4.7,1,39384.62,10523.52,45.32
Mount Everest Kitchen & Grill,Vancouver,49.28343057225757,-123.1142148824853,4.6,1,48284.21,13601.73,50.91
Les Faux Bourgeois,Vancouver,49.2572813531481,-123.089767330802,3.9,0,46181.63,8943.99,42.35
Elem Vancouver,Vancouver,49.266199,-123.100564,4.3,1,52485.71,8585.34,50.09
Toyokan Bowl,Vancouver,49.27055,-123.14762,4.7,1,54797.44,8793.34,41.54
Banana Leaf,Vancouver,49.26302,-123.1225,3.7,0,55465.71,10228.27,39.65
Gyu-Kaku Japanese BBQ,Vancouver,49.28031,-123.12467,4.0,1,48620.78,23281.34,47.96
Caveman Cafe,Vancouver,49.280802324947445,-123.10703500282293,4.4,1,42812.5,12649.65,47.28
Oyster Express,Vancouver,49.2792784082144,-123.097397130932,4.5,1,38194.12,7614.85,41.54
Sushi Jin,Vancouver,49.2795794102629,-123.123817518353,4.6,1,48797.18,23263.66,48.41
Kook Korean BBQ,Vancouver,49.26894,-123.04565,4.2,1,35914.29,6069.4,30.06
Score on Davie,Vancouver,49.2823221457395,-123.134614739512,4.3,1,45461.04,22773.07,48.79
Pholicious,Vancouver,49.28297,-123.11279,4.3,1,48111.11,12889.19,51.19
Wow Full Noodle House,Vancouver,49.28255,-123.1145,4.7,1,48229.27,13973.04,51.12
Meat & Bread,Vancouver,49.2826255017147,-123.109336831057,4.2,1,45337.93,12068.21,50.98
Brunch,Vancouver,49.2778182,-123.1254634,4.5,1,49274.63,23857.68,47.8
Zakkushi on Denman,Vancouver,49.291208,-123.136248,4.2,1,45414.81,26785.84,43.37
Fat Mao,Vancouver,49.27881,-123.09893,4.0,1,38531.25,9012.49,41.88
Skewers Souvlaki Pita Bar,Vancouver,49.28317,-123.10286,4.6,1,38172.41,10158.84,43.78
Ray's,Vancouver,49.275365,-123.121483,4.4,1,51750.0,19022.15,47.32
The Greek By Anatoli,Vancouver,49.276285,-123.1197178,3.8,0,51415.69,21244.29,48.11
Song,Vancouver,49.2629749,-123.0986667,4.4,1,50631.43,7019.83,47.97
Vij's Restaurant,Vancouver,49.25754,-123.11479,4.0,1,55243.24,8451.93,38.49
Maenam,Vancouver,49.26787,-123.1488979,3.9,0,55197.87,9328.23,41.69
Zoomak Korean Tavern,Vancouver,49.28343,-123.10292,4.2,1,38207.14,10135.55,43.88
Osteria Savio Volpe,Vancouver,49.2574913,-123.0909344,4.2,1,46455.77,9111.05,42.93
Mr Shawarma,Vancouver,49.28526,-123.12075,4.4,1,46052.0,17582.68,49.67
Yolks ,Vancouver,49.278737,-123.128973,4.5,1,48781.08,26130.36,48.11
New Fuji,Vancouver,49.27082027992868,-123.14700923860072,4.3,1,54656.76,8619.11,41.65
Jinmi,Vancouver,49.27852246473989,-123.1143514,4.6,1,50304.44,17498.49,49.97
Fable Diner,Vancouver,49.2630749,-123.1019822,3.9,0,52830.3,10196.9,49.68
Le Petit Belge,Vancouver,49.278975790117805,-123.116520502828,4.2,1,49978.43,18276.77,50.58
Alley 16,Vancouver,49.257017,-123.11474,4.6,1,55255.88,8169.45,37.53
Teahouse in Stanley Park,Vancouver,49.3012529987012,-123.157079257071,4.1,1,,,
New Town Bakery & Restaurant,Vancouver,49.280153,-123.101201,3.8,0,38873.33,12027.22,42.26
La Taqueria Pinche Taco Shop,Vancouver,49.263617,-123.112593,4.2,1,55803.57,9629.0,43.51
Horin Tonkotsu Ramen ,Vancouver,49.28617,-123.12749,4.2,1,45221.92,22052.17,47.42
Dynasty Seafood Restaurant,Vancouver,49.2635999,-123.12138,3.6,0,55503.03,10655.59,39.25
Earls Kitchen + Bar,Vancouver,49.285968141691775,-123.12656576441812,3.8,0,45286.96,21868.16,48.38
International Food Fair,Vancouver,49.28533,-123.11718,3.8,0,46785.37,15446.68,50.47
TAKO,Vancouver,49.278816,-123.1078822,4.0,1,45854.05,14772.88,47.73
Vonns,Vancouver,49.28724,-123.14124,4.5,1,45635.09,24715.08,44.79
Jerusalem Shawarma,Vancouver,49.280356,-123.118634,4.6,1,49063.79,18296.73,50.58
Bahar Cafe,Vancouver,49.28069,-123.11846,4.8,1,48505.17,18002.03,50.35
Maxine's Cafe & Bar,Vancouver,49.27807,-123.13131,4.3,1,48939.73,21414.39,47.34
Big Way Hot Pot,Vancouver,49.281753,-123.120701,4.1,1,47789.71,21303.48,49.73
Burgoo Bistros,Vancouver,49.25765498958033,-123.100815,3.9,0,50885.71,8648.13,42.96
Axum Restaurant,Vancouver,49.2814936637038,-123.07779582314,4.4,1,40988.89,3524.52,36.2
Sushi Hil,Vancouver,49.2554661,-123.1011451,4.6,1,51278.05,8268.44,41.49
Meat & Bread,Vancouver,49.2872146,-123.1188744,4.0,1,46235.29,15118.82,48.63
Indian Roti Kitchen,Vancouver,49.25901,-123.11538,4.5,1,55087.18,7800.14,39.17
Market Grill,Vancouver,49.2726237,-123.1356235,4.0,1,53797.62,13319.17,41.38
Emeri Matcha Bar,Vancouver,49.25985515950016,-123.10136160271884,4.6,1,51782.05,8353.72,45.94
Mean Poutine,Vancouver,49.2794438014385,-123.123368918896,3.9,0,48877.14,23249.57,48.36
Tre Viet,Vancouver,49.28812950568292,-123.1403068,4.7,1,45482.76,24653.96,43.57
Toshi Sushi,Vancouver,49.256699,-123.101936,4.3,1,51512.2,8371.55,42.45
Ramen DANBO - Kitsilano,Vancouver,49.26828,-123.146431,4.3,1,54858.33,9727.12,41.0
Haliná,Vancouver,49.281312044621686,-123.0557762,4.6,1,41870.27,6741.5,35.66
Gotham Steakhouse & Bar,Vancouver,49.28290359590047,-123.115883832301,4.1,1,48162.79,14343.81,51.37
Steamworks,Vancouver,49.28498,-123.11084,3.6,0,46241.67,11248.66,50.43
Thierry,Vancouver,49.2848818,-123.1228949,4.0,1,45468.75,19171.58,49.57
Seasons In the Park,Vancouver,49.2416705486198,-123.112535476685,4.0,1,43920.0,3293.94,36.83
Ignite Pizzeria,Vancouver,49.27724,-123.11858,4.6,1,51308.0,20261.52,49.15
Dante Italian Sandwich,Vancouver,49.279199,-123.116803,4.3,1,49829.41,18350.55,50.67
Los Elotes,Vancouver,49.26332,-123.11646,5.0,1,56396.55,8360.95,38.1
Caffe La Tana,Vancouver,49.2788597356837,-123.070581380828,4.5,1,44535.48,5385.91,37.97
Japadog,Vancouver,49.285942555161974,-123.1123797035985,4.1,1,46775.0,11012.77,50.05
Wang's Shanghai Cuisine,Vancouver,49.232843,-123.034814,4.3,1,35114.29,9657.74,35.87
Cuchillo,Vancouver,49.283262611469,-123.098110155039,4.2,1,37579.31,8625.43,38.62
Takenaka Uni Bar,Vancouver,49.283034,-123.1030239,4.5,1,38172.41,10158.84,43.78
Pho 37,Vancouver,49.28909,-123.13232,4.6,1,45545.45,22153.3,43.79
Granville Kebab & Poutine,Vancouver,49.279271,-123.123571,4.7,1,48797.18,23786.04,48.44
Perfecto Cafe,Vancouver,49.276804,-123.125213,4.1,1,49710.0,23872.97,47.91
Yasma,Vancouver,49.293372954206546,-123.1321844713631,4.4,1,45521.95,26061.01,40.89
Portuguese Club of Vancouver,Vancouver,49.2744271,-123.0693279,3.6,0,45062.86,6833.43,36.64
Batard Boulangerie & Cafe Moderne,Vancouver,49.2495337429805,-123.089919893626,4.4,1,45352.5,6751.17,31.85
Captain's Oven Pizza,Vancouver,49.287574432889535,-123.121025,4.5,1,45318.18,16371.64,47.73
The Morrissey Pub,Vancouver,49.2769058,-123.1268211,3.7,0,49645.45,22946.89,47.37
Green Leaf Sushi,Vancouver,49.2642679,-123.1801,3.9,0,48283.33,6391.38,34.84
KINTON RAMEN ROBSON,Vancouver,49.27955,-123.117318,4.4,1,49829.41,17989.5,50.63
Torafuku,Vancouver,49.27589499983855,-123.09961118220762,3.8,0,39507.14,11592.53,45.45
Chili Pepper House,Vancouver,49.236254639793266,-123.04171146419895,3.8,0,34656.41,8290.75,33.96
Saba Foods,Vancouver,49.260076553366275,-123.13904964662748,4.4,1,54307.14,8226.7,42.14
Palate Kitchen,Vancouver,49.286282,-123.115634,4.1,1,46700.0,14218.14,50.58
Straight Outta Brooklyn NYC Pizzeria,Vancouver,49.2791165,-123.1166227,4.1,1,49663.46,18380.5,50.45
The 515 bar,Vancouver,49.283842,-123.1144244,4.7,1,47862.86,13497.99,51.69
Social Corner,Vancouver,49.2785831916346,-123.118480343303,3.6,0,49698.15,20336.11,50.2
Browns Socialhouse QE Theatre,Vancouver,49.279919,-123.112788,4.3,1,48625.64,14659.56,49.27
Oceans 999,Vancouver,49.2881297,-123.1148699,3.5,0,45740.0,9547.9,47.5
Marugame Udon,Vancouver,49.2801931,-123.11028743227573,4.0,1,48120.0,13733.22,48.82
Van Tea Cafe,Vancouver,49.233265,-123.1013951,3.8,0,39816.0,5353.23,32.36
The Farmhouse,Vancouver,49.26185879464837,-123.09710762514682,4.0,1,49382.5,7098.41,47.1
Yama Cafe,Vancouver,49.2813049,-123.0632877,4.4,1,43266.67,5508.42,38.22
Ukrainian Village,Vancouver,49.2914123,-123.1358196,4.1,1,45414.81,26785.84,43.37
Nero Waffles,Vancouver,49.2907208,-123.1339952,4.3,1,45147.54,24598.78,44.21
The Dirty Apron Delicatessen,Vancouver,49.2805632,-123.1091772,4.5,1,47288.24,13234.57,49.32
Moltaqa Moroccan Restaurant,Vancouver,49.27642,-123.11897,3.8,0,51669.39,21134.36,48.2
Siegel's Bagels,Vancouver,49.2726237,-123.1356235,3.9,0,53797.62,13319.17,41.38
Kulinarya,Vancouver,49.2744901,-123.0693269,4.0,1,45062.86,6833.43,36.64
Giardino,Vancouver,49.276991,-123.1301021,3.9,0,49759.42,21599.71,46.88
Pho Khanh Express,Vancouver,49.2763,-123.11561,4.4,1,52147.73,20499.73,50.1
European Breads,Vancouver,49.2463202,-123.0899976,3.7,0,44147.37,6678.9,30.92
AJ's Brooklyn Pizza Joint,Vancouver,49.2629437687572,-123.098307028413,4.2,1,49434.21,7075.75,47.6
Oddfish,Vancouver,49.2708136,-123.1475237,4.1,1,54839.47,8712.44,41.68
Moose's Down Under,Vancouver,49.285638,-123.11634,3.9,0,46411.11,14832.34,50.36
Acquafarina,Vancouver,49.281192528357174,-123.11539859159646,4.1,1,48910.42,14937.25,50.02
Western Lake Chinese Seafood Restaurant,Vancouver,49.23933628972885,-123.0655687885182,4.0,1,33394.12,7512.89,32.71
Breakfast Table,Vancouver,49.25855,-123.13856,4.3,1,53861.11,8128.57,43.33
MamaLee,Vancouver,49.27961961550342,-123.108583,4.3,1,45805.26,13705.83,47.0
Osaka Teppanyaki Steak & Seafood House,Vancouver,49.263417,-123.1453266,3.9,0,53668.89,10464.45,41.75
Le Parfait,Vancouver,49.27914137816261,-123.1171837,4.6,1,49829.41,18350.55,50.67
Shiok Singapore Cuisine,Vancouver,49.2469321,-123.0693059,3.8,0,37450.0,7561.02,34.17
Bam Bam,Vancouver,49.27884508068396,-123.1128639450468,4.4,1,50517.5,17512.51,50.52
Pizza Rubato Napoletana,Vancouver,49.2635503,-123.1170685,4.3,1,56410.0,8662.82,38.18
Shiro,Vancouver,49.25796735722776,-123.11460624110458,4.1,1,55243.24,8451.93,38.49
Fuwa Fuwa,Vancouver,49.28874,-123.13151,4.0,1,45513.04,22528.33,44.49
Homer St. Cafe and Bar,Vancouver,49.27842589023651,-123.11812388962127,3.8,0,50040.38,20563.08,50.16
Paul's Omelettery Restaurant,Vancouver,49.26597,-123.1389,3.9,0,54176.19,9828.28,41.14
Unchai Thai Restaurant,Vancouver,49.265112,-123.145913,4.4,1,54695.74,10806.7,40.66
Vancouver European Deli,Vancouver,49.2820012,-123.1339713,4.2,1,45332.89,24425.52,48.9
Ash Street Bistro,Vancouver,49.233925,-123.118871,4.2,1,36837.5,3449.61,32.65
Nana's Green Tea,Vancouver,49.267587,-123.1086543,4.2,1,54575.0,10968.48,46.58
The Keg Steakhouse + Bar,Vancouver,49.28602851408301,-123.12446573128037,4.1,1,45022.22,18315.58,47.96
Xin Chào,Vancouver,49.2626123961945,-123.11515357347383,4.1,1,55262.5,8301.71,39.31
Landmark Hotpot House,Vancouver,49.2498660758194,-123.11556053834,3.9,0,51336.0,5343.97,33.1
Pizzeria Ludica,Vancouver,49.2800427277576,-123.108486811639,4.0,1,45027.78,13441.93,48.16
A.Bento,Vancouver,49.263164,-123.118857,3.9,0,56009.09,8141.12,38.18
Italian Kitchen,Vancouver,49.2825685,-123.1236112,3.8,0,47012.16,20529.05,49.81
Whole Food Market,Vancouver,49.2640495,-123.1150513,3.9,0,55909.68,9895.18,42.86
Le Marché St. George,Vancouver,49.2456344,-123.0941734,4.1,1,45500.0,5641.75,30.57
Cafe & Life Co.,Vancouver,49.265218,-123.116184,4.5,1,57748.28,10835.6,40.79
Perfecto Cafe,Vancouver,49.28871769896423,-123.1314811,4.9,1,45513.04,22528.33,44.49
New Amsterdam Café,Vancouver,49.283004,-123.110008,3.9,0,46207.14,11679.35,51.18
Breka Bakery & Cafe,Vancouver,49.2857242811844,-123.1271553452,3.9,0,45197.33,22271.77,48.26
Trafiq Cafe & Bakery,Vancouver,49.2474862,-123.1011218,4.4,1,48990.62,6065.56,31.94
Caffe Di Beppe,Vancouver,49.28235624721356,-123.1045101,4.3,1,40528.57,11038.37,44.97
Bread x Butter Cafe,Vancouver,49.2841611,-123.1199654,4.0,1,46815.09,18828.57,51.3
Terra Breads,Vancouver,49.27144458615277,-123.1067987907931,3.9,0,52291.3,13849.82,48.92
Mercato Di Luigi,Vancouver,49.259654006064046,-123.0913247,4.5,1,47051.06,9906.13,45.47
The Flying Whale Waterfront Cafe,Vancouver,49.2892871686,-123.110275449,4.4,1,42636.36,7461.07,42.61
Crackle Creme,Vancouver,49.27776,-123.0981399,4.3,1,38103.45,9891.2,41.78
Broye Cafe & Bakery,Vancouver,49.285311,-123.117205,4.3,1,46900.0,15793.03,50.46
Their There,Vancouver,49.2679649501648,-123.151158941154,4.2,1,55439.58,9783.32,41.05
Aiyaohno Cafe,Vancouver,49.28108,-123.1049,4.6,1,40960.0,11371.41,45.88
Cafe Kitsune,Vancouver,49.2843189,-123.10811606730482,4.1,1,42692.31,9881.52,48.8
Nonna's Cucina,Vancouver,49.280915,-123.060235,4.5,1,42356.76,5769.66,36.65
Hunnybee,Vancouver,49.2778557236571,-123.097276474569,4.0,1,37620.0,10014.45,41.21
Café Portrait,Vancouver,49.2881056129168,-123.140413686633,4.3,1,45482.76,24653.96,43.57
Marché Mon Pitou,Vancouver,49.2654349,-123.1357134,4.2,1,54719.51,10589.63,40.54
The Golden Horn Turkish Bakery & Cafe,Vancouver,49.25981092848732,-123.11540668,4.7,1,55188.89,7906.37,39.92
Cowdog Coffee,Vancouver,49.2682421476335,-123.1486199,4.1,1,54951.06,9544.92,41.08
Honeybrew,Vancouver,49.27770339765184,-123.1269430835161,4.1,1,49326.47,24027.21,47.8
7 Days Coffee,Vancouver,49.2762673787726,-123.11571355470014,4.6,1,52020.0,20733.57,50.39
To Live For Bakery,Vancouver,49.27121199258215,-123.0565958,4.6,1,42724.32,6058.1,31.87
Dutch Wooden Shoe Cafe,Vancouver,49.2560017,-123.114899418709,3.8,0,54883.78,7844.58,37.64
Convivial Cafe and Bakery,Vancouver,49.2675426,-123.1196639,4.7,1,56671.43,12729.41,40.74
Truck Stop Cafe,Vancouver,49.2754522,-123.0771151,4.3,1,43616.0,4994.09,35.98
Saunter Coffee,Vancouver,49.2825165,-123.1112558,4.5,1,47712.5,12542.43,51.69
Sio Bread,Vancouver,49.2788451,-123.09957643313524,4.4,1,38703.23,12103.31,42.17
Caffe Mira,Vancouver,49.2787456,-123.129878,4.3,1,48665.79,26385.38,48.14
Mishmish,Vancouver,49.25398,-123.09019,4.5,1,45881.4,7510.25,36.83
JJ Bean Coffee Roasters,Vancouver,49.287471,-123.116865,3.8,0,46193.1,12201.88,48.28
Greenhorn Cafe,Vancouver,49.2866689,-123.1341521,4.1,1,45333.33,24243.11,44.86
Annabelle's,Vancouver,49.27908159282256,-123.10187134891748,4.8,1,38873.33,12425.85,43.12
Caffe Mira,Vancouver,49.2568399,-123.10088,4.2,1,50754.55,8463.47,42.64
Halfday Tea + Flower,Vancouver,49.2635709085802,-123.124036450926,4.1,1,55141.03,10809.15,38.93
Catfe,Vancouver,49.28029,-123.10675,3.5,0,42812.5,12649.65,47.28
Chez Nous,Vancouver,49.27446660098396,-123.12415938465575,4.2,1,51034.62,22041.28,45.68
