store_name,city,latitude,longitude,target_rating,target_is_successful,neighbourhood_name
La Belle Patate,Vancouver,49.2820547306569,-123.133442922354,4.2,1,Davie Village
Salmon n' Bannock,Vancouver,49.2631378,-123.1296705,4.5,1,Fairview
Hello Nori ,Vancouver,49.28559747478766,-123.1261163,4.5,1,Davie Village
Tokyo In April,Vancouver,49.2806813,-123.1073936,4.4,1,Chinatown
The Red Accordion,Vancouver,49.29025,-123.131768,4.6,1,Lower Robson
Kokoro Tokyo Mazesoba,Vancouver,49.2833927,-123.115078,4.1,1,Downtown
Maruhachi Ra-men,Vancouver,49.2905691,-123.1333951,4.3,1,Lower Robson
Happy Noodle House,Vancouver,49.27664,-123.12578,4.6,1,Yaletown
Mazahr Lebanese Kitchen,Vancouver,49.2615511,-123.1383052,4.7,1,South Granville
Tap & Barrel - Convention Centre,Vancouver,49.289845529586,-123.116857235515,3.8,0,Financial District
Calabash Bistro,Vancouver,49.281004479966,-123.104228199529,4.0,1,Chinatown
Sura Korean Cuisine,Vancouver,49.2888601838143,-123.131742169312,4.1,1,Lower Robson
Dinesty Dumpling House,Vancouver,49.2908176,-123.1343912,3.9,0,Lower Robson
Encore Suite,Vancouver,49.2776420028873,-123.109174971689,4.3,1,Downtown
Kishimoto Japanese Kitchen,Vancouver,49.2665099,-123.06935,4.4,1,Grandview-Woodland
LOCAL Public Eatery Gastown,Vancouver,49.2836468,-123.1039495,4.3,1,Gastown
Alouette Bistro,Vancouver,49.2853,-123.11829,4.3,1,Financial District
Tom Sushi,Vancouver,49.2815608,-123.1327476,4.7,1,Davie Village
Sawasdee Thai Restaurant,Vancouver,49.24703,-123.1008,4.0,1,Riley Park
Cactus Club Cafe,Vancouver,49.28554081466174,-123.11881637137162,4.1,1,Financial District
Tavola,Vancouver,49.2918164,-123.1357186,4.4,1,Lower Robson
Fritz European Fry House,Vancouver,49.2772045,-123.1265253,4.2,1,Yaletown
The Sandbar Seafood Restaurant,Vancouver,49.271502,-123.134151,3.7,0,South Granville
ONIGIRI YA,Vancouver,49.26339,-123.11652,4.6,1,Fairview
Alchemy Bar and Kitchen,Vancouver,49.27422,-123.124,4.2,1,Yaletown
Linh Cafe,Vancouver,49.2746716,-123.12989802,3.9,0,Granville
JOEY Burrard,Vancouver,49.282606,-123.1231879,4.1,1,Downtown
Rodney's Oyster House,Vancouver,49.274326,-123.123131,4.0,1,Yaletown
Riley's Vancouver,Vancouver,49.287641996861865,-123.1151089,4.3,1,Downtown
Published on Main,Vancouver,49.25283186017385,-123.10116032897228,4.3,1,Riley Park
Pourhouse Restaurant,Vancouver,49.2841134475502,-123.10842879595,4.0,1,Gastown
Hokkaido Ramen Santouka,Vancouver,49.263127,-123.1168917,4.2,1,Fairview
Social Corner- Coal Harbour,Vancouver,49.28789956950066,-123.11817217614248,4.5,1,Financial District
ARC Restaurant,Vancouver,49.28733537787621,-123.11385049155078,4.0,1,Financial District
Breakfast Table,Vancouver,49.25855,-123.13856,4.3,1,Fairview
Nero Waffles,Vancouver,49.27834403099929,-123.12204465357301,4.4,1,Granville
Angus T,Vancouver,49.2762326068102,-123.119233623147,4.3,1,Yaletown
Nook,Vancouver,49.2917554,-123.1352974,4.2,1,Lower Robson
Fresh Donair,Vancouver,49.2792016361722,-123.12335201658,4.7,1,Granville
Seaport City Seafood Restaurant,Vancouver,49.263921119674905,-123.115152,4.2,1,Fairview
Le Crocodile Restaurant,Vancouver,49.2825393,-123.1252052,4.3,1,West End
Jeju,Vancouver,49.26228121460416,-123.0920469229725,4.5,1,Mount Pleasant
Fable Diner,Vancouver,49.2630749,-123.1019822,3.9,0,Mount Pleasant
Mount Everest Kitchen & Grill,Vancouver,49.28343057225757,-123.1142148824853,4.6,1,Downtown
The Magnet,Vancouver,49.28242131064444,-123.11118325952978,4.6,1,Chinatown
España Restaurant,Vancouver,49.2880552,-123.1404114,4.2,1,Denman Village
Robba Da Matti,Vancouver,49.283146323514835,-123.10375675641403,4.6,1,Gastown
Takenaka,Vancouver,49.2783093,-123.0755801,4.3,1,Grandview-Woodland
Mott 32,Vancouver,49.2868703881444,-123.12453761279501,3.9,0,Coal Harbour
Peaked Pies,Vancouver,49.2896489,-123.1384797,4.4,1,Denman Village
St Lawrence Restaurant,Vancouver,49.2832584031253,-123.097993419888,4.4,1,Downtown Eastside
Raisu,Vancouver,49.2679990419609,-123.158381134272,4.3,1,Kitsilano
Anh and Chi,Vancouver,49.2550314422938,-123.100882202153,4.0,1,Riley Park
Nuba in Gastown,Vancouver,49.2827625062516,-123.109646101134,4.0,1,Gastown
Suyo Modern Peruvian,Vancouver,49.2540292,-123.10106599580521,4.5,1,Riley Park
Kozak Ukrainian Restaurant,Vancouver,49.28266968028282,-123.1045676752585,4.6,1,Gastown
Twisted Fork,Vancouver,49.283155,-123.104441,4.1,1,Gastown
Cockney Kings Fish & Chips,Vancouver,49.272672,-123.148627,4.8,1,Kitsilano
The Dirty Apron Delicatessen,Vancouver,49.2805632,-123.1091772,4.5,1,Chinatown
John 3:16 Malaysian Delights,Vancouver,49.26371,-123.12812,4.2,1,Fairview
Marulilu Cafe,Vancouver,49.26338,-123.11415,4.0,1,Mount Pleasant
Moose's Down Under,Vancouver,49.285638,-123.11634,3.9,0,Financial District
Tap & Barrel - Bridges,Vancouver,49.2727468,-123.1359964,4.3,1,Fairview
Hokkaido Ramen Santouka,Vancouver,49.290236,-123.133811,4.2,1,Lower Robson
Wow Full Noodle House,Vancouver,49.28255,-123.1145,4.7,1,Downtown
Brunch,Vancouver,49.2778182,-123.1254634,4.5,1,Granville
Banana Leaf,Vancouver,49.28001,-123.13009,3.6,0,Davie Village
The Mackenzie Room,Vancouver,49.2832349,-123.0948578,4.5,1,Japantown
The Mexican Antojitos Y Cantina,Vancouver,49.2787726,-123.1240268,4.3,1,Granville
Zab Zaab Thai Cuisine,Vancouver,49.27493,-123.12321,4.5,1,Yaletown
Nero Waffles,Vancouver,49.2907208,-123.1339952,4.3,1,Lower Robson
Burger Crush,Vancouver,49.27977707759172,-123.12350184856517,4.3,1,Granville
Okeya Kyujiro,Vancouver,49.27581579131156,-123.1197521,4.8,1,Yaletown
The Northern Cafe and Grill,Vancouver,49.208549754278906,-123.0724741261907,4.7,1,Victoria-Fraserview
Superbaba,Vancouver,49.2633297,-123.1012681,4.6,1,Mount Pleasant
Sooda Korean BBQ,Vancouver,49.28256,-123.10628,4.6,1,Gastown
Caveman Cafe,Vancouver,49.280802324947445,-123.10703500282291,4.4,1,Chinatown
Zarak By Afghan Kitchen,Vancouver,49.266224,-123.1006089,4.5,1,Mount Pleasant
Five Sails Restaurant,Vancouver,49.2880313351364,-123.113292160758,4.4,1,Financial District
Yolks ,Vancouver,49.278737,-123.128973,4.5,1,Davie Village
Bahar Cafe,Vancouver,49.28069,-123.11846,4.8,1,Yaletown
Shizen Ya,Vancouver,49.2808844,-123.1246278,4.3,1,Yaletown
Jerusalem Shawarma,Vancouver,49.280356,-123.118634,4.7,1,Granville
Toyokan Bowl,Vancouver,49.27055,-123.14762,4.7,1,Kitsilano
Elem Vancouver,Vancouver,49.266199,-123.100564,4.3,1,Mount Pleasant
Song,Vancouver,49.2629749,-123.0986667,4.4,1,Mount Pleasant
Meat & Bread,Vancouver,49.2826255017147,-123.109336831057,4.2,1,Chinatown
La Grotta Del Formaggio,Vancouver,49.2688848,-123.0697849,4.3,1,Little Italy
Pink Peppercorn Seafood House,Vancouver,49.2493583,-123.0739159,4.4,1,Little Saigon
Earls Kitchen + Bar,Vancouver,49.281536,-123.12368,3.6,0,Downtown
Yolks,Vancouver,49.2631139,-123.1163529,3.6,0,Fairview
Maruhachi Ra-Men,Vancouver,49.27854065320407,-123.1157914,4.1,1,Yaletown
Le Petit Belge,Vancouver,49.278975790117805,-123.11652050282801,4.2,1,Yaletown
Pholicious,Vancouver,49.28297,-123.11279,4.3,1,Chinatown
Osteria Savio Volpe,Vancouver,49.2574913,-123.0909344,4.2,1,Mount Pleasant
Minami,Vancouver,49.2752733,-123.1207029,4.1,1,Yaletown
Oyster Express,Vancouver,49.2792784082144,-123.097397130932,4.5,1,Chinatown
KINTON RAMEN ROBSON,Vancouver,49.27955,-123.117318,4.4,1,Yaletown
Mr Shawarma,Vancouver,49.28526,-123.12075,4.4,1,Downtown
Bodega On Main,Vancouver,49.27548853708847,-123.09968391901442,3.8,0,Strathcona
New Town Bakery & Restaurant,Vancouver,49.280153,-123.101201,3.8,0,Chinatown
Maenam,Vancouver,49.26787,-123.1488979,3.9,0,Kitsilano
iDen & Quan Ju De Beijing Duck House,Vancouver,49.26021,-123.1148451,3.6,0,Fairview
Gyu-Kaku Japanese BBQ,Vancouver,49.28031,-123.12467,4.0,1,Granville
Banana Leaf,Vancouver,49.26302,-123.1225,3.7,0,Fairview
Burgoo Bistros,Vancouver,49.25765498958033,-123.100815,3.9,0,Mount Pleasant
La Taqueria Pinche Taco Shop,Vancouver,49.263617,-123.112593,4.2,1,Mount Pleasant
New Fuji,Vancouver,49.27082027992868,-123.14700923860073,4.3,1,Kitsilano
Alley 16,Vancouver,49.257017,-123.11474,4.6,1,Mount Pleasant
Vonns,Vancouver,49.28724,-123.14124,4.5,1,Lower Davie
Fat Mao,Vancouver,49.27881,-123.09893,4.0,1,Chinatown
Les Faux Bourgeois,Vancouver,49.2572813531481,-123.089767330802,3.9,0,Mount Pleasant
Kook Korean BBQ,Vancouver,49.26894,-123.04565,4.2,1,Hastings-Sunrise
Dovetail,Vancouver,49.275993633246756,-123.120331,4.3,1,Yaletown
Thierry,Vancouver,49.2848818,-123.1228949,4.0,1,Downtown
Horin Tonkotsu Ramen ,Vancouver,49.28617,-123.12749,4.2,1,Lower Robson
Score on Davie,Vancouver,49.2823221457395,-123.134614739512,4.3,1,Lower Davie
Ray's,Vancouver,49.275365,-123.121483,4.5,1,Yaletown
CHOCHO Hot Pot,Burnaby,49.231234,-123.006943,4.5,1,Metrotown
John 3:16 Malaysian Delights,Burnaby,49.22494698851795,-122.9900406,4.5,1,Metrotown
The Meat Up,Burnaby,49.2254546362785,-122.98992646931154,4.1,1,Metrotown
White Lotus Cafe,Burnaby,49.2656111504516,-122.97883607144,4.5,1,
Saku,Burnaby,49.26543,-123.005428,4.5,1,Brentwood
22's Grill,Burnaby,49.2430980643898,-122.969388433881,4.4,1,
Atlas Steak + Fish,Burnaby,49.256747,-123.006931,4.0,1,Brentwood
Gokudo Shabu Shabu,Burnaby,49.230168460812294,-123.0038528105504,4.4,1,Metrotown
Shanghai Dimsum House,Burnaby,49.2294464,-123.0044077,4.0,1,Metrotown
Living Room Lounge,Burnaby,49.2551,-123.02032,4.5,1,Cascade Heights
Korea Noodle House,Burnaby,49.229066,-123.004751,4.2,1,Metrotown
Haidilao Hotpot Brentwood,Burnaby,49.267417,-123.00189,4.6,1,Brentwood
Wild Flour Pizza,Burnaby,49.2584540319258,-122.955439905848,4.7,1,
Singapore Hawker,Burnaby,49.218768,-122.96447913871704,4.1,1,Edmonds
Wild Thyme,Burnaby,49.2092291,-122.932308,4.4,1,Kelvin
Safari Snack House And Grill,Burnaby,49.239118670642895,-122.96287338465577,3.9,0,Buckingham Heights
Kokoro Tokyo Mazesoba,Burnaby,49.228287011321385,-123.00315331667662,4.0,1,Metrotown
STEM Japanese Eatery,Burnaby,49.21497276456137,-122.98816101534423,4.2,1,Royal Oak
Jovo the Butcher,Burnaby,49.22185,-122.94565,5.0,1,Edmonds
OEB Breakfast,Burnaby,49.267442,-123.002595,4.1,1,Brentwood
Siam Le Bien,Burnaby,49.2813,-123.01068,4.3,1,Burnaby Heights
Takara Sushi,Burnaby,49.2545851,-123.0220016,4.4,1,Cascade Heights
囍·澳门特色打边炉  Authentic Macau Hot Pot,Burnaby,49.2277884925998,-123.00316795158997,4.3,1,Metrotown
Burnaby Mountain Clubhouse,Burnaby,49.265138,-122.943048,4.1,1,
Green & Oak Malaysian Restaurant,Burnaby,49.28081,-123.02185,3.9,0,Burnaby Heights
Grand Chinese Restaurant,Burnaby,49.266893,-123.004262,4.0,1,Brentwood
Birdies,Burnaby,49.2655537242762,-123.01959240000002,4.0,1,West Central Valley
The Viet Noodle Guy,Burnaby,49.26721987665755,-123.00572763320035,4.1,1,Brentwood
Portobello Restaurant,Burnaby,49.280764,-123.013394,4.7,1,Burnaby Heights
NamPo,Burnaby,49.22620549734934,-122.9917955,4.4,1,Metrotown
Little Minh's,Burnaby,49.1990675,-122.9799962,4.3,1,Big Bend
Masita Korean Cuisine,Burnaby,49.218978345984,-122.969008660356,3.9,0,Edmonds
Cactus Club Cafe,Burnaby,49.22775581945971,-123.00329214418927,3.9,0,Metrotown
Sooda Korean BBQ,Burnaby,49.2680924,-123.0003773,4.1,1,Brentwood
Burnt Orange,Burnaby,49.280836,-123.007658,4.5,1,Burnaby Heights
Horin Ramen,Burnaby,49.22901506843291,-123.00505047055158,4.5,1,Metrotown
Blue Coast,Burnaby,49.23466,-123.0246,4.5,1,Renfrew-Collingwood
Riverway Clubhouse Restaurant,Burnaby,49.200617,-122.990237,3.5,0,Big Bend
La Forêt,Burnaby,49.2212819390063,-122.995836958493,3.7,0,Royal Oak
The Keg Steakhouse + Bar,Burnaby,49.2596278,-123.0019108,3.9,0,Brentwood
Chettinad Dosa Palace,Burnaby,49.23933,-122.96364,3.2,0,Buckingham Heights
SOCRATES in the Heights,Burnaby,49.2811430405355,-122.998363226652,4.5,1,
Chad Thai,Burnaby,49.2809351,-123.0160318,4.1,1,Burnaby Heights
Claudio's,Burnaby,49.265511702879046,-123.00492429325409,3.8,0,Brentwood
Gaon  Korean Cuisine,Burnaby,49.223246,-122.982823,4.2,1,Royal Oak
Tendon Kohaku,Burnaby,49.2278910406839,-123.00348046083376,3.7,0,Metrotown
Trattoria by Italian Kitchen,Burnaby,49.23020501851105,-123.0039327,3.2,0,Metrotown
Fraser Park Restaurant,Burnaby,49.1941802,-122.9979206,4.2,1,Big Bend
Chao Shou Wang,Burnaby,49.2290734,-123.0048795,4.1,1,Metrotown
Sushi Taku,Burnaby,49.23982721439047,-123.03001648836062,4.3,1,Renfrew-Collingwood
Hiel Cafe,Burnaby,49.2190187,-122.92795,4.3,1,Edmonds
MYST Asian Fusion,Burnaby,49.21936313246308,-122.9706842,3.6,0,Edmonds
La Forêt - Royal Oak,Burnaby,49.2203,-122.98637,4.3,1,Royal Oak
Chào Mámi,Burnaby,49.2808832078838,-123.014717570458,4.0,1,Burnaby Heights
Argo Greek Cuisine Pizza Pasta,Burnaby,49.2544359,-123.02071005595984,4.2,1,Cascade Heights
JOEY Burnaby,Burnaby,49.2669122,-123.0066466,3.7,0,West Central Valley
Taku Japanese Kitchen,Burnaby,49.21462,-122.98827,4.8,1,Royal Oak
Chen,Burnaby,49.28086095595619,-123.0091730738817,4.1,1,Burnaby Heights
Wang's Shanghai Cuisine,Burnaby,49.232843,-123.034814,4.3,1,Killarney
Big Way Hot Pot,Burnaby,49.2310987,-123.0083309711633,4.0,1,Metrotown
Kokoro Tokyo Mazesoba,Burnaby,49.266952192668484,-123.00631798803806,4.3,1,Brentwood
Adam's Crepes,Burnaby,49.2149649,-122.9880349,4.6,1,Royal Oak
Tenen,Burnaby,49.21549,-122.98895,4.2,1,Royal Oak
Kimshaker,Burnaby,49.2332,-123.013747,4.4,1,Metrotown
B&D Authentic Viet Cuisine,Burnaby,49.21818434432872,-122.9578841,3.8,0,Edmonds
El Inka Latin Deli,Burnaby,49.24941,-123.01912,4.4,1,Cascade Heights
Earls Kitchen + Bar,Burnaby,49.2279486,-123.0027748,3.9,0,Metrotown
Bow & Stern,Burnaby,49.2681023,-123.0000943,3.7,0,Brentwood
Cockney Kings Fish & Chips,Burnaby,49.28005299920758,-122.96652586933914,4.0,1,
Saffron Indian Cuisine,Burnaby,49.2311623,-123.0085405,3.8,0,Metrotown
Time & Place Kitchen | Bar,Burnaby,49.22869,-123.004102,3.7,0,Metrotown
Aroma Eatery,Burnaby,49.228417734136464,-123.00491628393937,4.4,1,Metrotown
Viva Sue Pizza,Burnaby,49.2391579,-122.9625575,4.2,1,Buckingham Heights
Balkan House,Burnaby,49.22219,-122.94393,3.4,0,Eastburn
The One Restaurant,Burnaby,49.2211721,-122.9774371,3.4,0,Royal Oak
Soup Meister,Burnaby,49.31028,-123.08191,4.3,1,The Shipyards
Hart House Restaurant,Burnaby,49.23804,-122.96671,3.7,0,Buckingham Heights
Pho Hong Vietnamese Restaurant,Burnaby,49.2213203,-122.9769818,2.9,0,Royal Oak
Big Way Hot Pot,Burnaby,49.23150769999999,-123.0094545,3.6,0,Metrotown
L'Artista,Burnaby,49.281231129459975,-123.0188885,4.0,1,Burnaby Heights
Anatolia's Gate Restaurant,Burnaby,49.2183151,-122.9579254,3.8,0,Edmonds
The Bao Place,Burnaby,49.21942124951652,-122.9500496,4.3,1,Edmonds
Golden Pita Lebanese Restaurant,Burnaby,49.2531819933441,-122.897602039217,4.2,1,Sullivan Heights
Sushi U,Burnaby,49.2654624429451,-122.978147623681,4.5,1,
Agra Tandoori Restaurant,Burnaby,49.25443,-123.02066,3.9,0,Cascade Heights
Shanghai Fortune Cuisine,Burnaby,49.22954179328731,-123.00467593195059,3.9,0,Metrotown
Mongo Bongo,Burnaby,49.2135179,-122.9193884,3.9,0,Queens Park
1003 Brunch & Dessert,Burnaby,49.22447173359129,-122.9899072,4.1,1,Metrotown
Cayenne Bistro & Grill,Burnaby,49.2213856,-122.9309353,4.8,1,Edmonds
Zaaki Cuisine,Burnaby,49.2131145,-122.9200483,4.6,1,Queens Park
Kozak Ukranian Eatery,Burnaby,49.2114757572234,-122.918422905028,4.4,1,Queens Park
Midam Rice Cake House,Burnaby,49.24411305860233,-122.89468909572413,3.4,0,Lougheed
Chicko Chicken Korean Style,Burnaby,49.2191861,-122.9505083,4.1,1,Edmonds
Kimbap Cheonguk,Burnaby,49.2446982,-122.8918313,4.4,1,Cariboo
H&P Noodle House,Burnaby,49.281271,-123.015823,3.9,0,Burnaby Heights
Pearl Hot Pot,Burnaby,49.2188387,-122.964481,3.3,0,Edmonds
Afghan Turkish Cuisine,Burnaby,49.2807738,-123.0028986,4.0,1,Brentwood
Sushi Bar Kilala,Burnaby,49.2811517065771,-122.995635763696,4.3,1,
Green Leaf Cafe,Burnaby,49.2533051,-122.8982928,4.1,1,Sullivan Heights
Nén,Burnaby,49.224096740087546,-122.9416219,4.1,1,Eastburn
#CHIBOP,Burnaby,49.2677387,-123.0064866,4.5,1,Brentwood
Katsuya,Burnaby,49.26175,-122.89038,4.4,1,Burquitlam
Olove Greek Kitchen,Burnaby,49.2804849,-122.9779067,4.0,1,
CM Chicken,Burnaby,49.22732659553047,-122.99451665152054,4.3,1,Metrotown
Tap & Barrel - Brentwood,Burnaby,49.26741280132382,-123.00188253558166,4.2,1,Brentwood
Gyubee Japanese Grill,Burnaby,49.1712466,-123.1351984,4.3,1,Lansdowne Village
The Gray Olive Cafeteria,Burnaby,49.2807699,-123.01164,4.1,1,Burnaby Heights
Barcelos Flame Grilled Chicken,Burnaby,49.19813330438935,-122.97878590283268,3.8,0,Big Bend
Simba’s Grill,Burnaby,49.2545127,-123.0231251,4.0,1,Cascade Heights
Porker Face,Burnaby,49.266783,-123.004713,4.4,1,Brentwood
No.1 Beef Noodle House,Burnaby,49.2425291,-123.004037333135,3.4,0,Garden Village
BIN 4 Burger Lounge,Burnaby,49.2641572,-123.022698,4.0,1,West Central Valley
Butchers Block BBQ,Burnaby,49.28129,-123.01453,3.8,0,Burnaby Heights
Hooray Cafe & Coffee Lab,Burnaby,49.24362,-122.969446,5.0,1,Metrotown
Manjal South Indian Kitchen,Burnaby,49.2232674,-122.9428279,4.4,1,Edmonds
Yasser’s Cafe,Burnaby,49.249928600037144,-123.01896657748732,4.7,1,Cascade Heights
Indian Bombay Bistro,Burnaby,49.2231570510965,-122.932603361937,3.9,0,Edmonds
Chongqing,Burnaby,49.22671131459038,-122.99363543518693,3.4,0,Metrotown
Onggi Korean Cusine,Burnaby,49.24377273960674,-122.8933061286807,4.1,1,Lougheed
Galbi Korean BBQ Kingsway,Burnaby,49.23111096061143,-123.00824046134947,4.2,1,Metrotown
Amay’s House,Burnaby,49.23446,-123.036137,4.3,1,Collingwood
Indian Wok,Burnaby,49.2248408,-122.9884673,4.2,1,Royal Oak
Patsara Thai Restaurant,Burnaby,49.204305,-122.908055,4.0,1,Downtown
Taverna Greka Restaurant,Burnaby,49.2049414,-122.9043168,4.1,1,Downtown
WhataFood Brazilian Street Food,Burnaby,49.2010175,-122.9131833,4.5,1,Downtown
El Comal,Burnaby,49.247876818077,-122.940112248954,3.9,0,
Pizza Garden,Burnaby,49.2252262,-123.0037541,4.0,1,Metrotown
La Querida,Burnaby,49.22946626623539,-123.0052947,4.5,1,Metrotown
Hello Nori,Burnaby,49.26780681630291,-123.00235434393312,4.1,1,Brentwood
Mumbaiyaa Street Foods,Burnaby,49.28087,-123.012439,4.7,1,Burnaby Heights
Joy Sushi,Burnaby,49.2643086657704,-123.010636587766,3.9,0,West Central Valley
Motonobu Udon,Burnaby,49.2813968,-123.0280718,4.2,1,Hastings-Sunrise
Sushi Modo,Burnaby,49.225836,-122.937422,4.3,1,Eastburn
Afghan Kabul Kebab Donair,Burnaby,49.2808,-123.01483,4.8,1,Burnaby Heights
Cioffi's Meat Market & Deli,Burnaby,49.2809151,-123.0125253,3.7,0,Burnaby Heights
Kim's Korean Waffles and Pancakes,Burnaby,49.24391068955245,-122.89353297814627,4.6,1,Lougheed
Fung May,Burnaby,49.2288939318384,-123.004783375498,3.4,0,Metrotown
Sushi On,Burnaby,49.22336826591775,-122.9432077,4.2,1,Eastburn
X-Site Grill & Bistro,Burnaby,49.2811349,-122.9993576,3.8,0,
Pinoy Cravings,Burnaby,49.21947050000001,-122.9499774,4.3,1,Edmonds
Pho Den,Burnaby,49.21985466539446,-122.970256331213,3.9,0,Edmonds
Just Waffles,Burnaby,49.28128196346295,-123.02744138985871,4.5,1,Hastings-Sunrise
Queen's Meat & Deli,New Westminster,49.2135565,-122.9106876,5.0,1,Queens Park
El Santo,New Westminster,49.2022405,-122.9093807,3.7,0,Downtown
Taqueria Playa Tropical,New Westminster,49.2097840906051,-122.91639733055,3.7,0,Glenbrooke North
Han Lin Noodle House,New Westminster,49.210381277082135,-122.91715603819993,3.5,0,Glenbrooke North
Columbia Street Sandwich,New Westminster,49.2034109,-122.9071758,4.6,1,Downtown
The Spud Shack Fry,New Westminster,49.20095020309591,-122.91302027887068,4.0,1,Downtown
Piva Modern Italian,New Westminster,49.201547,-122.911386,4.0,1,Downtown
The Old Spaghetti Factory,New Westminster,49.201925687134,-122.91260507829,3.5,0,Downtown
Angelina's,New Westminster,49.200022,-122.91173,3.9,0,Quayside
Artusi Restaurant,New Westminster,49.2105935011629,-122.917292262862,4.0,1,Glenbrooke North
Longtail Kitchen,New Westminster,49.1997723,-122.9124427,4.0,1,Quayside
Sixth Street Grill,New Westminster,49.2108238069653,-122.917073781025,3.7,0,Queens Park
Cockney Kings Fish & Chips,New Westminster,49.2008661133601,-122.916763893224,4.0,1,Downtown
The Tannenbaum Restaurant,New Westminster,49.201090932901955,-122.91771603691119,4.0,1,Downtown
Amelia Restaurant,New Westminster,49.20876,-122.93227,4.3,1,West End
The Hide Out Cafe,New Westminster,49.2029257,-122.9108691,4.2,1,Downtown
The Old Bavaria Haus,New Westminster,49.208524,-122.914146,3.2,0,Queens Park
6th Ave Bread & Deli,New Westminster,49.2120019089755,-122.922128466349,4.4,1,Brow of the Hill
Jokim Kitchen,New Westminster,49.2123946,-122.92115999999676,4.1,1,Brow of the Hill
Banette,New Westminster,49.212666374930784,-122.9200253,4.5,1,Queens Park
Yianni's Greek Taverna,New Westminster,49.2124240808659,-122.919168452339,3.7,0,Queens Park
Massawa Restaurant,New Westminster,49.21062,-122.91767,3.9,0,Queens Park
L’Onore Pizza,New Westminster,49.21402,-122.89781,4.6,1,McBride Sapperton
Anny's Dairy Bar,New Westminster,49.214855,-122.922433,4.3,1,Glenbrook
Sushi Well,New Westminster,49.2126787,-122.9200936,4.0,1,Queens Park
Ikoi Sushi,New Westminster,49.23018,-122.89239,4.4,1,Sapperton
IT Char Burger,New Westminster,49.222413,-122.9122126,4.5,1,Glenbrook
North Noodle House,New Westminster,49.200992,-122.913094,3.9,0,Downtown
Burger Heaven,New Westminster,49.20138,-122.91604,3.6,0,Downtown
Dine Kanadiyan,New Westminster,49.211978688049804,-122.9211672344025,3.7,0,Uptown
Big Star Sandwiches,New Westminster,49.2021828,-122.9094816,3.9,0,Downtown
Banh Mi Bar Restaurant,New Westminster,49.20279527932723,-122.91101334289715,4.7,1,Downtown
Re-Up BBQ,New Westminster,49.2000834965815,-122.911374465514,3.8,0,Quayside
Jim's Cafe,New Westminster,49.2120564,-122.9192509,3.9,0,Queens Park
Sushi Yen,New Westminster,49.2038975160565,-122.908591367304,3.8,0,Downtown
Chaiiwala,New Westminster,49.21238,-122.920151,4.2,1,Queens Park
