store_name,city,latitude,longitude,target_rating,target_is_successful,neighbourhood_name,dissemination_area_id,population,pop_density_sqkm,age_demographic,median_income
St Lawrence Restaurant,Vancouver,49.2832584031253,-123.097993419888,4.4,1,Downtown Eastside,59150762,435.0,5520.3,52.4,31200.0
Raisu,Vancouver,49.2679990419609,-123.158381134272,4.3,1,Kitsilano,59150616,588.0,12024.5,34.8,46800.0
Anh and Chi,Vancouver,49.2550314422938,-123.100882202153,4.0,1,Riley Park,59150704,583.0,6655.3,36.4,48000.0
Nuba in Gastown,Vancouver,49.2827625062516,-123.109646101134,4.0,1,Gastown,59154182,1139.0,23679.8,34.0,56800.0
Suyo Modern Peruvian,Vancouver,49.2540292,-123.1010659958052,4.5,1,Riley Park,59150684,741.0,7833.0,37.2,55200.0
Kozak Ukrainian Restaurant,Vancouver,49.28266968028282,-123.1045676752585,4.6,1,Gastown,59153580,835.0,20617.3,44.8,41200.0
Twisted Fork,Vancouver,49.283155,-123.104441,4.1,1,Gastown,59153580,835.0,20617.3,44.8,41200.0
Cockney Kings Fish & Chips,Vancouver,49.272672,-123.148627,4.8,1,Kitsilano,59150627,524.0,5658.7,41.6,61200.0
The Dirty Apron Delicatessen,Vancouver,49.2805632,-123.1091772,4.5,1,Chinatown,59154185,1303.0,33324.8,36.8,53600.0
John 3:16 Malaysian Delights,Vancouver,49.26371,-123.12812,4.2,1,Fairview,59153133,666.0,9680.2,41.6,58400.0
Marulilu Cafe,Vancouver,49.26338,-123.11415,4.0,1,Mount Pleasant,59154173,895.0,1590.5,38.8,66000.0
Moose's Down Under,Vancouver,49.285638,-123.11634,3.9,0,Financial District,59153466,693.0,1992.5,32.8,38800.0
Tap & Barrel - Bridges,Vancouver,49.2727468,-123.1359964,4.3,1,Fairview,59153686,886.0,3634.1,53.2,53600.0
Hokkaido Ramen Santouka,Vancouver,49.290236,-123.133811,4.2,1,Lower Robson,59150840,419.0,23942.9,37.2,39200.0
Wow Full Noodle House,Vancouver,49.28255,-123.1145,4.7,1,Downtown,59154146,1156.0,5606.2,37.6,47200.0
Brunch,Vancouver,49.2778182,-123.1254634,4.5,1,Granville,59153847,1609.0,32636.9,36.0,40400.0
Banana Leaf,Vancouver,49.28001,-123.13009,3.6,0,Davie Village,59153684,779.0,11455.9,35.6,46400.0
The Mackenzie Room,Vancouver,49.2832349,-123.0948578,4.5,1,Japantown,59150762,435.0,5520.3,52.4,31200.0
The Mexican Antojitos Y Cantina,Vancouver,49.2787726,-123.1240268,4.3,1,Granville,59154134,1483.0,29719.4,39.6,37600.0
Zab Zaab Thai Cuisine,Vancouver,49.27493,-123.12321,4.5,1,Yaletown,59150788,719.0,29346.9,45.6,44000.0
Nero Waffles,Vancouver,49.2907208,-123.1339952,4.3,1,Lower Robson,59153836,291.0,16166.7,40.0,42400.0
Burger Crush,Vancouver,49.27977707759172,-123.12350184856516,4.3,1,Granville,59153464,1622.0,24317.8,34.4,62400.0
Okeya Kyujiro,Vancouver,49.27581579131156,-123.1197521,4.8,1,Yaletown,59153470,853.0,11542.6,46.8,57600.0
The Northern Cafe and Grill,Vancouver,49.208549754278906,-123.0724741261907,4.7,1,Victoria-Fraserview,59151208,814.0,2434.9,34.8,31800.0
Superbaba,Vancouver,49.2633297,-123.1012681,4.6,1,Mount Pleasant,59153163,396.0,4835.2,34.8,44800.0
Sooda Korean BBQ,Vancouver,49.28256,-123.10628,4.6,1,Gastown,59153582,1396.0,37628.0,39.2,35600.0
Caveman Cafe,Vancouver,49.280802324947445,-123.10703500282293,4.4,1,Chinatown,59154187,1027.0,8800.3,34.8,48000.0
Zarak By Afghan Kitchen,Vancouver,49.266224,-123.1006089,4.5,1,Mount Pleasant,59153164,2058.0,20746.0,35.6,67500.0
Five Sails Restaurant,Vancouver,49.2880313351364,-123.113292160758,4.4,1,Financial District,59153466,693.0,1992.5,32.8,38800.0
Yolks ,Vancouver,49.278737,-123.128973,4.5,1,Davie Village,59153852,1658.0,33494.9,33.6,46400.0
Bahar Cafe,Vancouver,49.28069,-123.11846,4.8,1,Yaletown,59154144,1309.0,40153.4,32.8,51200.0
Shizen Ya,Vancouver,49.2808844,-123.1246278,4.3,1,Yaletown,59153246,1082.0,62183.9,32.8,46000.0
Jerusalem Shawarma,Vancouver,49.280356,-123.118634,4.7,1,Granville,59154144,1309.0,40153.4,32.8,51200.0
Toyokan Bowl,Vancouver,49.27055,-123.14762,4.7,1,Kitsilano,59150628,770.0,11509.7,38.4,56800.0
Elem Vancouver,Vancouver,49.266199,-123.100564,4.3,1,Mount Pleasant,59153164,2058.0,20746.0,35.6,67500.0
Song,Vancouver,49.2629749,-123.0986667,4.4,1,Mount Pleasant,59150711,1102.0,15971.0,35.2,56000.0
Meat & Bread,Vancouver,49.2826255017147,-123.109336831057,4.2,1,Chinatown,59154182,1139.0,23679.8,34.0,56800.0
La Grotta Del Formaggio,Vancouver,49.2688848,-123.0697849,4.3,1,Little Italy,59150353,495.0,11899.0,38.8,49600.0
Pink Peppercorn Seafood House,Vancouver,49.2493583,-123.0739159,4.4,1,Little Saigon,59154157,407.0,6280.9,42.4,34400.0
Earls Kitchen + Bar,Vancouver,49.281536,-123.12368,3.6,0,Downtown,59153246,1082.0,62183.9,32.8,46000.0
Yolks,Vancouver,49.2631139,-123.1163529,3.6,0,Fairview,59153152,939.0,7060.2,50.0,54000.0
Maruhachi Ra-Men,Vancouver,49.27854065320407,-123.1157914,4.1,1,Yaletown,59154027,1577.0,18596.7,35.2,55600.0
Le Petit Belge,Vancouver,49.278975790117805,-123.116520502828,4.2,1,Yaletown,59153843,2188.0,44112.9,34.0,58800.0
Pholicious,Vancouver,49.28297,-123.11279,4.3,1,Chinatown,59154146,1156.0,5606.2,37.6,47200.0
Osteria Savio Volpe,Vancouver,49.2574913,-123.0909344,4.2,1,Mount Pleasant,59150727,477.0,6092.0,35.6,36000.0
Minami,Vancouver,49.2752733,-123.1207029,4.1,1,Yaletown,59153470,853.0,11542.6,46.8,57600.0
Oyster Express,Vancouver,49.2792784082144,-123.097397130932,4.5,1,Chinatown,59150757,1054.0,13375.6,40.0,37600.0
KINTON RAMEN ROBSON,Vancouver,49.27955,-123.117318,4.4,1,Yaletown,59154145,890.0,26176.5,35.6,60000.0
Mr Shawarma,Vancouver,49.28526,-123.12075,4.4,1,Downtown,59150850,2626.0,18325.2,37.2,43600.0
Bodega On Main,Vancouver,49.27548853708847,-123.09968391901442,3.8,0,Strathcona,59150751,708.0,810.9,44.8,33200.0
New Town Bakery & Restaurant,Vancouver,49.280153,-123.101201,3.8,0,Chinatown,59153585,1256.0,9827.9,37.6,34400.0
Maenam,Vancouver,49.26787,-123.1488979,3.9,0,Kitsilano,59150629,605.0,11702.1,36.0,50400.0
iDen & Quan Ju De Beijing Duck House,Vancouver,49.26021,-123.1148451,3.6,0,Fairview,59153155,763.0,9646.0,34.0,54400.0
Gyu-Kaku Japanese BBQ,Vancouver,49.28031,-123.12467,4.0,1,Granville,59150782,480.0,29447.9,37.2,52400.0
Banana Leaf,Vancouver,49.26302,-123.1225,3.7,0,Fairview,59150649,663.0,3553.1,37.6,63200.0
Burgoo Bistros,Vancouver,49.25765498958033,-123.100815,3.9,0,Mount Pleasant,59150705,624.0,11202.9,35.2,60000.0
La Taqueria Pinche Taco Shop,Vancouver,49.263617,-123.112593,4.2,1,Mount Pleasant,59154173,895.0,1590.5,38.8,66000.0
New Fuji,Vancouver,49.27082027992868,-123.14700923860072,4.3,1,Kitsilano,59150627,524.0,5658.7,41.6,61200.0
Alley 16,Vancouver,49.257017,-123.11474,4.6,1,Mount Pleasant,59150680,712.0,5963.1,39.2,67000.0
Vonns,Vancouver,49.28724,-123.14124,4.5,1,Lower Davie,59153955,1326.0,37247.2,34.0,48800.0
Fat Mao,Vancouver,49.27881,-123.09893,4.0,1,Chinatown,59150757,1054.0,13375.6,40.0,37600.0
Les Faux Bourgeois,Vancouver,49.2572813531481,-123.089767330802,3.9,0,Mount Pleasant,59150727,477.0,6092.0,35.6,36000.0
Kook Korean BBQ,Vancouver,49.26894,-123.04565,4.2,1,Hastings-Sunrise,59151415,647.0,5163.6,44.0,36800.0
Dovetail,Vancouver,49.27599363324675,-123.120331,4.3,1,Yaletown,59153470,853.0,11542.6,46.8,57600.0
Thierry,Vancouver,49.2848818,-123.1228949,4.0,1,Downtown,59153483,869.0,11449.3,41.2,43200.0
Horin Tonkotsu Ramen ,Vancouver,49.28617,-123.12749,4.2,1,Lower Robson,59153669,347.0,20292.4,39.2,39200.0
Score on Davie,Vancouver,49.2823221457395,-123.134614739512,4.3,1,Lower Davie,59150823,441.0,24230.8,34.0,44400.0
Ray's,Vancouver,49.275365,-123.121483,4.5,1,Yaletown,59153470,853.0,11542.6,46.8,57600.0
CHOCHO Hot Pot,Burnaby,49.231234,-123.006943,4.5,1,Metrotown,59151294,517.0,7625.4,37.2,39600.0
John 3:16 Malaysian Delights,Burnaby,49.22494698851795,-122.9900406,4.5,1,Metrotown,59151326,521.0,25048.1,39.6,33600.0
The Meat Up,Burnaby,49.2254546362785,-122.98992646931154,4.1,1,Metrotown,59151327,394.0,12274.1,42.4,33600.0
White Lotus Cafe,Burnaby,49.2656111504516,-122.97883607144,4.5,1,,59150286,718.0,3013.0,42.4,36400.0
Saku,Burnaby,49.26543,-123.005428,4.5,1,Brentwood,59151406,8800.0,6591.3,35.6,51600.0
22's Grill,Burnaby,49.2430980643898,-122.969388433881,4.4,1,,59152909,560.0,252.0,41.6,35200.0
Atlas Steak + Fish,Burnaby,49.256747,-123.006931,4.0,1,Brentwood,59151445,461.0,316.9,44.0,34000.0
Gokudo Shabu Shabu,Burnaby,49.230168460812294,-123.0038528105504,4.4,1,Metrotown,59153494,634.0,20584.4,38.4,28200.0
Shanghai Dimsum House,Burnaby,49.2294464,-123.0044077,4.0,1,Metrotown,59153493,428.0,6948.1,43.2,25600.0
Living Room Lounge,Burnaby,49.2551,-123.02032,4.5,1,Cascade Heights,59151374,722.0,5404.2,38.8,40800.0
Korea Noodle House,Burnaby,49.229066,-123.004751,4.2,1,Metrotown,59153493,428.0,6948.1,43.2,25600.0
Haidilao Hotpot Brentwood,Burnaby,49.267417,-123.00189,4.6,1,Brentwood,59154031,3843.0,21080.6,32.4,46400.0
Wild Flour Pizza,Burnaby,49.2584540319258,-122.955439905848,4.7,1,,59151494,421.0,1263.5,50.0,46400.0
Singapore Hawker,Burnaby,49.218768,-122.96447913871704,4.1,1,Edmonds,59153651,528.0,9795.9,33.2,36000.0
Wild Thyme,Burnaby,49.2092291,-122.932308,4.4,1,Kelvin,59152948,585.0,2867.6,40.0,42800.0
Safari Snack House And Grill,Burnaby,49.239118670642895,-122.96287338465577,3.9,0,Buckingham Heights,59152908,986.0,3197.1,34.8,41200.0
Kokoro Tokyo Mazesoba,Burnaby,49.228287011321385,-123.00315331667662,4.0,1,Metrotown,59151302,2761.0,9121.2,33.6,30400.0
STEM Japanese Eatery,Burnaby,49.21497276456137,-122.98816101534425,4.2,1,Royal Oak,59153643,932.0,5344.0,43.6,38800.0
Jovo the Butcher,Burnaby,49.22185,-122.94565,5.0,1,Edmonds,59151273,721.0,5332.8,41.6,39600.0
OEB Breakfast,Burnaby,49.267442,-123.002595,4.1,1,Brentwood,59154031,3843.0,21080.6,32.4,46400.0
Siam Le Bien,Burnaby,49.2813,-123.01068,4.3,1,Burnaby Heights,59150299,746.0,6145.0,41.2,48000.0
Takara Sushi,Burnaby,49.2545851,-123.0220016,4.4,1,Cascade Heights,59151374,722.0,5404.2,38.8,40800.0
囍·澳门特色打边炉  Authentic Macau Hot Pot,Burnaby,49.2277884925998,-123.00316795158996,4.3,1,Metrotown,59151302,2761.0,9121.2,33.6,30400.0
Burnaby Mountain Clubhouse,Burnaby,49.265138,-122.943048,4.1,1,,59153070,429.0,447.8,42.4,38800.0
Green & Oak Malaysian Restaurant,Burnaby,49.28081,-123.02185,3.9,0,Burnaby Heights,59153309,767.0,11164.5,40.4,47200.0
Grand Chinese Restaurant,Burnaby,49.266893,-123.004262,4.0,1,Brentwood,59151406,8800.0,6591.3,35.6,51600.0
Birdies,Burnaby,49.2655537242762,-123.01959240000002,4.0,1,West Central Valley,59151406,8800.0,6591.3,35.6,51600.0
The Viet Noodle Guy,Burnaby,49.26721987665755,-123.00572763320037,4.1,1,Brentwood,59151406,8800.0,6591.3,35.6,51600.0
Portobello Restaurant,Burnaby,49.280764,-123.013394,4.7,1,Burnaby Heights,59150318,580.0,6086.0,43.6,40000.0
NamPo,Burnaby,49.22620549734934,-122.9917955,4.4,1,Metrotown,59151328,907.0,15425.2,35.6,37600.0
Little Minh's,Burnaby,49.1990675,-122.9799962,4.3,1,Big Bend,59153633,803.0,97.3,39.6,46000.0
Masita Korean Cuisine,Burnaby,49.218978345984,-122.969008660356,3.9,0,Edmonds,59153649,734.0,4810.0,49.2,41200.0
Cactus Club Cafe,Burnaby,49.22775581945971,-123.00329214418927,3.9,0,Metrotown,59151302,2761.0,9121.2,33.6,30400.0
Sooda Korean BBQ,Burnaby,49.2680924,-123.0003773,4.1,1,Brentwood,59154031,3843.0,21080.6,32.4,46400.0
Burnt Orange,Burnaby,49.280836,-123.007658,4.5,1,Burnaby Heights,59150320,704.0,5799.0,42.8,39200.0
Horin Ramen,Burnaby,49.22901506843291,-123.00505047055158,4.5,1,Metrotown,59153493,428.0,6948.1,43.2,25600.0
Blue Coast,Burnaby,49.23466,-123.0246,4.5,1,Renfrew-Collingwood,59154139,1703.0,65000.0,32.0,43200.0
Riverway Clubhouse Restaurant,Burnaby,49.200617,-122.990237,3.5,0,Big Bend,59153633,803.0,97.3,39.6,46000.0
La Forêt,Burnaby,49.2212819390063,-122.995836958493,3.7,0,Royal Oak,59151322,929.0,4801.0,40.4,31200.0
The Keg Steakhouse + Bar,Burnaby,49.2596278,-123.0019108,3.9,0,Brentwood,59151397,675.0,645.1,38.0,36800.0
Chettinad Dosa Palace,Burnaby,49.23933,-122.96364,3.2,0,Buckingham Heights,59152908,986.0,3197.1,34.8,41200.0
SOCRATES in the Heights,Burnaby,49.2811430405355,-122.998363226652,4.5,1,,59150296,610.0,1707.2,39.6,36800.0
Chad Thai,Burnaby,49.2809351,-123.0160318,4.1,1,Burnaby Heights,59150318,580.0,6086.0,43.6,40000.0
Claudio's,Burnaby,49.265511702879046,-123.00492429325408,3.8,0,Brentwood,59151406,8800.0,6591.3,35.6,51600.0
Gaon  Korean Cuisine,Burnaby,49.223246,-122.982823,4.2,1,Royal Oak,59153645,3526.0,3964.0,35.6,38000.0
Tendon Kohaku,Burnaby,49.2278910406839,-123.00348046083376,3.7,0,Metrotown,59151302,2761.0,9121.2,33.6,30400.0
Trattoria by Italian Kitchen,Burnaby,49.23020501851105,-123.0039327,3.2,0,Metrotown,59153494,634.0,20584.4,38.4,28200.0
Fraser Park Restaurant,Burnaby,49.1941802,-122.9979206,4.2,1,Big Bend,59153633,803.0,97.3,39.6,46000.0
Chao Shou Wang,Burnaby,49.2290734,-123.0048795,4.1,1,Metrotown,59153493,428.0,6948.1,43.2,25600.0
Sushi Taku,Burnaby,49.23982721439047,-123.03001648836062,4.3,1,Renfrew-Collingwood,59151354,483.0,7944.1,37.6,36400.0
Hiel Cafe,Burnaby,49.2190187,-122.92795,4.3,1,Edmonds,59152919,738.0,4755.2,42.0,33600.0
MYST Asian Fusion,Burnaby,49.21936313246308,-122.9706842,3.6,0,Edmonds,59153649,734.0,4810.0,49.2,41200.0
La Forêt - Royal Oak,Burnaby,49.2203,-122.98637,4.3,1,Royal Oak,59153645,3526.0,3964.0,35.6,38000.0
Chào Mámi,Burnaby,49.2808832078838,-123.014717570458,4.0,1,Burnaby Heights,59150318,580.0,6086.0,43.6,40000.0
Argo Greek Cuisine Pizza Pasta,Burnaby,49.2544359,-123.02071005595984,4.2,1,Cascade Heights,59151374,722.0,5404.2,38.8,40800.0
JOEY Burnaby,Burnaby,49.2669122,-123.0066466,3.7,0,West Central Valley,59151406,8800.0,6591.3,35.6,51600.0
Taku Japanese Kitchen,Burnaby,49.21462,-122.98827,4.8,1,Royal Oak,59153642,605.0,6098.8,41.6,36800.0
Chen,Burnaby,49.28086095595619,-123.0091730738817,4.1,1,Burnaby Heights,59150320,704.0,5799.0,42.8,39200.0
Wang's Shanghai Cuisine,Burnaby,49.232843,-123.034814,4.3,1,Killarney,59151472,603.0,7490.7,41.2,30000.0
Big Way Hot Pot,Burnaby,49.2310987,-123.0083309711633,4.0,1,Metrotown,59151299,668.0,13604.9,39.2,34800.0
Kokoro Tokyo Mazesoba,Burnaby,49.26695219266848,-123.00631798803806,4.3,1,Brentwood,59151406,8800.0,6591.3,35.6,51600.0
Adam's Crepes,Burnaby,49.2149649,-122.9880349,4.6,1,Royal Oak,59153643,932.0,5344.0,43.6,38800.0
Tenen,Burnaby,49.21549,-122.98895,4.2,1,Royal Oak,59151332,733.0,6227.7,39.6,31000.0
Kimshaker,Burnaby,49.2332,-123.013747,4.4,1,Metrotown,59151346,508.0,6997.2,59.6,31000.0
B&D Authentic Viet Cuisine,Burnaby,49.21818434432872,-122.9578841,3.8,0,Edmonds,59153385,1361.0,13074.0,40.8,40000.0
