store_name,city,zip_code,latitude,longitude,review_count,price_level,primary_category,target_rating,target_is_successful,median_income,pop_density_sqkm,pct_age_20_39,competitor_count_500m,nearest_transit_distance_m
Liquids And Solids,Vancouver,V6A,49.28135,-123.08461,24,1,Cafes,3.6,0,33389.47,3939.03,31.09,2,51.17243182599908
Breka Bakery & Café,Vancouver,V5V 3R5,49.24383730986246,-123.10114614665508,68,2,Bakeries,3.9,0,47051.85,4312.25,30.54,3,32.11319148193541
Tap & Barrel - Convention Centre,Vancouver,V6C 0C3,49.289845529586,-123.116857235515,390,2,Comfort Food,3.8,0,44895.24,12146.31,45.88,7,345.6260323306837
Burnaby Palace Restaurant,Burnaby,V5M 4A2,49.25629080307701,-123.0231239309792,145,2,Chinese,3.4,0,37235.29,2714.87,28.98,2,55.81462272145086
Taf's Café,Vancouver,V6Z 1K7,49.2810768,-123.1202897,58,1,Cafes,2.4,0,47913.24,19614.69,50.19,19,108.51125999526452
Second Cup,Vancouver,V6H 3N1,49.2450981314324,-123.12436663912466,9,1,Cafes,3.0,0,49125.0,3076.33,32.8,0,228.0777277203267
Captain Wa,Richmond,V6X 3Y2,49.1698185,-123.1330757,19,1,Chinese,3.8,0,30231.58,9843.9,36.09,10,165.7211458766944
Dinesty Dumpling House,Richmond,V7C 0B8,49.17337272804199,-123.14636050013584,102,2,Dim Sum,3.8,0,29600.0,5868.75,39.61,1,68.75174328582969
Waves Coffee House,Surrey,V3T 0E6,49.19847,-122.851331,14,1,Coffee & Tea,3.5,0,34866.67,5558.69,43.55,1,61.50345960062909
St Lawrence Restaurant,Vancouver,V6A 1G3,49.2832584031253,-123.097993419888,196,3,French,4.4,1,37579.31,8625.43,38.62,10,10.930447176184115
Continental Coffee House,Vancouver,V5V 3P8,49.2472882191904,-123.101281828922,61,1,Cafes,4.0,1,48990.62,6065.56,31.94,5,131.11832959958338
Dragon Village Restaurant,Surrey,V3S 4C6,49.10558,-122.73478,27,1,Chinese,4.3,1,41200.0,2752.94,28.74,4,119.36714970590977
TurF,Vancouver,V6J 1N3,49.2682200041763,-123.151621297002,66,2,Cafes,3.8,0,55439.58,9783.32,41.05,4,49.468694480831275
Pak Punjab Sweet & Samosas House,Surrey,V3V 6V9,49.17733,-122.86766,25,1,Pakistani,4.0,1,32314.29,5059.33,36.25,0,19.828686459200718
Maruhachi Ra-Men,Vancouver,V6B 0E7,49.27854065320407,-123.1157914,282,2,Ramen,4.1,1,50206.12,18095.77,50.6,17,66.46283794191034
Dublin Crossing Irish Pub,Surrey,V3S 7Y3,49.12426199999999,-122.702092,92,2,Irish,3.4,0,48225.0,4937.76,28.16,1,52.32226981996882
Cha Don,Richmond,V6X 4E4,49.18085294842844,-123.1350690443588,27,2,Hong Kong Style Cafe,4.3,1,29750.0,4620.35,43.33,24,137.58051410982736
Happy Lamb Hot Pot,Burnaby,V5H 4W2,49.2280567,-122.9973696,173,2,Hot Pot,3.4,0,32884.85,10455.46,42.51,7,58.78199355300561
Pho Holiday,Coquitlam,V3K 3P3,49.24880778894382,-122.8631980544926,53,1,Vietnamese,4.1,1,39450.0,3810.34,27.79,6,50.72861542819259
Chongqing,Burnaby,V5H 2E5,49.22671131459038,-122.99363543518692,106,2,Chinese,3.4,0,32141.67,9633.84,42.42,4,31.32503834109909
Mean Poutine,Vancouver,V6Z 1A8,49.2794438014385,-123.123368918896,309,1,Hot Dogs,3.9,0,48877.14,23249.57,48.36,23,83.29187982832238
The Keg Steakhouse + Bar,Surrey,V3W 3N2,49.14734458968876,-122.88976,56,3,Steakhouses,3.8,0,33730.0,6426.82,32.57,0,124.622514873382
Tom Sushi,Vancouver,V6E 1N2,49.2815608,-123.1327476,392,2,Sushi Bars,4.7,1,46325.64,25058.72,49.04,2,21.16003423208933
Katsu San,Richmond,V7C 1T4,49.169982779066,-123.181773349643,180,2,Japanese,4.5,1,34033.33,2769.24,23.14,0,47.16569470916737
Waves Coffee House,New Westminster,V3M 1B2,49.2021378,-122.9101707,45,1,Coffee & Tea,3.1,0,45472.73,11770.84,40.94,15,151.944966093878
YL's Curry Bowl,Surrey,V3R 8X2,49.18444,-122.79879,33,1,Malaysian,4.0,1,36390.91,5654.79,27.35,6,142.9571716193311
Bodega On Main,Vancouver,V6A 2W1,49.27548853708847,-123.09968391901442,246,2,Spanish,3.8,0,40803.57,12065.71,46.37,2,19.200560082215784
Earls Kitchen + Bar,Vancouver,V6E 1B5,49.285968141691775,-123.12656576441812,246,2,Canadian (New),3.8,0,45286.96,21868.16,48.38,14,14.360533121604128
Burger Heaven,New Westminster,V3M 3X4,49.20138,-122.91604,185,2,Burgers,3.6,0,44017.39,13388.14,40.6,11,105.11786509315246
Happy Lamb Hot Pot,Coquitlam,V3B 8A9,49.28083,-122.79272,47,3,Hot Pot,3.3,0,36905.88,5750.39,28.53,13,84.17034302444189
Elisa,Vancouver,V6B 5P6,49.27597599917006,-123.12142339325408,291,4,Steakhouses,4.3,1,51384.91,21057.57,48.02,21,147.1631502791943
Bbong,Coquitlam,V3K,49.243302112406,-122.891211349691,54,2,Korean,3.6,0,37828.57,4496.36,36.55,5,96.17154975482117
Pho Chan,New Westminster,V3L 2B8,49.2228583293267,-122.914227216925,62,2,Vietnamese,3.8,0,43610.53,4251.95,25.1,1,118.54768216059573
Rodney's Oyster House,Vancouver,V6B 6L2,49.274326,-123.123131,909,2,Seafood,4.0,1,51653.06,20256.81,46.24,13,74.32290006895414
Kam Tou Seafood Restaurant,Richmond,V6X 3Z9,49.185102,-123.129532,31,3,Seafood,4.0,1,31942.86,4077.83,44.86,16,73.33409279262935
The Keg Steakhouse + Bar,Coquitlam,V3B 6J6,49.27798957201443,-122.79372942511934,125,3,Steakhouses,3.8,0,36357.14,6786.72,29.28,13,145.28462135248174
Showshaa - The Modern Taproom,Surrey,V4P 3N7,49.05722,-122.80085,69,2,Tapas Bars,4.1,1,48311.11,3240.38,21.34,3,63.79396846418886
Catfe,Vancouver,V6B 6N9,49.28029,-123.10675,119,2,Cafes,3.5,0,42812.5,12649.65,47.28,23,68.91756015947936
Earls Kitchen + Bar,Surrey,V3R 9W9,49.186991576535846,-122.8006520421916,112,2,Canadian (New),3.1,0,36095.65,6804.97,28.82,7,5.555252132971239
Don Chepe's Restaurant,Coquitlam,V3K 6V7,49.2365844,-122.8530121,30,2,Salvadoran,3.3,0,41955.56,3320.68,27.13,3,400.1779195259336
The Old Spaghetti Factory,New Westminster,V3M 3N8,49.201925687134,-122.91260507829,174,2,Italian,3.5,0,45381.82,12053.81,40.88,16,28.802673925460553
Agora Cafe,Vancouver,V6T 1Z4,49.28573972263773,-123.12224768834332,6,1,Cafes,4.2,1,45842.11,18080.44,49.22,17,80.69147291251024
Pho Tau Bay,Surrey,V3R 3X6,49.19805,-122.81226,67,1,Vietnamese,4.2,1,35141.18,5250.95,29.44,2,104.14714146091552
Dragon's Chop Suey House,Surrey,V4N 0G2,49.15719,-122.77781,44,2,Chinese,3.5,0,38037.5,5570.19,24.93,2,55.13337813458365
Sura Korean BBQ,Richmond,V6X 4J7,49.183364007189134,-123.13371992699436,265,2,Korean,3.7,0,30700.0,3407.08,48.72,25,139.05409489974426
Pizzeria Ludica,New Westminster,V3M 1E3,49.2040696455815,-122.909304314068,49,2,Pizza,3.5,0,45424.0,10681.43,40.37,16,31.194875463249645
West Village Cafe,Surrey,V3S 3K2,49.1047524116854,-122.799629199329,45,2,Sandwiches,3.6,0,46866.67,2709.17,28.18,2,53.48249021069513
Ikoi Sushi,New Westminster,V3L 3X5,49.23018,-122.89239,75,2,Japanese,4.4,1,47485.71,2842.66,32.88,5,36.33541325644421
Green Bean Café,Richmond,V7B 0A4,49.1947594,-123.1762466,32,2,Coffee & Tea,1.6,0,48000.0,45.6,23.81,1,130.32809921803107
Taqueria Playa Tropical,New Westminster,V3L 3B1,49.2097840906051,-122.91639733055,432,2,Mexican,3.7,0,43569.23,8675.43,36.77,11,11.186274526353683
The Story Cafe,Richmond,V6X 1V5,49.19359319408656,-123.1279178,259,2,Pizza,4.1,1,32350.0,3079.27,44.64,3,149.51375890050159
The Patty Shop,Vancouver,V6L 2N8,49.250721434013,-123.167994263811,124,1,Caribbean,4.4,1,40913.04,3642.45,24.07,0,103.1138465134243
Woking Dragon,Coquitlam,V3E 1J7,49.2838747027523,-122.810149566042,74,2,Chinese,3.5,0,40077.78,4908.32,27.2,0,50.18469083842116
Matchstick Coffee,Vancouver,V5T 2R6,49.257302653286,-123.090361582581,224,1,Cafes,3.9,0,46328.57,9001.95,42.61,2,32.16977667939816
Me-n-Ed's Pizza Parlors,Coquitlam,V3K 3P4,49.24927,-122.86047,59,2,Pizza,4.2,1,39811.76,3574.64,27.37,6,89.2156301817795
McDonald's,Richmond,V6Y 2C6,49.161632939461,-123.13589096593,47,1,Fast Food,2.6,0,31935.29,10234.43,26.95,5,41.418451397936074
Hi Five,Burnaby,V3N 2S9,49.23062773,-122.9063846,30,2,Fast Food,3.4,0,45244.44,3714.17,26.28,1,337.87619622002995
Bubble World,New Westminster,V3M 1G9,49.2048187,-122.9100876,65,1,Bubble Tea,3.3,0,45157.14,10938.65,40.22,14,16.291687400495046
Mr. Black Restaurant,Richmond,V6X 0A4,49.18408,-123.13404,24,2,Japanese,3.5,0,30866.67,2403.59,49.47,22,70.12668088838053
Happy Noodle House,Vancouver,V6B 2G5,49.27664,-123.12578,237,2,Dim Sum,4.6,1,49743.33,22818.21,47.47,17,34.02548772907132
Lee Garden Seafood Restaurant,Burnaby,V5E 0A6,49.2199018142223,-122.970365929831,93,2,Dim Sum,3.4,0,36936.36,5314.99,33.49,4,80.38106881176914
The Paper Crane,Vancouver,V5T 1X4,49.2626112,-123.0922038,26,1,Cafes,4.0,1,46592.11,7801.87,46.88,0,32.36984929588161
Nuba in Gastown,Vancouver,V6B 1K6,49.2827625062516,-123.109646101134,839,3,Mediterranean,4.0,1,45337.93,11833.53,50.91,27,58.25295567289824
Italian Tomato Restaurant,Richmond,V6X 3C7,49.19188,-123.1303,224,2,Italian,3.4,0,31666.67,3529.54,47.86,4,45.00379742086193
Hello Kitty Cafe,Vancouver,V6E 3Z6,49.28660343734038,-123.1281965598464,45,2,Themed Cafes,3.8,0,45256.34,21628.92,46.99,12,81.37071706793131
Steveston Cafe & Hotel,Richmond,V7E 3K2,49.125397,-123.186121,22,2,Cafes,3.5,0,44840.0,3696.93,16.66,3,109.34880424753631
Hello Nori ,Vancouver,V6E 1B5,49.28559747478766,-123.1261163,328,2,Japanese,4.5,1,45140.85,22129.21,48.26,15,49.88375925906814
Cardero's Restaurant & Marine Pub,Vancouver,V6G 3E7,49.2914561357511,-123.127575841549,777,3,Seafood,3.9,0,44679.07,22035.63,43.23,7,191.1321879242539
Enjoy Cafe 1 Plus1,Richmond,V6X 1A7,49.1708290571772,-123.13414408185102,67,2,Cafes,3.1,0,30044.44,9612.83,36.71,13,198.95915145667377
Yoko Sushi & Noodle House,Surrey,V4N 0G2,49.15737,-122.77828,28,1,Japanese,3.9,0,38037.5,5570.19,24.93,2,88.98818792371395
Victoria Sushi,New Westminster,V3L 0A9,49.213378,-122.89888,161,2,Japanese,4.0,1,49080.0,5420.69,33.61,0,74.72363614511663
Rocanini Coffee Roasters,Vancouver,V6B 2M6,49.27719779103568,-123.11522535767266,83,2,Coffee Roasteries,4.2,1,51655.56,20846.63,50.26,14,90.0279762232616
Railtown Cafe,Vancouver,V6A 1A4,49.2850022,-123.0955516,98,2,Cafes,4.1,1,34113.04,7189.79,35.21,5,245.26408221095272
The Chopped Leaf,New Westminster,V3L 3B9,49.2122867,-122.9190461,22,2,Salad,3.5,0,43211.76,6869.19,29.51,15,37.316308304702524
Cafe Algarve,Vancouver,V5N 2A2,49.2597049,-123.0700568,4,1,Portuguese,3.8,0,44087.18,6894.88,39.0,0,38.81284387315877
Dosanko,Vancouver,V6A 1G9,49.28278,-123.09194,114,2,Japanese,4.0,1,33908.33,6667.59,34.63,6,113.23606455596943
Ramen DANBO - Kitsilano,Vancouver,V6J 1M4,49.26828,-123.146431,562,2,Ramen,4.3,1,54858.33,9727.12,41.0,3,20.83910023200747
TAKO,Vancouver,V6B 0J5,49.278816,-123.1078822,235,1,Korean,4.0,1,45854.05,14772.88,47.73,18,38.02049646676038
Hansel Deli,Surrey,V3S 4E2,49.10792,-122.73477,16,1,Delis,4.4,1,41750.0,2164.4,28.58,3,28.590393011138215
The Viet Noodle Guy,Burnaby,V5C 3Z2,49.26721987665755,-123.00572763320037,216,2,Vietnamese,4.1,1,42440.0,6719.06,47.4,4,175.13172001620177
YUAN’S HOT POT,Richmond,V6X 4J7,49.1831220296222,-123.133927292474,53,3,Hot Pot,4.2,1,30700.0,3407.08,48.72,25,167.8834650837679
Ukrainian Village,Vancouver,V6G 2L7,49.2914123,-123.1358196,186,2,Ukrainian,4.1,1,45414.81,26785.84,43.37,7,20.654445739245887
Green & Oak Malaysian Restaurant,Burnaby,V5C 2H5,49.28081,-123.02185,139,2,Malaysian,3.9,0,41555.56,4704.76,27.91,4,45.81374543729924
Nando's Peri-Peri,Richmond,V6X 0M5,49.17855951502775,-123.1217548,50,2,Portuguese,3.6,0,31500.0,5052.04,37.47,4,204.79589221473486
BIN 4 Burger Lounge,Burnaby,V5M 3Z3,49.2641572,-123.022698,69,2,Burgers,4.0,1,35620.0,4635.55,40.89,1,62.43334108167189
Sprouts,Vancouver,V6T 1Z1,49.267585874444904,-123.25039128042668,12,1,Vegetarian,4.4,1,30371.43,2411.22,43.21,1,135.6414749070408
Diamond Buffet,Surrey,V3S 1V3,49.11172,-122.72963,15,1,Buffets,2.4,0,41320.0,2513.71,27.28,0,103.74498413232479
Sushi Bar Kilala,Burnaby,V5C 2K8,49.2811517065771,-122.995635763696,85,2,Sushi Bars,4.3,1,39286.96,4257.38,27.79,1,20.62392417131986
Yuan's Garden Restaurant 隨園,Richmond,V6X 3A6,49.178968,-123.134826,170,2,Chinese,3.9,0,30520.0,5215.61,41.9,27,141.8926922829308
Kyabia Japanese Restaurant,Richmond,V6X 4B7,49.18769,-123.13128,73,2,Japanese,3.7,0,31150.0,2553.51,46.28,11,82.91795009409748
Ding Hao Noodle House,Coquitlam,V3B 1C2,49.278788895755625,-122.8070915324994,45,1,Taiwanese,3.9,0,37800.0,4998.69,28.89,2,93.63222593531174
New Sun Restaurant,Vancouver,V5Z 2V7,49.2592643,-123.1152101,28,1,Chinese,3.5,0,55087.18,7800.14,39.17,2,38.38573185674853
Fanny Bay Oyster Bar & Shellfish Market,Vancouver,V6B 2P2,49.2787525,-123.1138689,979,3,Seafood,4.4,1,49876.74,17564.06,49.46,17,58.12782738293309
Sawasdee Thai Restaurant,Vancouver,V5V 3P9,49.24703,-123.1008,378,2,Thai,4.0,1,48990.62,6065.56,31.94,5,120.09330757117357
Mui Garden Restaurant,Richmond,V6X 4J4,49.17097613037639,-123.13941066161335,115,2,Malaysian,3.6,0,29462.5,7985.53,38.17,11,60.009439741252955
Waves Coffee House,Vancouver,V6H 1E2,49.263615784527,-123.128756644037,32,1,Coffee & Tea,3.3,0,54489.74,10911.86,40.42,4,45.226757809485854
Royal Oak,Surrey,V3R 3P5,49.16437,-122.79765,58,2,Pizza,3.4,0,35611.11,4049.31,29.04,0,12.152722056821927
Lazzez's Grill Indian Cuisine,Coquitlam,V3B 1B9,49.27743,-122.80492,189,2,Indian,4.3,1,38216.67,4481.77,29.77,3,131.0929589012472
Angus T,Vancouver,V6B 2T4,49.2762326068102,-123.119233623147,125,2,Cafes,4.3,1,51669.39,21134.36,48.2,20,66.5077691612502
Juillet Cafe,Burnaby,V3N 4N4,49.2448537809919,-122.89281354352,45,1,Cafes,3.9,0,37828.57,4496.36,36.55,6,64.42812729494617
The Mackenzie Room,Vancouver,V6A 1G7,49.2832349,-123.0948578,220,4,Canadian (New),4.5,1,35130.77,7868.87,35.62,5,82.75986997150278
OZ Korean Cuisine,Coquitlam,V3B 0J5,49.282471094178,-122.793583392269,116,2,Korean,4.0,1,36487.5,6181.9,28.59,11,44.33007305429848
Chop Steakhouse & Bar,Richmond,V6X 2M9,49.1890367,-123.1120171,33,3,Steakhouses,4.0,1,33883.33,3639.26,29.45,0,318.43043985860027
Taste of Zen,Richmond,V7A 1M5,49.13293,-123.12171,13,2,Vegetarian,4.1,1,34100.0,3622.41,22.62,0,55.72685344682487
Kimbap Cheonguk,Coquitlam,V3K 3V8,49.2446982,-122.8918313,144,1,Sushi Bars,4.4,1,37828.57,4496.36,36.55,5,59.7410003891559
Bluefin Sushi,New Westminster,V3L 3W8,49.22665044765496,-122.89299105765632,28,1,Sushi Bars,3.6,0,47507.69,2863.2,33.38,6,32.317589195654655
Royal Crown Pizza,New Westminster,V3M 3R5,49.2084010373217,-122.920245955181,31,1,Pizza,3.9,0,43156.76,9824.57,36.31,9,31.534652477111667
Kokoro Tokyo Mazesoba,Coquitlam,V3J 1N7,49.2508308,-122.8926851,80,2,Ramen,4.1,1,37112.5,6723.17,38.98,5,41.836093073418446
Six Acres,Vancouver,V6B 2J2,49.283363150344336,-123.1044223000027,324,2,Pubs,3.9,0,39384.62,10523.52,45.32,19,103.57189772670114
Ramen DANBO - Robson,Vancouver,V6E 2B1,49.2874959131639,-123.128934167326,764,2,Ramen,4.4,1,45588.41,21925.39,46.3,14,59.77120741026365
Provisions Kitsilano,Vancouver,V6K 1N8,49.268062,-123.157371,15,2,Cafes,4.0,1,53936.96,10192.59,41.99,2,112.37351810699106
The Greek By Anatoli,Vancouver,V6B,49.276285,-123.1197178,298,2,Greek,3.8,0,51415.69,21244.29,48.11,19,100.89878998112509
Little Minh's,Burnaby,V5J 0A3,49.1990675,-122.9799962,149,2,Vietnamese,4.3,1,42400.0,151.96,24.57,2,102.49342945815353
Lu Charcoal Grill,Richmond,V6X 1E4,49.1800883459181,-123.135372530006,21,1,Chinese,3.2,0,29750.0,4620.35,43.33,26,80.57866588126306
Kokoro Tokyo Mazesoba,Burnaby,V5H 4L6,49.228287011321385,-123.00315331667662,68,2,Ramen,4.0,1,33705.26,10982.18,39.28,13,63.18454567877673
Cora,Coquitlam,V3B 6J6,49.274923,-122.791039,160,2,Breakfast & Brunch,3.7,0,37600.0,5967.87,32.31,6,34.7674564950195
Green Leaf Cafe,Burnaby,V3J 1M2,49.2533051,-122.8982928,256,2,Sushi Bars,4.1,1,39388.89,5947.49,36.07,3,10.107785601600993
New Town Bakery & Restaurant,Vancouver,V6A 1T3,49.280153,-123.101201,483,1,Bakeries,3.8,0,38873.33,12027.22,42.26,14,50.7245616612047
John B Neighbourhood Pub,Coquitlam,V3K 3P1,49.24869,-122.86724,108,2,Pubs,3.6,0,39266.67,3143.01,27.04,3,75.70670157484547
Bubble World,Coquitlam,V3B 6J6,49.2790792849535,-122.794279898607,59,2,Taiwanese,2.7,0,36528.57,6861.28,29.3,12,107.22257180022055
Medina Cafe,Vancouver,V6B 3A4,49.2804429972571,-123.117036269849,2791,2,Breakfast & Brunch,4.2,1,48950.98,18255.76,50.62,23,108.35438108453411
Soup Plus,Coquitlam,V3K 3P5,49.24868,-122.86186,64,1,Soup,3.8,0,39025.0,4196.53,28.2,6,32.857353856098484
Happy Tree House BBQ,Richmond,V6X 1C3,49.1789476669097,-123.13367071167,95,2,Barbeque,3.2,0,30400.0,5367.22,41.04,29,225.79017695717474
Cioffi's Meat Market & Deli,Burnaby,V5C 2J4,49.280911944717026,-123.012598,92,2,Delis,3.7,0,40444.44,5389.34,27.92,9,61.6814642492736
Daddy's Grill,Richmond,V6X 2V1,49.1842679432228,-123.091404421526,168,2,Halal,4.4,1,35107.69,3147.72,26.24,1,16.273891909081353
Takenaka,Vancouver,V5L 2A8,49.2783093,-123.0755801,115,2,Japanese,4.3,1,44495.65,4715.68,37.01,1,235.49404203295592
Pho Newton,Surrey,V3W 0H9,49.1392040260342,-122.843214712932,29,2,Vietnamese,3.6,0,34428.57,3821.42,30.89,3,159.0498812630946
Tendon Kohaku,Burnaby,V5H 4M8,49.2278910406839,-123.00348046083376,49,2,Japanese,3.7,0,33621.62,11244.19,39.71,12,53.28932910126633
Grandt Kitchen,Surrey,V3T 2W6,49.189707024899,-122.846393287182,70,1,Filipino,3.9,0,35926.32,7277.06,45.56,5,84.68094748486277
PappaRoti,Coquitlam,V3B 2P7,49.2840263,-122.793144,49,2,Juice Bars & Smoothies,4.1,1,37155.56,5992.23,29.3,8,14.539875590339106
Daan Korean Cuisine,Richmond,V6Y 1K3,49.1553651,-123.124776,83,2,Korean,4.0,1,32618.18,7584.14,25.74,3,56.22057173339036
Mongo Bongo,New Westminster,V3L 5H3,49.2135179,-122.9193884,88,2,Mongolian,3.9,0,42781.25,6773.7,28.82,14,31.935530902596696
Pho & Japolo,Burnaby,V3J 1P1,49.253645,-122.892575,35,2,Vietnamese,3.7,0,38136.84,7484.91,40.21,4,59.55693172317013
Papa Johns Pizza,New Westminster,V3L 1V3,49.21329659729184,-122.91968736842948,23,2,Pizza,3.1,0,42805.71,6858.32,28.93,14,10.318821069898597
Navraj Sweets & Restaurant,Surrey,V3W,49.1501801430419,-122.866437749758,24,2,Indian,4.4,1,30000.0,1695.75,34.56,3,129.69955355588093
Nobi Nobi,Richmond,V7A 5J5,49.133102,-123.098042,65,2,Japanese,4.5,1,37828.57,4089.25,25.57,1,128.7567429234775
Chili House Restaurant,Surrey,V3S 6K7,49.1144981,-122.6806335,91,2,Asian Fusion,4.3,1,46033.33,2661.51,31.9,0,35.0233404613781
Mega Sushi,Coquitlam,V3K 7B6,49.24858070525632,-122.81784885439474,87,2,Sushi Bars,3.9,0,47250.0,2559.59,20.91,0,150.82349611206712
Guu with Garlic,Vancouver,V6G 1C7,49.290249,-123.1338142,1115,2,Japanese,4.3,1,45147.54,24598.78,44.21,9,12.52314887376158
Joy's Taiwanese Kitchen,Richmond,V6X 2C3,49.1819171,-123.1363782,23,1,Taiwanese,3.9,0,29900.0,3402.03,46.29,23,59.01150917214461
The Canadian Brewhouse & Grill,Richmond,V6X 0M5,49.17762,-123.12371,171,2,Sports Bars,3.4,0,31280.0,5408.67,38.55,7,46.74993220945475
Gyu-Kaku Japanese BBQ,Vancouver,V6Z 2H1,49.28031,-123.12467,425,2,Japanese,4.0,1,48620.78,23281.34,47.96,17,69.91408107937275
Sushi Modo,Burnaby,V3N 1B8,49.225836,-122.937422,121,2,Sushi Bars,4.3,1,37336.36,5264.4,29.36,1,61.59187603503072
Kozak Ukranian Eatery,New Westminster,V3L 3B3,49.2114757572234,-122.918422905028,153,1,Bakeries,4.4,1,43474.29,7168.23,30.17,14,4.263127399654022
Dominion Bar + Kitchen,Surrey,V3T 1V8,49.19024372736193,-122.848227414672,57,3,Canadian (New),3.7,0,35770.0,7038.85,45.23,4,35.065396807511156
Waves Coffee House,Coquitlam,V3B 5R5,49.2784614,-122.7985418,6,2,Coffee & Tea,3.0,0,36292.31,6123.08,30.58,12,221.5856400274941
Cactus Club Cafe,Vancouver,V6C 0C3,49.288953168131265,-123.1170999,1072,2,Canadian (New),4.2,1,45507.69,11268.16,46.63,12,245.2332960520999
Japadog,Richmond,V6X 2X9,49.17513197931976,-123.13605273665104,28,1,Hot Dogs,4.0,1,29133.33,6247.96,39.29,15,45.1577217197061
Re-Up BBQ,New Westminster,V3M 6B9,49.2000834965815,-122.911374465514,187,2,Barbeque,3.8,0,45623.53,13453.29,41.23,13,115.15869615061519
Urban Gate,Coquitlam,V3B 0C6,49.28222,-122.7962049,122,2,Persian/Iranian,3.1,0,35887.5,6061.08,28.36,11,56.581196548313166
JJ Bean Coffee Roasters,Vancouver,V6C 0B2,49.287471,-123.116865,39,1,Cafes,3.8,0,46193.1,12201.88,48.28,17,110.38428584974305
Fatburger,Coquitlam,V3K,49.23409,-122.86301,50,2,Burgers,3.4,0,42466.67,3017.17,28.21,0,93.76611303931796
Saigon Ivy,New Westminster,V3L 3B4,49.21207002304541,-122.91928025557236,48,2,Vietnamese,3.4,0,43522.22,6931.93,29.86,15,38.98241114547762
Sushi Bar Shu,Vancouver,V6P 4Z5,49.2123904,-123.14068048650988,78,4,Sushi Bars,4.4,1,36321.43,5387.12,30.27,1,123.40310671791931
Aaron's Restaurant,Surrey,V3S 1H1,49.1062,-122.73329,27,3,Italian,3.2,0,41100.0,2812.39,28.68,4,26.018759967290272
Kirin Restaurant,New Westminster,V3M 7A3,49.1867640831858,-122.955329577009,153,2,Seafood,3.5,0,40666.67,2762.85,30.75,0,256.96827539262887
Desi Turka Indian Cuisine,Burnaby,V3N 3N1,49.220269,-122.929508,78,2,Indian,3.9,0,39200.0,5620.64,25.92,1,15.050497167850285
New Lakeview Seafood & Wunton,Burnaby,V3N 3M9,49.2204185639885,-122.930049553083,71,2,Seafood,3.3,0,39200.0,5620.64,25.92,1,57.443555838094554
Yin Ji Chang Fen,Richmond,V6X 3L4,49.17786599999999,-123.1294224,136,2,Cantonese,4.3,1,30600.0,5724.97,41.37,16,118.40497434107759
Chao Shou Wang,Burnaby,V5H 2A9,49.2290734,-123.0048795,44,1,Chinese,4.1,1,34248.65,8985.11,39.16,13,71.70231884363928
The Apron,Richmond,V6X 4K3,49.19085129402266,-123.13391892507546,48,3,Breakfast & Brunch,4.0,1,31500.0,3413.66,51.86,3,122.54515319373033
John 3:16 Malaysian Delights,Vancouver,V6H 1E2,49.26371,-123.12812,85,2,Malaysian,4.2,1,55361.54,10785.21,39.89,5,48.203133682204864
Marugame Udon,Vancouver,V6B 6A3,49.2801931,-123.11028743227573,102,2,Japanese,4.0,1,48120.0,13733.22,48.82,26,39.891791210975384
Just Waffles,Vancouver,V5K 2A8,49.28128196346295,-123.02744138985872,148,2,Breakfast & Brunch,4.5,1,40990.48,3543.92,28.77,2,75.43440879827192
