store_name,city,latitude,longitude,target_rating,target_is_successful,neighbourhood_name,competitor_count_500m,nearest_transit_distance_m
Tap & Barrel - Bridges,Vancouver,49.2727468,-123.1359964,4.3,1,Fairview,2,377.35230127381806
Hokkaido Ramen Santouka,Vancouver,49.290236,-123.133811,4.2,1,Lower Robson,13,12.129937086738892
Wow Full Noodle House,Vancouver,49.28255,-123.1145,4.7,1,Downtown,23,83.57977716485672
Brunch,Vancouver,49.2778182,-123.1254634,4.5,1,Granville,26,87.20789157676604
Banana Leaf,Vancouver,49.28001,-123.13009,3.6,0,Davie Village,16,64.92180091664216
The Mackenzie Room,Vancouver,49.2832349,-123.0948578,4.5,1,Japantown,3,82.75986997150278
The Mexican Antojitos Y Cantina,Vancouver,49.2787726,-123.1240268,4.3,1,Granville,31,107.3608701761091
Zab Zaab Thai Cuisine,Vancouver,49.27493,-123.12321,4.5,1,Yaletown,19,50.53700969207118
Nero Waffles,Vancouver,49.2907208,-123.1339952,4.3,1,Lower Robson,12,60.22554573243856
Burger Crush,Vancouver,49.27977707759172,-123.12350184856516,4.3,1,Granville,25,69.2665965867354
Okeya Kyujiro,Vancouver,49.27581579131156,-123.1197521,4.8,1,Yaletown,21,97.53086948772436
The Northern Cafe and Grill,Vancouver,49.208549754278906,-123.0724741261907,4.7,1,Victoria-Fraserview,0,269.1526903356999
Superbaba,Vancouver,49.2633297,-123.1012681,4.6,1,Mount Pleasant,4,36.18236811168609
Sooda Korean BBQ,Vancouver,49.28256,-123.10628,4.6,1,Gastown,18,73.97469700318338
Caveman Cafe,Vancouver,49.280802324947445,-123.10703500282293,4.4,1,Chinatown,19,10.85113292041144
Zarak By Afghan Kitchen,Vancouver,49.266224,-123.1006089,4.5,1,Mount Pleasant,4,29.49789035253302
Five Sails Restaurant,Vancouver,49.2880313351364,-123.113292160758,4.4,1,Financial District,11,125.02085569037104
Yolks ,Vancouver,49.278737,-123.128973,4.5,1,Davie Village,15,8.127355921869666
Bahar Cafe,Vancouver,49.28069,-123.11846,4.8,1,Yaletown,22,40.01429986914926
Shizen Ya,Vancouver,49.2808844,-123.1246278,4.3,1,Yaletown,21,132.55770429391694
Jerusalem Shawarma,Vancouver,49.280356,-123.118634,4.7,1,Granville,22,79.17196714434743
Toyokan Bowl,Vancouver,49.27055,-123.14762,4.7,1,Kitsilano,4,203.17053166414897
Elem Vancouver,Vancouver,49.266199,-123.100564,4.3,1,Mount Pleasant,4,31.427079382194197
Song,Vancouver,49.2629749,-123.0986667,4.4,1,Mount Pleasant,5,52.72525838719499
Meat & Bread,Vancouver,49.2826255017147,-123.109336831057,4.2,1,Chinatown,19,56.99281447592099
La Grotta Del Formaggio,Vancouver,49.2688848,-123.0697849,4.3,1,Little Italy,1,95.41351845558349
Pink Peppercorn Seafood House,Vancouver,49.2493583,-123.0739159,4.4,1,Little Saigon,0,90.19437534294748
Earls Kitchen + Bar,Vancouver,49.281536,-123.12368,3.6,0,Downtown,22,94.75953933089058
Yolks,Vancouver,49.2631139,-123.1163529,3.6,0,Fairview,8,27.289613224270283
Maruhachi Ra-Men,Vancouver,49.27854065320407,-123.1157914,4.1,1,Yaletown,18,66.46283794191034
Le Petit Belge,Vancouver,49.278975790117805,-123.116520502828,4.2,1,Yaletown,18,26.71819240997117
Pholicious,Vancouver,49.28297,-123.11279,4.3,1,Chinatown,21,21.585621394134225
Osteria Savio Volpe,Vancouver,49.2574913,-123.0909344,4.2,1,Mount Pleasant,1,72.80815574264885
Minami,Vancouver,49.2752733,-123.1207029,4.1,1,Yaletown,19,118.4290638563887
Oyster Express,Vancouver,49.2792784082144,-123.097397130932,4.5,1,Chinatown,7,22.003842126836325
KINTON RAMEN ROBSON,Vancouver,49.27955,-123.117318,4.4,1,Yaletown,21,89.04726163170261
Mr Shawarma,Vancouver,49.28526,-123.12075,4.4,1,Downtown,19,41.06660257254003
Bodega On Main,Vancouver,49.27548853708847,-123.09968391901442,3.8,0,Strathcona,3,19.200560082215784
New Town Bakery & Restaurant,Vancouver,49.280153,-123.101201,3.8,0,Chinatown,13,50.7245616612047
Maenam,Vancouver,49.26787,-123.1488979,3.9,0,Kitsilano,3,67.60757269014788
iDen & Quan Ju De Beijing Duck House,Vancouver,49.26021,-123.1148451,3.6,0,Fairview,8,24.224472265820076
Gyu-Kaku Japanese BBQ,Vancouver,49.28031,-123.12467,4.0,1,Granville,19,69.91408107937275
Banana Leaf,Vancouver,49.26302,-123.1225,3.7,0,Fairview,5,47.78477201639204
Burgoo Bistros,Vancouver,49.25765498958033,-123.100815,3.9,0,Mount Pleasant,2,59.3212968188686
La Taqueria Pinche Taco Shop,Vancouver,49.263617,-123.112593,4.2,1,Mount Pleasant,7,135.11039422200693
New Fuji,Vancouver,49.27082027992868,-123.14700923860072,4.3,1,Kitsilano,4,173.76365364293565
Alley 16,Vancouver,49.257017,-123.11474,4.6,1,Mount Pleasant,1,19.86118842075381
Vonns,Vancouver,49.28724,-123.14124,4.5,1,Lower Davie,3,21.324130578282823
Fat Mao,Vancouver,49.27881,-123.09893,4.0,1,Chinatown,7,52.158278640314904
Les Faux Bourgeois,Vancouver,49.2572813531481,-123.089767330802,3.9,0,Mount Pleasant,1,43.73532179066232
Kook Korean BBQ,Vancouver,49.26894,-123.04565,4.2,1,Hastings-Sunrise,0,94.1170448428135
Dovetail,Vancouver,49.27599363324675,-123.120331,4.3,1,Yaletown,24,138.4214740908193
Thierry,Vancouver,49.2848818,-123.1228949,4.0,1,Downtown,16,85.16217353199482
Horin Tonkotsu Ramen ,Vancouver,49.28617,-123.12749,4.2,1,Lower Robson,10,13.16158346915599
Score on Davie,Vancouver,49.2823221457395,-123.134614739512,4.3,1,Lower Davie,3,30.701075416589315
Ray's,Vancouver,49.275365,-123.121483,4.5,1,Yaletown,19,93.73612079133004
CHOCHO Hot Pot,Burnaby,49.231234,-123.006943,4.5,1,Metrotown,20,47.48794482029249
John 3:16 Malaysian Delights,Burnaby,49.22494698851795,-122.9900406,4.5,1,Metrotown,6,51.85658073480115
The Meat Up,Burnaby,49.2254546362785,-122.98992646931154,4.1,1,Metrotown,6,27.30642952370444
White Lotus Cafe,Burnaby,49.2656111504516,-122.97883607144,4.5,1,,1,151.5538498826411
Saku,Burnaby,49.26543,-123.005428,4.5,1,Brentwood,14,164.0637985831454
22's Grill,Burnaby,49.2430980643898,-122.969388433881,4.4,1,,1,121.50760738706909
Atlas Steak + Fish,Burnaby,49.256747,-123.006931,4.0,1,Brentwood,1,325.48711452036963
Gokudo Shabu Shabu,Burnaby,49.230168460812294,-123.0038528105504,4.4,1,Metrotown,20,124.93109401135504
Shanghai Dimsum House,Burnaby,49.2294464,-123.0044077,4.0,1,Metrotown,21,84.53596543318454
Living Room Lounge,Burnaby,49.2551,-123.02032,4.5,1,Cascade Heights,4,94.10522432141843
Korea Noodle House,Burnaby,49.229066,-123.004751,4.2,1,Metrotown,21,80.97559136044138
Haidilao Hotpot Brentwood,Burnaby,49.267417,-123.00189,4.6,1,Brentwood,13,82.71339286511865
Wild Flour Pizza,Burnaby,49.2584540319258,-122.955439905848,4.7,1,,0,18.42856685539312
Singapore Hawker,Burnaby,49.218768,-122.96447913871704,4.1,1,Edmonds,6,58.09646082189814
Wild Thyme,Burnaby,49.2092291,-122.932308,4.4,1,Kelvin,9,7.210249857936038
Safari Snack House And Grill,Burnaby,49.239118670642895,-122.96287338465577,3.9,0,Buckingham Heights,3,81.58289124261282
Kokoro Tokyo Mazesoba,Burnaby,49.228287011321385,-123.00315331667662,4.0,1,Metrotown,19,63.18454567877673
STEM Japanese Eatery,Burnaby,49.21497276456137,-122.98816101534425,4.2,1,Royal Oak,3,26.203189289248975
Jovo the Butcher,Burnaby,49.22185,-122.94565,5.0,1,Edmonds,9,15.603469532510848
OEB Breakfast,Burnaby,49.267442,-123.002595,4.1,1,Brentwood,13,37.45148749364946
Siam Le Bien,Burnaby,49.2813,-123.01068,4.3,1,Burnaby Heights,11,104.92701602967324
Takara Sushi,Burnaby,49.2545851,-123.0220016,4.4,1,Cascade Heights,4,41.123497840677615
囍·澳门特色打边炉  Authentic Macau Hot Pot,Burnaby,49.2277884925998,-123.00316795158996,4.3,1,Metrotown,17,77.98842141883762
Burnaby Mountain Clubhouse,Burnaby,49.265138,-122.943048,4.1,1,,0,437.9658066973759
Green & Oak Malaysian Restaurant,Burnaby,49.28081,-123.02185,3.9,0,Burnaby Heights,5,45.81374543729924
Grand Chinese Restaurant,Burnaby,49.266893,-123.004262,4.0,1,Brentwood,13,96.06644588915792
Birdies,Burnaby,49.2655537242762,-123.01959240000002,4.0,1,West Central Valley,1,173.61685169445312
The Viet Noodle Guy,Burnaby,49.26721987665755,-123.00572763320037,4.1,1,Brentwood,14,175.13172001620177
Portobello Restaurant,Burnaby,49.280764,-123.013394,4.7,1,Burnaby Heights,12,21.351661702704902
NamPo,Burnaby,49.22620549734934,-122.9917955,4.4,1,Metrotown,6,20.862207921265018
Little Minh's,Burnaby,49.1990675,-122.9799962,4.3,1,Big Bend,1,102.49342945815351
Masita Korean Cuisine,Burnaby,49.218978345984,-122.969008660356,3.9,0,Edmonds,4,48.83162182960846
Cactus Club Cafe,Burnaby,49.22775581945971,-123.00329214418927,3.9,0,Metrotown,17,73.5643124413995
Sooda Korean BBQ,Burnaby,49.2680924,-123.0003773,4.1,1,Brentwood,13,188.29919185898305
Burnt Orange,Burnaby,49.280836,-123.007658,4.5,1,Burnaby Heights,7,37.320244952539966
Horin Ramen,Burnaby,49.22901506843291,-123.00505047055158,4.5,1,Metrotown,21,59.18017182690141
Blue Coast,Burnaby,49.23466,-123.0246,4.5,1,Renfrew-Collingwood,0,29.45548026621762
Riverway Clubhouse Restaurant,Burnaby,49.200617,-122.990237,3.5,0,Big Bend,0,666.8768350188325
La Forêt,Burnaby,49.2212819390063,-122.995836958493,3.7,0,Royal Oak,0,188.95211046517792
The Keg Steakhouse + Bar,Burnaby,49.2596278,-123.0019108,3.9,0,Brentwood,1,242.1350011051444
Chettinad Dosa Palace,Burnaby,49.23933,-122.96364,3.2,0,Buckingham Heights,3,24.168986470276828
SOCRATES in the Heights,Burnaby,49.2811430405355,-122.998363226652,4.5,1,,3,104.8685680567561
Chad Thai,Burnaby,49.2809351,-123.0160318,4.1,1,Burnaby Heights,12,19.227414688731916
Claudio's,Burnaby,49.265511702879046,-123.00492429325408,3.8,0,Brentwood,14,127.01096010475398
Gaon  Korean Cuisine,Burnaby,49.223246,-122.982823,4.2,1,Royal Oak,4,48.681159544549885
Tendon Kohaku,Burnaby,49.2278910406839,-123.00348046083376,3.7,0,Metrotown,18,53.28932910126633
Trattoria by Italian Kitchen,Burnaby,49.23020501851105,-123.0039327,3.2,0,Metrotown,20,121.88640533800285
Fraser Park Restaurant,Burnaby,49.1941802,-122.9979206,4.2,1,Big Bend,0,223.78084948510548
Chao Shou Wang,Burnaby,49.2290734,-123.0048795,4.1,1,Metrotown,21,71.70231884363928
Sushi Taku,Burnaby,49.23982721439047,-123.03001648836062,4.3,1,Renfrew-Collingwood,0,33.27994742620727
Hiel Cafe,Burnaby,49.2190187,-122.92795,4.3,1,Edmonds,5,34.729896975814555
MYST Asian Fusion,Burnaby,49.21936313246308,-122.9706842,3.6,0,Edmonds,4,66.04681030078137
La Forêt - Royal Oak,Burnaby,49.2203,-122.98637,4.3,1,Royal Oak,1,133.94889141333147
Chào Mámi,Burnaby,49.2808832078838,-123.014717570458,4.0,1,Burnaby Heights,11,37.2978679904511
Argo Greek Cuisine Pizza Pasta,Burnaby,49.2544359,-123.02071005595984,4.2,1,Cascade Heights,4,70.26031146107509
JOEY Burnaby,Burnaby,49.2669122,-123.0066466,3.7,0,West Central Valley,14,124.4337710977032
Taku Japanese Kitchen,Burnaby,49.21462,-122.98827,4.8,1,Royal Oak,3,36.20218975749076
Chen,Burnaby,49.28086095595619,-123.0091730738817,4.1,1,Burnaby Heights,12,30.217364830944643
Wang's Shanghai Cuisine,Burnaby,49.232843,-123.034814,4.3,1,Killarney,1,76.830240166278
Big Way Hot Pot,Burnaby,49.2310987,-123.0083309711633,4.0,1,Metrotown,17,38.16132017237322
Kokoro Tokyo Mazesoba,Burnaby,49.26695219266848,-123.00631798803806,4.3,1,Brentwood,14,147.22052006129732
Adam's Crepes,Burnaby,49.2149649,-122.9880349,4.6,1,Royal Oak,3,33.07828218617082
Tenen,Burnaby,49.21549,-122.98895,4.2,1,Royal Oak,3,55.39353496467237
Kimshaker,Burnaby,49.2332,-123.013747,4.4,1,Metrotown,4,97.68072866858914
B&D Authentic Viet Cuisine,Burnaby,49.21818434432872,-122.9578841,3.8,0,Edmonds,3,39.2927189817689
El Inka Latin Deli,Burnaby,49.24941,-123.01912,4.4,1,Cascade Heights,1,73.93760166366076
Earls Kitchen + Bar,Burnaby,49.2279486,-123.0027748,3.9,0,Metrotown,17,95.04734729991688
Bow & Stern,Burnaby,49.2681023,-123.0000943,3.7,0,Brentwood,13,195.86641049604037
Cockney Kings Fish & Chips,Burnaby,49.28005299920758,-122.96652586933914,4.0,1,,0,98.50507905061608
Saffron Indian Cuisine,Burnaby,49.2311623,-123.0085405,3.8,0,Metrotown,16,40.095965213740776
Time & Place Kitchen | Bar,Burnaby,49.22869,-123.004102,3.7,0,Metrotown,21,52.84570045052068
Aroma Eatery,Burnaby,49.228417734136464,-123.00491628393937,4.4,1,Metrotown,21,68.97533659143839
Viva Sue Pizza,Burnaby,49.2391579,-122.9625575,4.2,1,Buckingham Heights,3,99.8893565523952
Balkan House,Burnaby,49.22219,-122.94393,3.4,0,Eastburn,7,53.82136269354259
The One Restaurant,Burnaby,49.2211721,-122.9774371,3.4,0,Royal Oak,2,135.77589051718357
Soup Meister,Burnaby,49.31028,-123.08191,4.3,1,The Shipyards,0,80.5741142456469
Hart House Restaurant,Burnaby,49.23804,-122.96671,3.7,0,Buckingham Heights,3,201.1590523549599
Pho Hong Vietnamese Restaurant,Burnaby,49.2213203,-122.9769818,2.9,0,Royal Oak,2,110.31028575075308
Big Way Hot Pot,Burnaby,49.23150769999999,-123.0094545,3.6,0,Metrotown,16,18.542283816402364
L'Artista,Burnaby,49.281231129459975,-123.0188885,4.0,1,Burnaby Heights,9,17.0807312911245
Anatolia's Gate Restaurant,Burnaby,49.2183151,-122.9579254,3.8,0,Edmonds,3,24.522354696911258
The Bao Place,Burnaby,49.21942124951652,-122.9500496,4.3,1,Edmonds,4,23.435778095054633
Golden Pita Lebanese Restaurant,Burnaby,49.2531819933441,-122.897602039217,4.2,1,Sullivan Heights,1,55.44299163381336
Sushi U,Burnaby,49.2654624429451,-122.978147623681,4.5,1,,1,105.42015742716022
Agra Tandoori Restaurant,Burnaby,49.25443,-123.02066,3.9,0,Cascade Heights,4,73.67580303984616
Shanghai Fortune Cuisine,Burnaby,49.22954179328731,-123.0046759319506,3.9,0,Metrotown,21,75.49461618849132
Mongo Bongo,Burnaby,49.2135179,-122.9193884,3.9,0,Queens Park,33,31.935530902596696
1003 Brunch & Dessert,Burnaby,49.22447173359129,-122.9899072,4.1,1,Metrotown,6,96.7283960153684
Cayenne Bistro & Grill,Burnaby,49.2213856,-122.9309353,4.8,1,Edmonds,6,23.449188942580275
Zaaki Cuisine,Burnaby,49.2131145,-122.9200483,4.6,1,Queens Park,33,35.224333949416874
Kozak Ukranian Eatery,Burnaby,49.2114757572234,-122.918422905028,4.4,1,Queens Park,33,4.263127399654022
Midam Rice Cake House,Burnaby,49.24411305860233,-122.89468909572412,3.4,0,Lougheed,3,140.32617577617685
Chicko Chicken Korean Style,Burnaby,49.2191861,-122.9505083,4.1,1,Edmonds,3,10.2410759231389
Kimbap Cheonguk,Burnaby,49.2446982,-122.8918313,4.4,1,Cariboo,3,59.7410003891559
H&P Noodle House,Burnaby,49.281271,-123.015823,3.9,0,Burnaby Heights,12,34.123567014124866
Pearl Hot Pot,Burnaby,49.2188387,-122.964481,3.3,0,Edmonds,6,61.37495804899288
Afghan Turkish Cuisine,Burnaby,49.2807738,-123.0028986,4.0,1,Brentwood,4,43.03528267297643
Sushi Bar Kilala,Burnaby,49.2811517065771,-122.995635763696,4.3,1,,2,20.62392417131986
Green Leaf Cafe,Burnaby,49.2533051,-122.8982928,4.1,1,Sullivan Heights,1,10.107785601600993
Nén,Burnaby,49.224096740087546,-122.9416219,4.1,1,Eastburn,8,24.83212547585518
#CHIBOP,Burnaby,49.2677387,-123.0064866,4.5,1,Brentwood,14,196.9007794791919
Katsuya,Burnaby,49.26175,-122.89038,4.4,1,Burquitlam,0,44.220832635783026
Olove Greek Kitchen,Burnaby,49.2804849,-122.9779067,4.0,1,,0,133.96709030175688
CM Chicken,Burnaby,49.22732659553047,-122.99451665152054,4.3,1,Metrotown,5,30.1107818267113
Tap & Barrel - Brentwood,Burnaby,49.26741280132382,-123.00188253558166,4.2,1,Brentwood,13,83.38683332821836
Gyubee Japanese Grill,Burnaby,49.1712466,-123.1351984,4.3,1,Lansdowne Village,0,156.18427664862682
The Gray Olive Cafeteria,Burnaby,49.2807699,-123.01164,4.1,1,Burnaby Heights,11,132.5511231088864
Barcelos Flame Grilled Chicken,Burnaby,49.19813330438935,-122.97878590283268,3.8,0,Big Bend,1,107.366702589156
Simba’s Grill,Burnaby,49.2545127,-123.0231251,4.0,1,Cascade Heights,4,25.3621457535035
Porker Face,Burnaby,49.266783,-123.004713,4.4,1,Brentwood,13,130.68217287710726
No.1 Beef Noodle House,Burnaby,49.2425291,-123.004037333135,3.4,0,Garden Village,0,40.11108531161049
BIN 4 Burger Lounge,Burnaby,49.2641572,-123.022698,4.0,1,West Central Valley,1,62.43334108167189
Butchers Block BBQ,Burnaby,49.28129,-123.01453,3.8,0,Burnaby Heights,11,68.4656790233383
Hooray Cafe & Coffee Lab,Burnaby,49.24362,-122.969446,5.0,1,Metrotown,1,179.67660556729916
Manjal South Indian Kitchen,Burnaby,49.2232674,-122.9428279,4.4,1,Edmonds,8,22.6373349510798
