store_name,city,latitude,longitude,target_rating,target_is_successful,median_income,pop_density_sqkm,pct_age_20_39,competitor_count_500m,nearest_transit_distance_m
Kishimoto Japanese Kitchen,Vancouver,49.2665099,-123.06935,4.4,1,43697.44,7228.75,37.78,2,132.29739302730903
Sura Korean Cuisine,Vancouver,49.2888601838143,-123.131742169312,4.1,1,45513.04,22528.33,44.49,27,43.741747276590154
Elisa,Vancouver,49.27597599917006,-123.12142339325408,4.3,1,51384.91,21057.57,48.02,47,147.1631502791943
Maruhachi Ra-men,Vancouver,49.2905691,-123.1333951,4.3,1,45147.54,23765.56,44.18,24,41.804372836499724
Tokyo In April,Vancouver,49.2806813,-123.1073936,4.4,1,43411.76,12415.09,47.61,43,24.90959925756874
Hokkaido Ramen Santouka,Vancouver,49.263127,-123.1168917,4.2,1,56410.0,8660.42,38.38,23,40.59180435220434
Shizen Ya,Vancouver,49.2808844,-123.1246278,4.3,1,48484.62,23522.86,48.41,42,132.55770429391694
Cactus Club Cafe,Vancouver,49.28554081466174,-123.11881637137162,4.1,1,47026.67,17704.84,50.58,53,43.47358892882296
Sawasdee Thai Restaurant,Vancouver,49.24703,-123.1008,4.0,1,48990.62,6065.56,31.94,6,120.09330757117357
Calabash Bistro,Vancouver,49.281004479966,-123.104228199529,4.0,1,40006.45,10966.19,44.37,37,64.9020048252157
Mazahr Lebanese Kitchen,Vancouver,49.2615511,-123.1383052,4.7,1,54488.1,8219.24,41.72,5,46.51157583870222
Happy Noodle House,Vancouver,49.27664,-123.12578,4.6,1,49743.33,22818.21,47.47,41,34.02548772907132
LOCAL Public Eatery Gastown,Vancouver,49.2836468,-123.1039495,4.3,1,39384.62,10523.52,45.32,29,142.87222344169612
Tap & Barrel - Convention Centre,Vancouver,49.289845529586,-123.116857235515,3.8,0,44895.24,12146.31,45.88,22,345.6260323306837
Social Corner- Coal Harbour,Vancouver,49.28789956950066,-123.11817217614248,4.5,1,46348.39,14620.07,48.49,38,119.03831206827327
Kozak Ukrainian Restaurant,Vancouver,49.28266968028282,-123.1045676752585,4.6,1,40528.57,11038.37,44.97,39,25.769941909627654
Encore Suite,Vancouver,49.2776420028873,-123.109174971689,4.3,1,49511.76,17934.25,49.78,24,143.18947504303492
Nook,Vancouver,49.2917554,-123.1352974,4.2,1,45631.37,26455.61,42.94,20,73.23016013922218
Alouette Bistro,Vancouver,49.2853,-123.11829,4.3,1,46841.86,17466.69,51.56,55,85.34953640145096
Alchemy Bar and Kitchen,Vancouver,49.27422,-123.124,4.3,1,51250.98,22315.78,45.61,27,128.93725279774492
Okeya Kyujiro,Vancouver,49.27581579131156,-123.1197521,4.8,1,52132.0,21480.58,47.98,43,97.53086948772435
Suyo Modern Peruvian,Vancouver,49.2540292,-123.1010659958052,4.5,1,50767.57,7972.15,38.8,8,35.312608922287225
Le Crocodile Restaurant,Vancouver,49.2825393,-123.1252052,4.3,1,47250.62,23195.66,49.65,39,57.470293970622656
Pink Peppercorn Seafood House,Vancouver,49.2493583,-123.0739159,4.4,1,39221.05,7081.01,33.79,2,90.19437534294747
Pourhouse Restaurant,Vancouver,49.2841134475502,-123.10842879595,4.0,1,43288.89,10466.33,49.76,48,94.96230478590621
Linh Cafe,Vancouver,49.2746716,-123.12989802,3.9,0,50539.29,21215.01,44.7,23,89.95986943766403
The Northern Cafe and Grill,Vancouver,49.208549754278906,-123.0724741261907,4.7,1,37778.95,5262.36,27.92,0,269.1526903356999
Hokkaido Ramen Santouka,Vancouver,49.290236,-123.133811,4.2,1,45147.54,24598.78,44.21,24,12.129937086738893
ARC Restaurant,Vancouver,49.28733537787621,-123.11385049155078,4.0,1,46400.0,11107.71,49.0,35,62.29366163490229
iDen & Quan Ju De Beijing Duck House,Vancouver,49.26021,-123.1148451,3.6,0,55070.27,8103.33,38.98,22,24.224472265820076
The Sandbar Seafood Restaurant,Vancouver,49.271502,-123.134151,3.7,0,53185.37,13765.48,41.32,12,361.01066746939097
Five Sails Restaurant,Vancouver,49.2880313351364,-123.113292160758,4.4,1,45684.21,9656.4,46.68,31,125.02085569037105
Dinesty Dumpling House,Vancouver,49.2908176,-123.1343912,3.9,0,45233.33,25063.69,44.1,23,84.88591901852101
St Lawrence Restaurant,Vancouver,49.2832584031253,-123.097993419888,4.4,1,37579.31,8625.43,38.62,19,10.930447176184115
Rodney's Oyster House,Vancouver,49.274326,-123.123131,4.0,1,51653.06,20256.81,46.24,29,74.32290006895414
Twisted Fork,Vancouver,49.283155,-123.104441,4.1,1,39384.62,10523.52,45.32,36,80.50847009876263
Dosanko,Vancouver,49.28278,-123.09194,4.0,1,33908.33,6667.59,34.63,7,113.23606455596943
España Restaurant,Vancouver,49.2880552,-123.1404114,4.2,1,45482.76,24653.96,43.57,9,59.12639236246667
Nero Waffles,Vancouver,49.27834403099929,-123.122044653573,4.4,1,49590.62,21693.12,48.95,59,64.19859942071194
Peaked Pies,Vancouver,49.2896489,-123.1384797,4.4,1,45532.2,25848.9,43.64,22,51.52549399575768
John 3:16 Malaysian Delights,Vancouver,49.26371,-123.12812,4.2,1,55361.54,10785.21,39.89,10,48.203133682204864
Cockney Kings Fish & Chips,Vancouver,49.272672,-123.148627,4.8,1,54948.48,8328.06,43.06,7,27.832981356298493
ONIGIRI YA,Vancouver,49.26339,-123.11652,4.6,1,56396.55,8360.95,38.1,23,6.678860193750218
Nuba in Gastown,Vancouver,49.2827625062516,-123.109646101134,4.0,1,45337.93,11833.53,50.91,54,58.25295567289824
The Magnet,Vancouver,49.28242131064444,-123.11118325952978,4.6,1,47712.5,12542.43,51.69,53,14.671275283084992
Sooda Korean BBQ,Vancouver,49.28256,-123.10628,4.6,1,41170.37,11010.59,46.96,39,73.97469700318338
Anh and Chi,Vancouver,49.2550314422938,-123.100882202153,4.0,1,51346.34,8329.22,40.74,10,7.911230767375117
Jeju,Vancouver,49.26228121460416,-123.0920469229725,4.5,1,46745.24,7971.15,46.91,7,36.45769331633955
Robba Da Matti,Vancouver,49.283146323514835,-123.10375675641404,4.6,1,38866.67,10472.78,44.73,32,100.90842140528632
The Mexican Antojitos Y Cantina,Vancouver,49.2787726,-123.1240268,4.3,1,48940.0,23795.76,48.41,58,107.3608701761091
Zarak By Afghan Kitchen,Vancouver,49.266224,-123.1006089,4.5,1,52485.71,8585.34,50.09,8,29.49789035253302
The Mackenzie Room,Vancouver,49.2832349,-123.0948578,4.5,1,35130.77,7868.87,35.62,8,82.75986997150278
Published on Main,Vancouver,49.25283186017385,-123.10116032897228,4.3,1,50371.43,7705.59,38.29,8,48.80749788810439
Marulilu Cafe,Vancouver,49.26338,-123.11415,4.0,1,56120.0,9816.14,42.82,20,31.853446860580696
Bodega On Main,Vancouver,49.27548853708847,-123.09968391901442,3.8,0,40803.57,12065.71,46.37,9,19.200560082215784
Burger Crush,Vancouver,49.27977707759172,-123.12350184856516,4.3,1,48797.18,23263.66,48.41,50,69.2665965867354
Maruhachi Ra-Men,Vancouver,49.27854065320407,-123.1157914,4.1,1,50206.12,18095.77,50.6,44,66.46283794191034
Dovetail,Vancouver,49.27599363324675,-123.120331,4.3,1,51988.24,21308.05,48.13,47,138.4214740908193
Takenaka,Vancouver,49.2783093,-123.0755801,4.3,1,44495.65,4715.68,37.01,4,235.49404203295592
Angus T,Vancouver,49.2762326068102,-123.119233623147,4.3,1,51669.39,21134.36,48.2,49,66.5077691612502
Minami,Vancouver,49.2752733,-123.1207029,4.1,1,51796.0,20869.79,47.75,35,118.4290638563887
Tap & Barrel - Bridges,Vancouver,49.2727468,-123.1359964,4.3,1,53721.43,13074.09,41.17,12,377.35230127381806
La Grotta Del Formaggio,Vancouver,49.2688848,-123.0697849,4.3,1,44605.0,7141.66,37.33,3,95.41351845558347
The Patty Shop,Vancouver,49.250721434013,-123.167994263811,4.4,1,40913.04,3642.45,24.07,0,103.1138465134243
Zab Zaab Thai Cuisine,Vancouver,49.27493,-123.12321,4.5,1,51157.69,20357.6,46.5,31,50.53700969207118
Fresh Donair,Vancouver,49.2792016361722,-123.12335201658,4.7,1,48877.14,23774.53,48.39,59,96.84285121907533
Homura Yakiniku,Vancouver,49.263136,-123.125637,4.4,1,54956.41,10854.24,38.4,12,195.28401074863635
Banana Leaf,Vancouver,49.28001,-123.13009,3.6,0,47289.74,25600.96,48.41,28,64.92180091664216
Seaport City Seafood Restaurant,Vancouver,49.263921119674905,-123.115152,4.2,1,55909.68,9895.18,42.86,20,63.029969693515326
Superbaba,Vancouver,49.2633297,-123.1012681,4.6,1,52568.75,10388.63,50.29,12,36.18236811168609
Earls Kitchen + Bar,Vancouver,49.281536,-123.12368,3.7,0,47422.37,23280.93,48.55,42,94.75953933089058
Oku Izakaya Bar,Vancouver,49.283441,-123.1044594,4.7,1,39384.62,10523.52,45.32,31,111.8033469853145
Mount Everest Kitchen & Grill,Vancouver,49.28343057225757,-123.1142148824853,4.6,1,48284.21,13601.73,50.91,54,57.847696312459725
Les Faux Bourgeois,Vancouver,49.2572813531481,-123.089767330802,3.9,0,46181.63,8943.99,42.35,6,43.73532179066232
Elem Vancouver,Vancouver,49.266199,-123.100564,4.3,1,52485.71,8585.34,50.09,8,31.427079382194197
Toyokan Bowl,Vancouver,49.27055,-123.14762,4.7,1,54797.44,8793.34,41.54,12,203.17053166414894
Banana Leaf,Vancouver,49.26302,-123.1225,3.7,0,55465.71,10228.27,39.65,18,47.78477201639204
Gyu-Kaku Japanese BBQ,Vancouver,49.28031,-123.12467,4.0,1,48620.78,23281.34,47.96,37,69.91408107937275
Caveman Cafe,Vancouver,49.280802324947445,-123.10703500282293,4.4,1,42812.5,12649.65,47.28,42,10.85113292041144
Oyster Express,Vancouver,49.2792784082144,-123.097397130932,4.5,1,38194.12,7614.85,41.54,16,22.003842126836325
Sushi Jin,Vancouver,49.2795794102629,-123.123817518353,4.6,1,48797.18,23263.66,48.41,49,47.667898302436555
Kook Korean BBQ,Vancouver,49.26894,-123.04565,4.2,1,35914.29,6069.4,30.06,0,94.1170448428135
Score on Davie,Vancouver,49.2823221457395,-123.134614739512,4.3,1,45461.04,22773.07,48.79,7,30.701075416589315
Pholicious,Vancouver,49.28297,-123.11279,4.3,1,48111.11,12889.19,51.19,55,21.585621394134222
Wow Full Noodle House,Vancouver,49.28255,-123.1145,4.7,1,48229.27,13973.04,51.12,61,83.57977716485672
Meat & Bread,Vancouver,49.2826255017147,-123.109336831057,4.2,1,45337.93,12068.21,50.98,53,56.99281447592099
Brunch,Vancouver,49.2778182,-123.1254634,4.5,1,49274.63,23857.68,47.8,46,87.20789157676604
Zakkushi on Denman,Vancouver,49.291208,-123.136248,4.2,1,45414.81,26785.84,43.37,23,23.621919993353757
Fat Mao,Vancouver,49.27881,-123.09893,4.0,1,38531.25,9012.49,41.88,16,52.158278640314904
Skewers Souvlaki Pita Bar,Vancouver,49.28317,-123.10286,4.6,1,38172.41,10158.84,43.78,28,86.19663424731543
Ray's,Vancouver,49.275365,-123.121483,4.4,1,51750.0,19022.15,47.32,39,93.73612079133005
The Greek By Anatoli,Vancouver,49.276285,-123.1197178,3.8,0,51415.69,21244.29,48.11,47,100.89878998112509
Song,Vancouver,49.2629749,-123.0986667,4.4,1,50631.43,7019.83,47.97,14,52.72525838719499
Vij's Restaurant,Vancouver,49.25754,-123.11479,4.0,1,55243.24,8451.93,38.49,8,43.33110703812407
Maenam,Vancouver,49.26787,-123.1488979,3.9,0,55197.87,9328.23,41.69,12,67.60757269014788
Zoomak Korean Tavern,Vancouver,49.28343,-123.10292,4.2,1,38207.14,10135.55,43.88,28,115.43124261321321
Osteria Savio Volpe,Vancouver,49.2574913,-123.0909344,4.2,1,46455.77,9111.05,42.93,6,72.80815574264885
Mr Shawarma,Vancouver,49.28526,-123.12075,4.4,1,46052.0,17582.68,49.67,55,41.06660257254003
Yolks ,Vancouver,49.278737,-123.128973,4.5,1,48781.08,26130.36,48.11,27,8.127355921869666
New Fuji,Vancouver,49.27082027992868,-123.14700923860072,4.3,1,54656.76,8619.11,41.65,12,173.76365364293565
Jinmi,Vancouver,49.27852246473989,-123.1143514,4.6,1,50304.44,17498.49,49.97,46,31.65348298490941
Fable Diner,Vancouver,49.2630749,-123.1019822,3.9,0,52830.3,10196.9,49.68,11,88.13699893877123
Le Petit Belge,Vancouver,49.278975790117805,-123.116520502828,4.2,1,49978.43,18276.77,50.58,48,26.71819240997117
Alley 16,Vancouver,49.257017,-123.11474,4.6,1,55255.88,8169.45,37.53,8,19.86118842075381
Teahouse in Stanley Park,Vancouver,49.3012529987012,-123.157079257071,4.1,1,,,,0,1563.4447259947315
New Town Bakery & Restaurant,Vancouver,49.280153,-123.101201,3.8,0,38873.33,12027.22,42.26,30,50.7245616612047
La Taqueria Pinche Taco Shop,Vancouver,49.263617,-123.112593,4.2,1,55803.57,9629.0,43.51,19,135.11039422200693
Horin Tonkotsu Ramen ,Vancouver,49.28617,-123.12749,4.2,1,45221.92,22052.17,47.42,27,13.16158346915599
Dynasty Seafood Restaurant,Vancouver,49.2635999,-123.12138,3.6,0,55503.03,10655.59,39.25,23,41.61266752301832
Earls Kitchen + Bar,Vancouver,49.285968141691775,-123.12656576441812,3.8,0,45286.96,21868.16,48.38,27,14.360533121604128
International Food Fair,Vancouver,49.28533,-123.11718,3.8,0,46785.37,15446.68,50.47,52,66.97086827985915
TAKO,Vancouver,49.278816,-123.1078822,4.0,1,45854.05,14772.88,47.73,32,38.02049646676038
Vonns,Vancouver,49.28724,-123.14124,4.5,1,45635.09,24715.08,44.79,6,21.324130578282826
Jerusalem Shawarma,Vancouver,49.280356,-123.118634,4.6,1,49063.79,18296.73,50.58,60,79.17196714434743
Bahar Cafe,Vancouver,49.28069,-123.11846,4.8,1,48505.17,18002.03,50.35,60,40.01429986914926
Maxine's Cafe & Bar,Vancouver,49.27807,-123.13131,4.3,1,48939.73,21414.39,47.34,16,26.11326286821928
Big Way Hot Pot,Vancouver,49.281753,-123.120701,4.1,1,47789.71,21303.48,49.73,54,39.97699612425684
Burgoo Bistros,Vancouver,49.25765498958033,-123.100815,3.9,0,50885.71,8648.13,42.96,9,59.3212968188686
Axum Restaurant,Vancouver,49.2814936637038,-123.07779582314,4.4,1,40988.89,3524.52,36.2,3,8.60155182250483
Sushi Hil,Vancouver,49.2554661,-123.1011451,4.6,1,51278.05,8268.44,41.49,10,52.47978886595308
Meat & Bread,Vancouver,49.2872146,-123.1188744,4.0,1,46235.29,15118.82,48.63,43,74.44711069775016
Indian Roti Kitchen,Vancouver,49.25901,-123.11538,4.5,1,55087.18,7800.14,39.17,16,35.4263187794138
Market Grill,Vancouver,49.2726237,-123.1356235,4.0,1,53797.62,13319.17,41.38,12,366.86505866204004
Emeri Matcha Bar,Vancouver,49.25985515950016,-123.10136160271884,4.6,1,51782.05,8353.72,45.94,13,7.584487682214264
Mean Poutine,Vancouver,49.2794438014385,-123.123368918896,3.9,0,48877.14,23249.57,48.36,56,83.29187982832238
Tre Viet,Vancouver,49.28812950568292,-123.1403068,4.7,1,45482.76,24653.96,43.57,10,48.315688769045465
Toshi Sushi,Vancouver,49.256699,-123.101936,4.3,1,51512.2,8371.55,42.45,10,63.83441263172546
Ramen DANBO - Kitsilano,Vancouver,49.26828,-123.146431,4.3,1,54858.33,9727.12,41.0,14,20.83910023200747
Haliná,Vancouver,49.281312044621686,-123.0557762,4.6,1,41870.27,6741.5,35.66,5,28.387054766357945
Gotham Steakhouse & Bar,Vancouver,49.28290359590047,-123.115883832301,4.1,1,48162.79,14343.81,51.37,59,24.873761004165587
Steamworks,Vancouver,49.28498,-123.11084,3.6,0,46241.67,11248.66,50.43,41,33.36907493013415
Thierry,Vancouver,49.2848818,-123.1228949,4.0,1,45468.75,19171.58,49.57,44,85.16217353199482
Seasons In the Park,Vancouver,49.2416705486198,-123.112535476685,4.0,1,43920.0,3293.94,36.83,0,289.3920187613742
Ignite Pizzeria,Vancouver,49.27724,-123.11858,4.6,1,51308.0,20261.52,49.15,54,124.9590460025596
Dante Italian Sandwich,Vancouver,49.279199,-123.116803,4.3,1,49829.41,18350.55,50.67,51,39.916334740519694
Los Elotes,Vancouver,49.26332,-123.11646,5.0,1,56396.55,8360.95,38.1,23,3.5225922915261574
Caffe La Tana,Vancouver,49.2788597356837,-123.070581380828,4.5,1,44535.48,5385.91,37.97,4,24.31930414469531
Japadog,Vancouver,49.285942555161974,-123.1123797035985,4.1,1,46775.0,11012.77,50.05,47,14.877413256176009
Wang's Shanghai Cuisine,Vancouver,49.232843,-123.034814,4.3,1,35114.29,9657.74,35.87,5,76.830240166278
Cuchillo,Vancouver,49.283262611469,-123.098110155039,4.2,1,37579.31,8625.43,38.62,19,4.732010368068061
Takenaka Uni Bar,Vancouver,49.283034,-123.1030239,4.5,1,38172.41,10158.84,43.78,28,74.55375186789615
Pho 37,Vancouver,49.28909,-123.13232,4.6,1,45545.45,22153.3,43.79,26,23.334727955288802
Granville Kebab & Poutine,Vancouver,49.279271,-123.123571,4.7,1,48797.18,23786.04,48.44,57,79.4407198122366
Perfecto Cafe,Vancouver,49.276804,-123.125213,4.1,1,49710.0,23872.97,47.91,43,42.372934368297024
Yasma,Vancouver,49.293372954206546,-123.1321844713631,4.4,1,45521.95,26061.01,40.89,17,141.00287075200177
Portuguese Club of Vancouver,Vancouver,49.2744271,-123.0693279,3.6,0,45062.86,6833.43,36.64,3,78.87500519046954
Batard Boulangerie & Cafe Moderne,Vancouver,49.2495337429805,-123.089919893626,4.4,1,45352.5,6751.17,31.85,4,38.60414619244038
Captain's Oven Pizza,Vancouver,49.287574432889535,-123.121025,4.5,1,45318.18,16371.64,47.73,39,85.29436458306465
The Morrissey Pub,Vancouver,49.2769058,-123.1268211,3.7,0,49645.45,22946.89,47.37,37,61.32194013531494
Green Leaf Sushi,Vancouver,49.2642679,-123.1801,3.9,0,48283.33,6391.38,34.84,0,96.55363894239433
KINTON RAMEN ROBSON,Vancouver,49.27955,-123.117318,4.4,1,49829.41,17989.5,50.63,57,89.04726163170261
Torafuku,Vancouver,49.27589499983855,-123.09961118220762,3.8,0,39507.14,11592.53,45.45,10,64.59302327058757
Chili Pepper House,Vancouver,49.236254639793266,-123.04171146419895,3.8,0,34656.41,8290.75,33.96,3,55.21784703979876
Saba Foods,Vancouver,49.260076553366275,-123.13904964662748,4.4,1,54307.14,8226.7,42.14,2,42.21255074231568
Palate Kitchen,Vancouver,49.286282,-123.115634,4.1,1,46700.0,14218.14,50.58,46,115.9995307421984
Straight Outta Brooklyn NYC Pizzeria,Vancouver,49.2791165,-123.1166227,4.1,1,49663.46,18380.5,50.45,49,26.57271239776389
The 515 bar,Vancouver,49.283842,-123.1144244,4.7,1,47862.86,13497.99,51.69,55,61.39761343851785
Social Corner,Vancouver,49.2785831916346,-123.118480343303,3.6,0,49698.15,20336.11,50.2,51,172.82426498816096
Browns Socialhouse QE Theatre,Vancouver,49.279919,-123.112788,4.3,1,48625.64,14659.56,49.27,53,27.764172840862194
Oceans 999,Vancouver,49.2881297,-123.1148699,3.5,0,45740.0,9547.9,47.5,34,177.4790549006326
Marugame Udon,Vancouver,49.2801931,-123.11028743227573,4.0,1,48120.0,13733.22,48.82,47,39.891791210975384
Van Tea Cafe,Vancouver,49.233265,-123.1013951,3.8,0,39816.0,5353.23,32.36,0,12.272217024823014
The Farmhouse,Vancouver,49.26185879464837,-123.09710762514682,4.0,1,49382.5,7098.41,47.1,13,116.8107816722688
Yama Cafe,Vancouver,49.2813049,-123.0632877,4.4,1,43266.67,5508.42,38.22,1,78.63223868086577
Ukrainian Village,Vancouver,49.2914123,-123.1358196,4.1,1,45414.81,26785.84,43.37,22,20.654445739245887
Nero Waffles,Vancouver,49.2907208,-123.1339952,4.3,1,45147.54,24598.78,44.21,23,60.22554573243856
The Dirty Apron Delicatessen,Vancouver,49.2805632,-123.1091772,4.5,1,47288.24,13234.57,49.32,44,96.99520847529543
Moltaqa Moroccan Restaurant,Vancouver,49.27642,-123.11897,3.8,0,51669.39,21134.36,48.2,50,65.39879127580586
Siegel's Bagels,Vancouver,49.2726237,-123.1356235,3.9,0,53797.62,13319.17,41.38,12,366.86505866204004
Kulinarya,Vancouver,49.2744901,-123.0693269,4.0,1,45062.86,6833.43,36.64,4,71.90279679396212
Giardino,Vancouver,49.276991,-123.1301021,3.9,0,49759.42,21599.71,46.88,15,124.7071399330007
Pho Khanh Express,Vancouver,49.2763,-123.11561,4.4,1,52147.73,20499.73,50.1,34,53.310125257652864
European Breads,Vancouver,49.2463202,-123.0899976,3.7,0,44147.37,6678.9,30.92,4,22.59492681620373
AJ's Brooklyn Pizza Joint,Vancouver,49.2629437687572,-123.098307028413,4.2,1,49434.21,7075.75,47.6,14,30.96969023904767
Oddfish,Vancouver,49.2708136,-123.1475237,4.1,1,54839.47,8712.44,41.68,12,173.35448344019647
Moose's Down Under,Vancouver,49.285638,-123.11634,3.9,0,46411.11,14832.34,50.36,51,65.60564823224279
Acquafarina,Vancouver,49.281192528357174,-123.11539859159646,4.1,1,48910.42,14937.25,50.02,58,30.927711481519104
Western Lake Chinese Seafood Restaurant,Vancouver,49.23933628972885,-123.0655687885182,4.0,1,33394.12,7512.89,32.71,2,36.825757840003504
Breakfast Table,Vancouver,49.25855,-123.13856,4.3,1,53861.11,8128.57,43.33,2,27.90070349350148
MamaLee,Vancouver,49.27961961550342,-123.108583,4.3,1,45805.26,13705.83,47.0,37,54.39267739421313
Osaka Teppanyaki Steak & Seafood House,Vancouver,49.263417,-123.1453266,3.9,0,53668.89,10464.45,41.75,1,24.622629599187647
Le Parfait,Vancouver,49.27914137816261,-123.1171837,4.6,1,49829.41,18350.55,50.67,52,67.07960951795658
Shiok Singapore Cuisine,Vancouver,49.2469321,-123.0693059,3.8,0,37450.0,7561.02,34.17,1,33.97956968858394
Bam Bam,Vancouver,49.27884508068396,-123.1128639450468,4.4,1,50517.5,17512.51,50.52,48,67.13861792975753
Pizza Rubato Napoletana,Vancouver,49.2635503,-123.1170685,4.3,1,56410.0,8662.82,38.18,23,50.05391513370496
Shiro,Vancouver,49.25796735722776,-123.11460624110458,4.1,1,55243.24,8451.93,38.49,9,69.383026615694
Fuwa Fuwa,Vancouver,49.28874,-123.13151,4.0,1,45513.04,22528.33,44.49,26,64.24548355791134
Homer St. Cafe and Bar,Vancouver,49.27842589023651,-123.11812388962127,3.8,0,50040.38,20563.08,50.16,50,157.1460427080893
Paul's Omelettery Restaurant,Vancouver,49.26597,-123.1389,3.9,0,54176.19,9828.28,41.14,7,53.447771013200246
Unchai Thai Restaurant,Vancouver,49.265112,-123.145913,4.4,1,54695.74,10806.7,40.66,7,145.42869715916842
Vancouver European Deli,Vancouver,49.2820012,-123.1339713,4.2,1,45332.89,24425.52,48.9,8,28.83180255842788
Ash Street Bistro,Vancouver,49.233925,-123.118871,4.2,1,36837.5,3449.61,32.65,1,95.34511548905608
