store_name,city,latitude,longitude,target_rating,target_is_successful
Marulilu Cafe,Vancouver,49.26338,-123.11415,4.0,1
Bodega On Main,Vancouver,49.27548853708847,-123.09968391901442,3.8,0
Burger Crush,Vancouver,49.27977707759172,-123.12350184856517,4.3,1
Maruhachi Ra-Men,Vancouver,49.27854065320407,-123.1157914,4.1,1
Dovetail,Vancouver,49.275993633246756,-123.120331,4.3,1
Takenaka,Vancouver,49.2783093,-123.0755801,4.3,1
Angus T,Vancouver,49.2762326068102,-123.119233623147,4.3,1
Minami,Vancouver,49.2752733,-123.1207029,4.1,1
Tap & Barrel - Bridges,Vancouver,49.2727468,-123.1359964,4.3,1
La Grotta Del Formaggio,Vancouver,49.2688848,-123.0697849,4.3,1
The Patty Shop,Vancouver,49.250721434013,-123.167994263811,4.4,1
Zab Zaab Thai Cuisine,Vancouver,49.27493,-123.12321,4.5,1
Fresh Donair,Vancouver,49.2792016361722,-123.12335201658,4.7,1
Homura Yakiniku,Vancouver,49.263136,-123.125637,4.4,1
Banana Leaf,Vancouver,49.28001,-123.13009,3.6,0
Seaport City Seafood Restaurant,Vancouver,49.263921119674905,-123.115152,4.2,1
Superbaba,Vancouver,49.2633297,-123.1012681,4.6,1
Earls Kitchen + Bar,Vancouver,49.281536,-123.12368,3.7,0
Oku Izakaya Bar,Vancouver,49.283441,-123.1044594,4.7,1
Mount Everest Kitchen & Grill,Vancouver,49.28343057225757,-123.1142148824853,4.6,1
Les Faux Bourgeois,Vancouver,49.2572813531481,-123.089767330802,3.9,0
Elem Vancouver,Vancouver,49.266199,-123.100564,4.3,1
Toyokan Bowl,Vancouver,49.27055,-123.14762,4.7,1
Banana Leaf,Vancouver,49.26302,-123.1225,3.7,0
Gyu-Kaku Japanese BBQ,Vancouver,49.28031,-123.12467,4.0,1
Caveman Cafe,Vancouver,49.280802324947445,-123.10703500282291,4.4,1
Oyster Express,Vancouver,49.2792784082144,-123.097397130932,4.5,1
Sushi Jin,Vancouver,49.2795794102629,-123.123817518353,4.6,1
Kook Korean BBQ,Vancouver,49.26894,-123.04565,4.2,1
Score on Davie,Vancouver,49.2823221457395,-123.134614739512,4.3,1
Pholicious,Vancouver,49.28297,-123.11279,4.3,1
Wow Full Noodle House,Vancouver,49.28255,-123.1145,4.7,1
Meat & Bread,Vancouver,49.2826255017147,-123.109336831057,4.2,1
Brunch,Vancouver,49.2778182,-123.1254634,4.5,1
Zakkushi on Denman,Vancouver,49.291208,-123.136248,4.2,1
Fat Mao,Vancouver,49.27881,-123.09893,4.0,1
Skewers Souvlaki Pita Bar,Vancouver,49.28317,-123.10286,4.6,1
Ray's,Vancouver,49.275365,-123.121483,4.4,1
The Greek By Anatoli,Vancouver,49.276285,-123.1197178,3.8,0
Song,Vancouver,49.2629749,-123.0986667,4.4,1
Vij's Restaurant,Vancouver,49.25754,-123.11479,4.0,1
Maenam,Vancouver,49.26787,-123.1488979,3.9,0
Zoomak Korean Tavern,Vancouver,49.28343,-123.10292,4.2,1
Osteria Savio Volpe,Vancouver,49.2574913,-123.0909344,4.2,1
Mr Shawarma,Vancouver,49.28526,-123.12075,4.4,1
Yolks ,Vancouver,49.278737,-123.128973,4.5,1
New Fuji,Vancouver,49.27082027992868,-123.14700923860073,4.3,1
Jinmi,Vancouver,49.27852246473989,-123.1143514,4.6,1
Fable Diner,Vancouver,49.2630749,-123.1019822,3.9,0
Le Petit Belge,Vancouver,49.278975790117805,-123.11652050282801,4.2,1
Alley 16,Vancouver,49.257017,-123.11474,4.6,1
Teahouse in Stanley Park,Vancouver,49.3012529987012,-123.157079257071,4.1,1
New Town Bakery & Restaurant,Vancouver,49.280153,-123.101201,3.8,0
La Taqueria Pinche Taco Shop,Vancouver,49.263617,-123.112593,4.2,1
Horin Tonkotsu Ramen ,Vancouver,49.28617,-123.12749,4.2,1
Dynasty Seafood Restaurant,Vancouver,49.2635999,-123.12138,3.6,0
Earls Kitchen + Bar,Vancouver,49.285968141691775,-123.12656576441812,3.8,0
International Food Fair,Vancouver,49.28533,-123.11718,3.8,0
TAKO,Vancouver,49.278816,-123.1078822,4.0,1
Vonns,Vancouver,49.28724,-123.14124,4.5,1
Jerusalem Shawarma,Vancouver,49.280356,-123.118634,4.6,1
Bahar Cafe,Vancouver,49.28069,-123.11846,4.8,1
Maxine's Cafe & Bar,Vancouver,49.27807,-123.13131,4.3,1
Big Way Hot Pot,Vancouver,49.281753,-123.120701,4.1,1
Burgoo Bistros,Vancouver,49.25765498958033,-123.100815,3.9,0
Axum Restaurant,Vancouver,49.2814936637038,-123.07779582314,4.4,1
Sushi Hil,Vancouver,49.2554661,-123.1011451,4.6,1
Meat & Bread,Vancouver,49.2872146,-123.1188744,4.0,1
Indian Roti Kitchen,Vancouver,49.25901,-123.11538,4.5,1
Market Grill,Vancouver,49.2726237,-123.1356235,4.0,1
Emeri Matcha Bar,Vancouver,49.25985515950016,-123.10136160271885,4.6,1
Mean Poutine,Vancouver,49.2794438014385,-123.123368918896,3.9,0
Tre Viet,Vancouver,49.28812950568292,-123.1403068,4.7,1
Toshi Sushi,Vancouver,49.256699,-123.101936,4.3,1
Ramen DANBO - Kitsilano,Vancouver,49.26828,-123.146431,4.3,1
Haliná,Vancouver,49.281312044621686,-123.0557762,4.6,1
Gotham Steakhouse & Bar,Vancouver,49.28290359590047,-123.115883832301,4.1,1
Steamworks,Vancouver,49.28498,-123.11084,3.6,0
Thierry,Vancouver,49.2848818,-123.1228949,4.0,1
Seasons In the Park,Vancouver,49.2416705486198,-123.112535476685,4.0,1
Ignite Pizzeria,Vancouver,49.27724,-123.11858,4.6,1
Dante Italian Sandwich,Vancouver,49.279199,-123.116803,4.3,1
Los Elotes,Vancouver,49.26332,-123.11646,5.0,1
Caffe La Tana,Vancouver,49.2788597356837,-123.070581380828,4.5,1
Japadog,Vancouver,49.285942555161974,-123.1123797035985,4.1,1
Wang's Shanghai Cuisine,Vancouver,49.232843,-123.034814,4.3,1
Cuchillo,Vancouver,49.283262611469,-123.098110155039,4.2,1
Takenaka Uni Bar,Vancouver,49.283034,-123.1030239,4.5,1
Pho 37,Vancouver,49.28909,-123.13232,4.6,1
Granville Kebab & Poutine,Vancouver,49.279271,-123.123571,4.7,1
Perfecto Cafe,Vancouver,49.276804,-123.125213,4.1,1
Yasma,Vancouver,49.293372954206546,-123.1321844713631,4.4,1
Portuguese Club of Vancouver,Vancouver,49.2744271,-123.0693279,3.6,0
Batard Boulangerie & Cafe Moderne,Vancouver,49.2495337429805,-123.089919893626,4.4,1
Captain's Oven Pizza,Vancouver,49.287574432889535,-123.121025,4.5,1
The Morrissey Pub,Vancouver,49.2769058,-123.1268211,3.7,0
Green Leaf Sushi,Vancouver,49.2642679,-123.1801,3.9,0
KINTON RAMEN ROBSON,Vancouver,49.27955,-123.117318,4.4,1
Torafuku,Vancouver,49.27589499983855,-123.09961118220762,3.8,0
Chili Pepper House,Vancouver,49.236254639793266,-123.04171146419897,3.8,0
Saba Foods,Vancouver,49.260076553366275,-123.13904964662748,4.4,1
Palate Kitchen,Vancouver,49.286282,-123.115634,4.1,1
Straight Outta Brooklyn NYC Pizzeria,Vancouver,49.2791165,-123.1166227,4.1,1
The 515 bar,Vancouver,49.283842,-123.1144244,4.7,1
Social Corner,Vancouver,49.2785831916346,-123.118480343303,3.6,0
Browns Socialhouse QE Theatre,Vancouver,49.279919,-123.112788,4.3,1
Oceans 999,Vancouver,49.2881297,-123.1148699,3.5,0
Marugame Udon,Vancouver,49.2801931,-123.11028743227573,4.0,1
Van Tea Cafe,Vancouver,49.233265,-123.1013951,3.8,0
The Farmhouse,Vancouver,49.26185879464837,-123.09710762514682,4.0,1
Yama Cafe,Vancouver,49.2813049,-123.0632877,4.4,1
Ukrainian Village,Vancouver,49.2914123,-123.1358196,4.1,1
Nero Waffles,Vancouver,49.2907208,-123.1339952,4.3,1
The Dirty Apron Delicatessen,Vancouver,49.2805632,-123.1091772,4.5,1
Moltaqa Moroccan Restaurant,Vancouver,49.27642,-123.11897,3.8,0
Siegel's Bagels,Vancouver,49.2726237,-123.1356235,3.9,0
Kulinarya,Vancouver,49.2744901,-123.0693269,4.0,1
Giardino,Vancouver,49.276991,-123.1301021,3.9,0
Pho Khanh Express,Vancouver,49.2763,-123.11561,4.4,1
European Breads,Vancouver,49.2463202,-123.0899976,3.7,0
AJ's Brooklyn Pizza Joint,Vancouver,49.2629437687572,-123.098307028413,4.2,1
Oddfish,Vancouver,49.2708136,-123.1475237,4.1,1
Moose's Down Under,Vancouver,49.285638,-123.11634,3.9,0
Acquafarina,Vancouver,49.281192528357174,-123.11539859159646,4.1,1
Western Lake Chinese Seafood Restaurant,Vancouver,49.23933628972885,-123.06556878851819,4.0,1
Breakfast Table,Vancouver,49.25855,-123.13856,4.3,1
MamaLee,Vancouver,49.27961961550342,-123.108583,4.3,1
Osaka Teppanyaki Steak & Seafood House,Vancouver,49.263417,-123.1453266,3.9,0
Le Parfait,Vancouver,49.27914137816261,-123.1171837,4.6,1
Shiok Singapore Cuisine,Vancouver,49.2469321,-123.0693059,3.8,0
Bam Bam,Vancouver,49.27884508068396,-123.11286394504681,4.4,1
Pizza Rubato Napoletana,Vancouver,49.2635503,-123.1170685,4.3,1
Shiro,Vancouver,49.25796735722776,-123.11460624110458,4.1,1
Fuwa Fuwa,Vancouver,49.28874,-123.13151,4.0,1
Homer St. Cafe and Bar,Vancouver,49.27842589023651,-123.11812388962129,3.8,0
Paul's Omelettery Restaurant,Vancouver,49.26597,-123.1389,3.9,0
Unchai Thai Restaurant,Vancouver,49.265112,-123.145913,4.4,1
Vancouver European Deli,Vancouver,49.2820012,-123.1339713,4.2,1
Ash Street Bistro,Vancouver,49.233925,-123.118871,4.2,1
Nana's Green Tea,Vancouver,49.267587,-123.1086543,4.2,1
The Keg Steakhouse + Bar,Vancouver,49.28602851408301,-123.12446573128035,4.1,1
Xin Chào,Vancouver,49.2626123961945,-123.11515357347383,4.1,1
Landmark Hotpot House,Vancouver,49.2498660758194,-123.11556053834,3.9,0
Pizzeria Ludica,Vancouver,49.2800427277576,-123.108486811639,4.0,1
A.Bento,Vancouver,49.263164,-123.118857,3.9,0
Italian Kitchen,Vancouver,49.2825685,-123.1236112,3.8,0
Whole Food Market,Vancouver,49.2640495,-123.1150513,3.9,0
Le Marché St. George,Vancouver,49.2456344,-123.0941734,4.1,1
Cafe & Life Co.,Vancouver,49.265218,-123.116184,4.5,1
Perfecto Cafe,Vancouver,49.28871769896423,-123.1314811,4.9,1
New Amsterdam Café,Vancouver,49.283004,-123.110008,3.9,0
Breka Bakery & Cafe,Vancouver,49.2857242811844,-123.1271553452,3.9,0
Trafiq Cafe & Bakery,Vancouver,49.2474862,-123.1011218,4.4,1
Caffe Di Beppe,Vancouver,49.28235624721356,-123.1045101,4.3,1
Bread x Butter Cafe,Vancouver,49.2841611,-123.1199654,4.0,1
Terra Breads,Vancouver,49.27144458615277,-123.1067987907931,3.9,0
Mercato Di Luigi,Vancouver,49.259654006064046,-123.0913247,4.5,1
The Flying Whale Waterfront Cafe,Vancouver,49.2892871686,-123.110275449,4.4,1
Crackle Creme,Vancouver,49.27776,-123.0981399,4.3,1
Broye Cafe & Bakery,Vancouver,49.285311,-123.117205,4.3,1
Their There,Vancouver,49.2679649501648,-123.151158941154,4.2,1
Aiyaohno Cafe,Vancouver,49.28108,-123.1049,4.6,1
Cafe Kitsune,Vancouver,49.2843189,-123.10811606730482,4.1,1
Nonna's Cucina,Vancouver,49.280915,-123.060235,4.5,1
Hunnybee,Vancouver,49.2778557236571,-123.097276474569,4.0,1
Café Portrait,Vancouver,49.2881056129168,-123.140413686633,4.3,1
Marché Mon Pitou,Vancouver,49.2654349,-123.1357134,4.2,1
The Golden Horn Turkish Bakery & Cafe,Vancouver,49.25981092848732,-123.11540668,4.7,1
Cowdog Coffee,Vancouver,49.2682421476335,-123.1486199,4.1,1
Honeybrew,Vancouver,49.27770339765184,-123.1269430835161,4.1,1
7 Days Coffee,Vancouver,49.2762673787726,-123.11571355470014,4.6,1
To Live For Bakery,Vancouver,49.27121199258215,-123.0565958,4.6,1
Dutch Wooden Shoe Cafe,Vancouver,49.2560017,-123.114899418709,3.8,0
Convivial Cafe and Bakery,Vancouver,49.2675426,-123.1196639,4.7,1
Truck Stop Cafe,Vancouver,49.2754522,-123.0771151,4.3,1
Saunter Coffee,Vancouver,49.2825165,-123.1112558,4.5,1
Sio Bread,Vancouver,49.2788451,-123.09957643313523,4.4,1
Caffe Mira,Vancouver,49.2787456,-123.129878,4.3,1
Mishmish,Vancouver,49.25398,-123.09019,4.5,1
JJ Bean Coffee Roasters,Vancouver,49.287471,-123.116865,3.8,0
Greenhorn Cafe,Vancouver,49.2866689,-123.1341521,4.1,1
Annabelle's,Vancouver,49.279081592822564,-123.10187134891748,4.8,1
Caffe Mira,Vancouver,49.2568399,-123.10088,4.2,1
Halfday Tea + Flower,Vancouver,49.2635709085802,-123.124036450926,4.1,1
Catfe,Vancouver,49.28029,-123.10675,3.5,0
Chez Nous,Vancouver,49.27446660098396,-123.12415938465577,4.2,1
Nīzu Cafe,Vancouver,49.28529078349641,-123.11634502209047,4.1,1
Wren Cafe,Vancouver,49.2763871,-123.1188171,4.3,1
Propaganda Coffee,Vancouver,49.2804927884879,-123.09908829727,4.0,1
Mah Milk Bar,Vancouver,49.271091,-123.065523,4.4,1
C Market Coffee,Vancouver,49.23830235993891,-123.1019412,3.7,0
Artigiano- Cambie,Vancouver,49.26423028055726,-123.11449449509382,4.3,1
Waffleland Cafe,Vancouver,49.2834917,-123.1050237,4.1,1
Thierry - Mount Pleasant,Vancouver,49.262040137647766,-123.09941897473132,4.0,1
JJ's Fine Dining,Vancouver,49.2813,-123.11124,4.5,1
LOT185 Cafe + Wine Bar,Vancouver,49.28971,-123.11607,4.5,1
Sneaky Pete's Pool Cafe,Vancouver,49.280892171875216,-123.07399213314056,4.5,1
93 Coffee,Vancouver,49.28853156299956,-123.1392191,4.2,1
Hello Kitty Cafe,Vancouver,49.28660343734038,-123.12819655984639,3.8,0
Legato Tea and Coffee,Vancouver,49.234794,-123.1595431,4.3,1
The Belgian Chocolate Cafe,Vancouver,49.27486,-123.112955,3.8,0
Matchstick Coffee,Vancouver,49.257302653286,-123.090361582581,3.9,0
Prado Cafe,Vancouver,49.2818961,-123.1074141,3.9,0
Rocanini Coffee Roasters,Vancouver,49.27719779103568,-123.11522535767266,4.2,1
Ele Cafe,Vancouver,49.263563,-123.124043,4.3,1
Lumine Coffee,Vancouver,49.26821520893845,-123.1496446218722,4.3,1
C41 Coffee,Vancouver,49.2682375,-123.1708713,4.7,1
Knight Street Cafe,Vancouver,49.2496779,-123.07631192270182,4.3,1
Social Crust,Vancouver,49.2826504,-123.1114627,4.6,1
Breka Bakery and Cafe,Vancouver,49.2914,-123.13592,3.9,0
Elysian Coffee Broadway,Vancouver,49.263083,-123.117317,4.0,1
Cafe Lokal,Vancouver,49.2683300473659,-123.16486839205,4.4,1
Continental Coffee House,Vancouver,49.2472882191904,-123.101281828922,4.0,1
Honolulu Coffee,Vancouver,49.2344233,-123.154854,3.9,0
Cafe Algarve,Vancouver,49.2597049,-123.0700568,3.8,0
JOY Cafe,Vancouver,49.2098293,-123.1182943,3.5,0
Ellipsis,Vancouver,49.269369644600665,-123.1401449,3.5,0
Pallet Coffee Roasters,Vancouver,49.28691488337768,-123.1223509,5.0,1
Wicked Cafe,Vancouver,49.26544874408263,-123.135842,3.8,0
Mink - A Chocolate Café,Vancouver,49.2864696,-123.1156543,3.6,0
Cafe Algan,Vancouver,49.21776115384755,-123.1184714888478,4.7,1
Charisma Cafe & Dessert House,Vancouver,49.27998259460614,-123.1087145,3.9,0
Livni Café & Bakery,Vancouver,49.2640185,-123.1557477,4.8,1
Breka Bakery & Café,Vancouver,49.24383730986246,-123.10114614665508,3.9,0
Peaked Pies,Vancouver,49.263195928516275,-123.12079366441709,4.0,1
Mitchie Matcha,Vancouver,49.2462951,-123.1015338,3.9,0
Chau Cafe,Vancouver,49.2385534,-123.0652551,4.4,1
Matcha Corner,Vancouver,49.25241038000087,-123.08104379663045,3.7,0
Yaletown Gelato,Vancouver,49.27492,-123.12321,4.1,1
The Lion's Den Cafe,Vancouver,49.257273,-123.089984,3.8,0
Feast & Fallow,Vancouver,49.233715,-123.112521,4.2,1
Railtown Cafe,Vancouver,49.2850022,-123.0955516,4.1,1
AM Cafe,Vancouver,49.26214,-123.09476,4.6,1
Deville Coffee,Vancouver,49.2853546768392,-123.11246584304324,3.9,0
Foglifter Coffee Roasters,Vancouver,49.2531365,-123.1007951,3.8,0
Cloud & Shine Cafe,Vancouver,49.2637371,-123.1574019,4.8,1
Amberdo Cafe,Vancouver,49.26815163219932,-123.16559608218213,4.4,1
Aidan’s Coffee And Food,Vancouver,49.26384116132019,-123.1222828,4.0,1
Comma Cafe,Vancouver,49.256915,-123.126921,4.4,1
Stega Eatery,Vancouver,49.28369,-123.10914,4.5,1
Aidan's,Vancouver,49.28776,-123.11833,4.1,1
Sula Cafe,Vancouver,49.26617077297887,-123.0992835,4.4,1
Japanese Bistro Kamome,Vancouver,49.2371553,-123.0327306,3.9,0
Aphrodite's Organic  Pie Shop,Vancouver,49.2684732,-123.1834864,3.3,0
The Garden Strathcona,Vancouver,49.28076,-123.08563,4.7,1
CHAU Veggie Express,Vancouver,49.2726237,-123.1356235,4.2,1
Off the Tracks Espresso Bar and Bistro,Vancouver,49.2704079,-123.1340809,3.7,0
Creme de la Crumb Bakeshop & Catering,Vancouver,49.2738565,-123.0775108,3.3,0
The Narcissus,Vancouver,49.28423,-123.06998,4.3,1
La La Island,Vancouver,49.26435443750349,-123.171443449561,4.6,1
Sciué Italian Bakery Caffé,Vancouver,49.28691,-123.1224397,3.1,0
49th Parallel Coffee,Vancouver,49.2591330651218,-123.10088478104,4.1,1
Elaichi Chai,Vancouver,49.22763434326447,-123.0909828,4.6,1
Provisions Kitsilano,Vancouver,49.268062,-123.157371,4.0,1
Gigi Blin,Vancouver,49.20844,-123.13811,4.4,1
Amberdo Cafe,Vancouver,49.28265,-123.13193,4.8,1
Cafe Marie,Vancouver,49.282039,-123.113726,4.6,1
Flamingo Cafe,Vancouver,49.279491,-123.123094,4.9,1
Wicked Cafe & Bakery,Vancouver,49.258148357899415,-123.18436469882728,4.3,1
Giovane Caffè,Vancouver,49.28072628962966,-123.1156954,3.8,0
D'oro Gelato e Caffè,Vancouver,49.2861418,-123.1274473,4.1,1
East Cafe,Vancouver,49.2812767,-123.0563278,4.3,1
Prospect Point,Vancouver,49.3128081868922,-123.142869863626,3.5,0
Guffo Cafe,Vancouver,49.27807236813407,-123.1144042533513,4.3,1
My Island Café,Vancouver,49.27031,-123.13626,4.7,1
Commercial Street Cafe,Vancouver,49.2526261,-123.0681265,3.5,0
Finch's Market,Vancouver,49.2785699636665,-123.093410391164,4.0,1
Harvest Community Foods,Vancouver,49.277781,-123.0980624,3.6,0
TV Dinner Market & Café,Vancouver,49.2687123,-123.1451282,4.8,1
Holts Café - Vancouver,Vancouver,49.2839108,-123.1165955,3.6,0
Tastes On Tenth,Vancouver,49.2618164,-123.1180584,4.0,1
Élysées,Vancouver,49.22885,-123.116879,4.1,1
Ciclo Espresso & Cocteles,Vancouver,49.2809421846657,-123.11498706471673,4.5,1
Faubourg,Vancouver,49.2830902204043,-123.121585475241,3.4,0
TurF,Vancouver,49.2682200041763,-123.151621297002,3.8,0
Loafe Cafe,Vancouver,49.2660042,-123.2492292,3.7,0
Trees Organic Coffee,Vancouver,49.2848880197924,-123.114343569975,3.6,0
Broyé Cafe & Bakery,Vancouver,49.22632,-123.09036,4.0,1
Oidé Coffee,Vancouver,49.2695665,-123.14023192883664,4.2,1
Railtown Cafe,Vancouver,49.2800358888925,-123.123520255129,3.0,0
Forecast Coffee,Vancouver,49.25859804273446,-123.10083769261838,3.4,0
Railtown Cafe,Vancouver,49.2852667967034,-123.114296054582,3.6,0
The Paper Crane,Vancouver,49.2626112,-123.0922038,4.0,1
Market Veranda,Vancouver,49.28939289664475,-123.13270285767328,4.0,1
Hiel Cafe,Burnaby,49.2190187,-122.92795,4.3,1
S2 Cafe House,Vancouver,49.2807503,-123.0853195,3.8,0
Olivier’s Cafe,Vancouver,49.282016354956944,-123.12312188381297,3.8,0
Eden Cafe,Vancouver,49.2812949,-123.0904826,4.3,1
Oriole Cafe,Vancouver,49.2040408407995,-123.13420927686,4.4,1
Matchstick Café,Vancouver,49.28318,-123.13494,3.7,0
Great Dane Coffee,Vancouver,49.2700488028238,-123.250755445288,4.2,1
The Corner Store Cafe,Vancouver,49.26953,-123.13896,4.0,1
Faubourg,Vancouver,49.2344771,-123.1574179,3.5,0
Agora Cafe,Vancouver,49.28573972263773,-123.12224768834332,4.2,1
Il Mondo Caffe,Vancouver,49.26798192279789,-123.0693353,3.9,0
Faubourg,Vancouver,49.27454566704508,-123.12247809022664,3.4,0
